Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Jun 2025
Quarterly Results,Sales,4160,6172,6229,4111,4186,5565,7153,4638,4686,7193,7258,5033,4108,,,,,,,,,
Quarterly Results,Expenses,4051,5838,5463,3816,4349,5431,6495,4113,4369,6517,6647,4427,4094,,,,,,,,,
Quarterly Results,Operating Profit,109,334,766,294,-162,134,658,525,317,676,611,606,14,,,,,,,,,
Quarterly Results,OPM %,3%,5%,12%,7%,-4%,2%,9%,11%,7%,9%,8%,12%,0%,,,,,,,,,
Quarterly Results,Other Income,308,652,213,673,-1395,313,221,424,616,63,3744,-2974,8949,,,,,,,,,
Quarterly Results,Interest,527,527,567,657,643,571,610,578,552,470,472,468,374,,,,,,,,,
Quarterly Results,Depreciation,331,350,365,368,366,371,387,379,366,348,355,359,360,,,,,,,,,
Quarterly Results,Profit before tax,-442,109,47,-57,-2565,-495,-118,-7,15,-78,3527,-3195,8229,,,,,,,,,
Quarterly Results,Tax %,0%,3%,-6%,14%,-0%,-0%,5%,228%,136%,-11%,0%,0%,-0%,,,,,,,,,
Quarterly Results,Net Profit,-588,71,-25,-127,-2484,-567,-182,-301,-98,-93,4195,-3186,8262,,,,,,,,,
Quarterly Results,EPS in Rs,-17.95,-3.28,-6.17,-9.31,-76.90,-19.13,-7.42,-10.63,-5.57,-5.90,103.06,-83.26,110.75,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,19689,,,,22398,,,,22805,,,,23592,19151,16185,26952,25229,18728,19731,19990,17735,
Profit & Loss,Expenses,17832,,,,20972,,,,20653,,,,19835,16340,14389,22435,20455,15545,24242,18607,17471,
Profit & Loss,Operating Profit,1857,,,,1427,,,,2151,,,,3756,2811,1796,4518,4774,3183,-4511,1383,264,
Profit & Loss,OPM %,9%,,,,6%,,,,9%,,,,16%,15%,11%,17%,19%,17%,-23%,7%,1%,
Profit & Loss,Other Income,830,,,,-50,,,,1057,,,,7933,1260,2768,2563,3438,4281,7206,3221,6754,
Profit & Loss,Interest,2060,,,,2393,,,,2310,,,,1784,1696,2347,5026,5581,5204,2581,2400,2727,
Profit & Loss,Depreciation,1283,,,,1448,,,,1503,,,,1421,534,833,1544,1688,1254,1292,1389,1352,
Profit & Loss,Profit before tax,-656,,,,-2466,,,,-605,,,,8484,1841,1384,511,943,1006,-1178,815,2939,
Profit & Loss,Tax %,3%,,,,0%,,,,7%,,,,-0%,15%,5%,44%,-15%,-15%,-20%,-6%,-6%,
Profit & Loss,Net Profit,-868,,,,-2564,,,,-1148,,,,9177,1920,1725,693,1394,1214,-2323,908,3116,
Profit & Loss,EPS in Rs,-37.98,,,,-91.57,,,,-40.61,,,,124.64,72.77,68.45,28.88,54.19,47.74,-92.28,29.32,42.79,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,10%,12%,29%,17%,20%,0%,0%,0%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,263,,,,352,,,,396,,,,396,263,263,263,263,263,263,263,263,
Balance Sheet,Reserves,12144,,,,8942,,,,8351,,,,14034,26328,26711,21389,23084,23417,13913,9529,10597,
Balance Sheet,Borrowings,12718,,,,11510,,,,9895,,,,6361,24289,25770,30550,25814,25441,17772,17147,13907,
Balance Sheet,Other Liabilities,37277,,,,40096,,,,40517,,,,45050,18048,18103,48567,49121,50711,36247,37921,37226,
Balance Sheet,Total Liabilities,62403,,,,60899,,,,59159,,,,65841,68928,70847,100769,98282,99832,68194,64861,61994,
Balance Sheet,Fixed Assets,19002,,,,19756,,,,17757,,,,18096,10301,17697,32887,36567,39393,24948,23253,19505,
Balance Sheet,CWIP,2198,,,,1015,,,,1302,,,,991,10789,5081,4971,2360,3005,2592,2529,2025,
Balance Sheet,Investments,4700,,,,4338,,,,3904,,,,8671,18280,17618,13200,13143,13092,6742,1394,1769,
Balance Sheet,Other Assets,36503,,,,35791,,,,36196,,,,38084,29557,30451,49712,46212,44342,33911,37683,38696,
Balance Sheet,Total Assets,62403,,,,60899,,,,59159,,,,65841,68928,70847,100769,98282,99832,68194,64861,61994,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,3799,,,,3458,,,,4097,,,,3657,4412,3290,10296,8678,8153,684,2875,1436,
Cash Flows,Cash from Investing Activity,-502,,,,-1333,,,,415,,,,-1731,-5936,-1726,-5690,-75,-805,2759,-808,18,
