Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,52.39,58.16,64.97,66.57,114.50,70.85,68.87,72.57,62.64,56.92,90.00,92.70,121.38,,,
Quarterly Results,Expenses,49.14,54.43,60.27,60.05,107.80,67.17,65.17,68.84,60.36,54.99,85.48,86.79,111.67,,,
Quarterly Results,Operating Profit,3.25,3.73,4.70,6.52,6.70,3.68,3.70,3.73,2.28,1.93,4.52,5.91,9.71,,,
Quarterly Results,OPM %,6.20%,6.41%,7.23%,9.79%,5.85%,5.19%,5.37%,5.14%,3.64%,3.39%,5.02%,6.38%,8.00%,,,
Quarterly Results,Other Income,0.15,0.03,0.07,0.03,0.07,0.70,1.10,0.07,0.17,0.07,0.05,0.10,0.01,,,
Quarterly Results,Interest,0.72,1.36,2.10,1.87,0.74,1.03,1.44,1.51,0.67,0.60,1.57,3.89,5.62,,,
Quarterly Results,Depreciation,0.54,0.49,0.51,0.52,0.64,0.61,0.64,0.65,0.67,0.82,0.87,1.51,2.15,,,
Quarterly Results,Profit before tax,2.14,1.91,2.16,4.16,5.39,2.74,2.72,1.64,1.11,0.58,2.13,0.61,1.95,,,
Quarterly Results,Tax %,19.16%,25.65%,32.87%,22.12%,26.35%,24.09%,25.37%,17.07%,23.42%,24.14%,24.41%,26.23%,32.82%,,,
Quarterly Results,Net Profit,1.73,1.42,1.45,3.24,3.97,2.08,2.03,1.36,0.85,0.43,1.60,0.45,1.31,,,
Quarterly Results,EPS in Rs,1.73,1.42,1.45,3.24,3.97,2.08,2.03,1.36,0.75,0.38,1.42,0.40,1.16,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,185,,,,304,,,,275,,,,361,141,162,162
