Section,,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,115.91,114.91,117.78,85.73,25.29,41.03,32.91,36.60,17.07,5.15,11.98,14.06,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,133.95,105.90,376.53,88.98,15.86,27.65,33.31,31.19,18.88,11.15,18.46,9.16,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,-18.04,9.01,-258.75,-3.25,9.43,13.38,-0.40,5.41,-1.81,-6.00,-6.48,4.90,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,-15.56%,7.84%,-219.69%,-3.79%,37.29%,32.61%,-1.22%,14.78%,-10.60%,-116.50%,-54.09%,34.85%,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,51.19,6.01,529.57,17.41,4.94,9.42,15.46,11.11,6.96,7.82,18.45,0.51,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,5.65,5.98,6.01,2.42,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,8.46,8.31,7.77,6.56,0.86,0.85,1.02,0.88,0.81,0.14,0.23,0.37,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,19.04,0.73,257.04,5.18,13.50,21.95,14.04,15.64,4.34,1.68,11.74,5.04,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,-15.13%,-361.64%,0.04%,35.33%,17.33%,-8.79%,2.14%,21.55%,14.52%,36.31%,5.28%,26.59%,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,21.92,3.37,256.94,3.35,11.16,23.88,13.74,12.27,3.71,1.06,11.12,3.70,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,5.58,18.60,39.80,22.90,20.45,6.18,1.77,18.53,6.17,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,59.67,59.67,59.67,5.97,5.97,5.97,5.97,5.97,5.97,5.97,5.97,5.97,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,-34.22,-37.08,160.91,19.78,30.94,54.82,68.56,80.82,84.53,84.64,95.76,99.46,,,,,,,,,,,,,,,,,
