Section,,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Mar 2022,Mar 2023
Quarterly Results,Sales,402,426,457,402,423,431,443,429,,,,
Quarterly Results,Expenses,370,392,419,358,387,395,420,404,,,,
Quarterly Results,Operating Profit,31,34,37,44,35,36,23,25,,,,
Quarterly Results,OPM %,8%,8%,8%,11%,8%,8%,5%,6%,,,,
Quarterly Results,Other Income,1,1,2,2,1,2,5,5,,,,
Quarterly Results,Interest,4,5,6,7,6,7,5,4,,,,
Quarterly Results,Depreciation,5,5,6,6,5,6,6,7,,,,
Quarterly Results,Profit before tax,23,25,27,33,26,26,18,19,,,,
Quarterly Results,Tax %,25%,27%,26%,26%,26%,26%,26%,26%,,,,
Quarterly Results,Net Profit,17,18,20,24,19,19,13,14,,,,
Quarterly Results,EPS in Rs,2.22,2.33,2.59,3.07,2.40,1.86,1.29,1.38,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,
,,,,,,,,,,,,,
Profit & Loss,Sales,,,,1686,,,,1726,1067,1110,1471,1633
Profit & Loss,Expenses,,,,1540,,,,1606,994,1029,1367,1511
Profit & Loss,Operating Profit,,,,146,,,,120,73,81,104,122
Profit & Loss,OPM %,,,,9%,,,,7%,7%,7%,7%,7%
Profit & Loss,Other Income,,,,6,,,,13,6,4,5,5
Profit & Loss,Interest,,,,22,,,,22,14,13,14,16
Profit & Loss,Depreciation,,,,21,,,,24,14,12,12,15
Profit & Loss,Profit before tax,,,,108,,,,88,52,60,83,96
Profit & Loss,Tax %,,,,26%,,,,26%,31%,26%,27%,26%
Profit & Loss,Net Profit,,,,80,,,,65,36,45,61,72
Profit & Loss,EPS in Rs,,,,10.21,,,,6.39,9.11,11.32,15.54,9.09
Profit & Loss,Dividend Payout %,,,,0%,,,,0%,0%,0%,0%,0%
,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,39,,,,51,39,39,39,39
Balance Sheet,Reserves,,,,359,,,,777,112,157,218,279
Balance Sheet,Borrowings,,,,269,,,,176,102,141,150,215
Balance Sheet,Other Liabilities,,,,86,,,,100,105,88,83,70
Balance Sheet,Total Liabilities,,,,754,,,,1104,359,425,490,604
Balance Sheet,Fixed Assets,,,,105,,,,154,73,73,74,91
Balance Sheet,CWIP,,,,0,,,,15,0,1,9,17
Balance Sheet,Investments,,,,3,,,,3,3,3,1,4
Balance Sheet,Other Assets,,,,646,,,,932,283,349,406,492
Balance Sheet,Total Assets,,,,754,,,,1104,359,425,490,604
,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,1,,,,-3,81,-26,5,2
Cash Flows,Cash from Investing Activity,,,,-40,,,,-241,-24,-2,-3,-36
Cash Flows,Cash from Financing Activity,,,,40,,,,247,-54,26,-3,33
Cash Flows,Net Cash Flow,,,,0,,,,3,3,-3,-1,-1
,,,,,,,,,,,,,
Ratios,Debtor Days,,,,114,,,,131,64,83,77,87
Ratios,Inventory Days,,,,,,,,,,,0,
Ratios,Days Payable,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,114,,,,131,64,83,77,87
Ratios,Working Capital Days,,,,111,,,,128,47,72,70,84
Ratios,ROCE %,,,,22%,,,,13%,,25%,26%,24%
,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,71.89%,71.89%,71.89%,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,4.22%,1.40%,0.29%,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,9.14%,9.45%,8.53%,,,,
Shareholding Pattern (Quarterly),Public,,,,,,14.75%,17.25%,19.27%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,113812,109023,107207,,,,
,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,71.89%,,,,
Shareholding Pattern (Yearly),FIIs,,,,,,,,0.29%,,,,
Shareholding Pattern (Yearly),DIIs,,,,,,,,8.53%,,,,
Shareholding Pattern (Yearly),Public,,,,,,,,19.27%,,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,107207,,,,
,,,,,,,,,,,,,
