Section,,Dec 2023,Mar 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Mar 2022,Mar 2023
Quarterly Results,Sales,567,620,643,657,724,,,,
Quarterly Results,Expenses,405,494,454,476,498,,,,
Quarterly Results,Operating Profit,162,126,189,181,226,,,,
Quarterly Results,OPM %,29%,20%,29%,28%,31%,,,,
Quarterly Results,Other Income,6,15,5,27,3,,,,
Quarterly Results,Interest,26,32,22,21,21,,,,
Quarterly Results,Depreciation,19,27,28,28,28,,,,
Quarterly Results,Profit before tax,124,81,144,160,180,,,,
Quarterly Results,Tax %,18%,21%,21%,19%,18%,,,,
Quarterly Results,Net Profit,102,64,113,130,148,,,,
Quarterly Results,EPS in Rs,5.94,3.72,6.59,7.56,8.61,,,,
Quarterly Results,Raw PDF,,,,,,,,,
,,,,,,,,,,
Profit & Loss,Sales,,1818,,,2664,529,553,764,1031
Profit & Loss,Expenses,,1297,,,1894,367,348,466,639
Profit & Loss,Operating Profit,,521,,,770,162,205,298,392
Profit & Loss,OPM %,,29%,,,29%,31%,37%,39%,38%
Profit & Loss,Other Income,,40,,,39,31,16,1,-2
Profit & Loss,Interest,,61,,,90,7,8,7,6
Profit & Loss,Depreciation,,59,,,113,40,30,23,25
Profit & Loss,Profit before tax,,442,,,606,145,183,269,359
Profit & Loss,Tax %,,16%,,,20%,5%,9%,13%,15%
Profit & Loss,Net Profit,,370,,,486,137,165,233,305
Profit & Loss,EPS in Rs,,21.68,,,28.33,166.73,200.10,13.61,17.86
Profit & Loss,Dividend Payout %,,46%,,,0%,0%,12%,393%,0%
,,,,,,,,,,
Balance Sheet,Equity Capital,,17,,,17,8,8,17,17
Balance Sheet,Reserves,,1141,,,1773,275,449,630,812
Balance Sheet,Borrowings,,1311,,,856,0,76,65,52
Balance Sheet,Other Liabilities,,411,,,407,151,53,75,107
Balance Sheet,Total Liabilities,,2880,,,3052,434,586,788,988
Balance Sheet,Fixed Assets,,1833,,,1798,36,87,76,59
Balance Sheet,CWIP,,3,,,5,0,0,0,0
Balance Sheet,Investments,,195,,,114,1,14,16,32
Balance Sheet,Other Assets,,849,,,1135,397,485,695,898
Balance Sheet,Total Assets,,2880,,,3052,434,586,788,988
,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,210,,,318,163,175,233,288
Cash Flows,Cash from Investing Activity,,-1137,,,244,-79,-167,-82,-158
Cash Flows,Cash from Financing Activity,,780,,,-389,-41,-37,-59,-152
Cash Flows,Net Cash Flow,,-147,,,173,43,-28,92,-22
,,,,,,,,,,
Ratios,Debtor Days,,73,,,73,51,49,46,57
Ratios,Inventory Days,,,,,,,,,
Ratios,Days Payable,,,,,,,,,
Ratios,Cash Conversion Cycle,,73,,,73,51,49,46,57
Ratios,Working Capital Days,,6,,,46,20,48,21,26
Ratios,ROCE %,,30%,,,27%,,47%,47%,50%
,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,63.72%,63.72%,,,,
Shareholding Pattern (Quarterly),FIIs,,,,5.48%,5.38%,,,,
Shareholding Pattern (Quarterly),DIIs,,,,4.45%,4.02%,,,,
Shareholding Pattern (Quarterly),Public,,,,23.52%,24.29%,,,,
Shareholding Pattern (Quarterly),Others,,,,2.85%,2.58%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,67583,57714,,,,
,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,63.72%,,,,
Shareholding Pattern (Yearly),FIIs,,,,,5.38%,,,,
Shareholding Pattern (Yearly),DIIs,,,,,4.02%,,,,
Shareholding Pattern (Yearly),Public,,,,,24.29%,,,,
Shareholding Pattern (Yearly),Others,,,,,2.58%,,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,57714,,,,
,,,,,,,,,,
