Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Dec 2013,Mar 201515m,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2015
Quarterly Results,Sales,13.67,1.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,
Quarterly Results,Expenses,27.35,7.32,6.01,3.37,2.97,2.59,2.49,2.41,1.44,1.83,2.12,3.33,3.14,,,,,,,,,
Quarterly Results,Operating Profit,-13.68,-5.35,-6.01,-3.37,-2.97,-2.59,-2.49,-2.41,-1.44,-1.83,-2.12,-3.33,-3.14,,,,,,,,,
Quarterly Results,OPM %,-100.07%,-271.57%,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,17.60,8.96,11.31,11.43,11.11,11.24,10.80,7.74,7.61,7.61,8.56,12.73,12.66,,,,,,,,,
Quarterly Results,Interest,0.77,0.73,2.40,3.50,4.27,4.17,4.14,4.20,4.54,4.22,4.49,4.64,4.87,,,,,,,,,
Quarterly Results,Depreciation,1.08,0.90,0.62,0.66,0.66,0.67,0.67,0.67,1.17,1.04,1.05,1.17,1.21,,,,,,,,,
Quarterly Results,Profit before tax,2.07,1.98,2.28,3.90,3.21,3.81,3.50,0.46,0.46,0.52,0.90,3.59,3.44,,,,,,,,,
Quarterly Results,Tax %,29.95%,0.00%,0.00%,0.00%,0.00%,14.44%,2.29%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
Quarterly Results,Net Profit,1.45,1.98,2.28,2.06,2.51,3.46,-3.27,-4.80,-8.14,-16.78,-14.26,5.86,-4.76,,,,,,,,,
Quarterly Results,EPS in Rs,0.20,0.27,0.31,0.28,0.34,0.47,-0.44,-0.65,-1.10,-2.27,-1.93,0.79,-0.65,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,52,,,,2,,,,0,,,,0,103,98,63,67,66,62,57,59,
Profit & Loss,Expenses,71,,,,20,,,,9,,,,10,80,73,47,62,57,60,51,55,
Profit & Loss,Operating Profit,-18,,,,-18,,,,-9,,,,-10,23,25,16,6,10,2,5,4,
Profit & Loss,OPM %,-35%,,,,-898%,,,,,,,,,22%,25%,25%,8%,14%,3%,9%,7%,
Profit & Loss,Other Income,30,,,,43,,,,37,,,,42,3,1,1,8,1,9,6,7,
Profit & Loss,Interest,3,,,,11,,,,17,,,,18,11,12,8,6,5,6,7,5,
Profit & Loss,Depreciation,4,,,,3,,,,3,,,,4,12,14,7,5,4,4,4,4,
Profit & Loss,Profit before tax,5,,,,11,,,,8,,,,8,3,0,2,2,1,1,1,2,
Profit & Loss,Tax %,12%,,,,0%,,,,8%,,,,0%,8%,-208%,26%,-24%,-55%,53%,-6%,0%,
Profit & Loss,Net Profit,5,,,,9,,,,-13,,,,-30,3,1,1,3,2,0,1,2,
Profit & Loss,EPS in Rs,0.63,,,,1.20,,,,-1.73,,,,-4.06,0.36,0.10,0.18,0.37,0.23,0.04,0.10,0.25,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,74,,,,74,,,,74,,,,74,44,,44,44,44,44,44,44,44
Balance Sheet,Reserves,111,,,,120,,,,107,,,,70,166,,84,87,91,93,96,97,126
Balance Sheet,Borrowings,29,,,,146,,,,147,,,,139,92,,98,46,47,41,40,34,94
Balance Sheet,Other Liabilities,73,,,,38,,,,38,,,,82,49,,56,96,114,144,151,141,49
Balance Sheet,Total Liabilities,286,,,,377,,,,366,,,,364,351,,282,273,297,322,331,317,312
Balance Sheet,Fixed Assets,204,,,,179,,,,187,,,,200,205,,194,187,141,208,243,248,193
Balance Sheet,CWIP,0,,,,0,,,,0,,,,0,0,,0,0,58,31,0,0,0
Balance Sheet,Investments,0,,,,133,,,,112,,,,67,12,,0,0,0,0,0,0,12
Balance Sheet,Other Assets,82,,,,65,,,,66,,,,97,134,,88,86,98,83,89,69,108
Balance Sheet,Total Assets,286,,,,377,,,,366,,,,364,351,,282,273,297,322,331,317,312
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,16,,,,15,,,,42,,,,37,28,,16,45,16,51,17,20,-14
