Section,,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Quarterly Results,Sales,34.96,57.26,9.29,7.31,11.44,27.85,66.54,6.73,16.93,19.97,7.98,16.88,20.08,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,40.34,76.53,33.11,8.36,10.85,31.51,69.49,8.23,13.00,23.31,8.06,15.55,19.06,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,-5.38,-19.27,-23.82,-1.05,0.59,-3.66,-2.95,-1.50,3.93,-3.34,-0.08,1.33,1.02,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,-15.39%,-33.65%,-256.40%,-14.36%,5.16%,-13.14%,-4.43%,-22.29%,23.21%,-16.73%,-1.00%,7.88%,5.08%,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,0.51,0.84,0.06,0.10,-0.01,1.56,0.11,0.07,0.03,0.09,0.05,0.41,0.08,,,,,,,,,,,,,,,,
Quarterly Results,Interest,0.96,-0.22,0.06,0.10,0.14,0.27,0.22,0.28,0.02,0.20,0.00,0.00,0.01,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,0.41,0.21,0.28,0.29,0.37,0.59,0.33,0.33,0.17,0.53,0.29,0.30,0.40,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,-6.24,-18.42,-24.10,-1.34,0.07,-2.96,-3.39,-2.04,3.77,-3.98,-0.32,1.44,0.69,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,0.00%,0.98%,0.00%,2.24%,57.14%,6.42%,3.83%,-3.43%,31.30%,-18.84%,34.38%,18.75%,37.68%,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,-6.24,-18.60,-24.09,-1.36,0.03,-3.16,-3.52,-1.97,2.59,-3.23,-0.43,1.18,0.44,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,-0.50,-1.48,-1.92,-0.11,0.00,-0.25,-0.28,-0.16,0.21,-0.26,-0.03,0.09,0.04,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,154.35,,,,55.89,,,,110.18,,,,179.88,221.89,211.89,158.00,195.40,217.85,283.49,258.34,69.99,,,,,,,
Profit & Loss,Expenses,,194.77,,,,83.09,,,,113.96,,,,167.72,210.54,189.39,155.00,182.79,206.99,266.67,250.38,68.71,,,,,,,
Profit & Loss,Operating Profit,,-40.42,,,,-27.20,,,,-3.78,,,,12.16,11.35,22.50,3.00,12.61,10.86,16.82,7.96,1.28,,,,,,,
Profit & Loss,OPM %,,-26.19%,,,,-48.67%,,,,-3.43%,,,,6.76%,5.12%,10.62%,1.90%,6.45%,4.99%,5.93%,3.08%,1.83%,,,,,,,
Profit & Loss,Other Income,,1.47,,,,1.01,,,,0.30,,,,1.31,3.06,1.19,1.47,0.77,6.16,2.43,2.11,0.54,,,,,,,
Profit & Loss,Interest,,3.36,,,,0.61,,,,0.79,,,,2.68,5.21,5.51,6.59,6.96,6.22,6.90,8.04,0.02,,,,,,,
Profit & Loss,Depreciation,,1.39,,,,1.52,,,,1.36,,,,0.64,0.76,0.78,0.65,0.81,1.07,2.03,1.97,1.25,,,,,,,
Profit & Loss,Profit before tax,,-43.70,,,,-28.32,,,,-5.63,,,,10.15,8.44,17.40,-2.77,5.61,9.73,10.32,0.06,0.55,,,,,,,
Profit & Loss,Tax %,,0.66%,,,,0.92%,,,,8.70%,,,,37.24%,32.94%,32.82%,67.51%,44.74%,26.31%,31.59%,-100.00%,83.64%,,,,,,,
Profit & Loss,Net Profit,,-43.99,,,,-28.58,,,,-6.12,,,,6.37,5.66,11.69,-4.64,3.10,7.13,7.06,0.13,0.09,,,,,,,
Profit & Loss,EPS in Rs,,-3.50,,,,-2.27,,,,-0.49,,,,0.51,0.36,0.68,-0.07,0.31,0.57,0.56,0.01,0.01,,,,,,,
Profit & Loss,Dividend Payout %,,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,12.57,,,,12.57,,,,12.57,,,,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,,,,,,,
Balance Sheet,Reserves,,71.50,,,,42.99,,,,36.87,,,,87.50,93.43,102.28,97.70,101.65,107.70,114.17,114.33,36.95,,,,,,,
Balance Sheet,Borrowings,,72.35,,,,77.75,,,,79.37,,,,24.10,30.58,33.97,40.10,28.47,37.34,37.70,42.70,78.54,,,,,,,
Balance Sheet,Other Liabilities,,52.05,,,,48.93,,,,78.26,,,,70.77,43.33,51.41,84.70,90.72,103.79,80.48,87.19,78.70,,,,,,,
Balance Sheet,Total Liabilities,,208.47,,,,182.24,,,,207.07,,,,194.94,179.91,200.23,235.07,233.41,261.40,244.92,256.79,206.76,,,,,,,
Balance Sheet,Fixed Assets,,31.61,,,,32.23,,,,30.88,,,,5.80,4.64,4.01,3.50,9.41,17.37,17.82,14.06,29.63,,,,,,,
Balance Sheet,CWIP,,2.16,,,,0.00,,,,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.67,1.19,0.00,,,,,,,
Balance Sheet,Investments,,1.06,,,,0.46,,,,0.47,,,,4.06,5.82,4.75,10.92,11.23,2.36,0.69,0.97,0.47,,,,,,,
