Section,,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,314,196,327,339,310,280,371,385,361,383,457,426,387,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,300,188,303,322,296,269,346,367,357,385,435,403,368,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,14,8,23,18,14,11,24,18,5,-2,22,23,19,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,4%,4%,7%,5%,4%,4%,7%,5%,1%,-1%,5%,5%,5%,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,2,2,2,2,3,1,8,-12,2,2,3,2,1,,,,,,,,,,,,,,,,
Quarterly Results,Interest,2,2,2,1,1,2,2,2,2,2,2,2,1,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,15,16,13,13,13,13,13,13,14,14,18,15,15,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,-1,-8,11,5,2,-2,17,-8,-9,-16,5,8,4,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,-2075%,-21%,23%,15%,-210%,-27%,15%,-15%,-68%,-28%,18%,38%,-495%,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,20,-6,8,5,7,-2,15,-7,-3,-11,4,5,22,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,8.43,-2.54,3.60,1.94,3.04,-0.68,6.26,-3.09,-1.26,-4.86,1.81,2.24,9.21,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1394,,,,1171,,,,1397,,,,1653,173,344,446,559,757,894,1017,1171,,,,,,,,
Profit & Loss,Expenses,1300,,,,1108,,,,1338,,,,1590,154,316,425,525,700,851,930,1087,,,,,,,,
Profit & Loss,Operating Profit,94,,,,63,,,,58,,,,63,18,28,20,34,57,43,87,83,,,,,,,,
Profit & Loss,OPM %,7%,,,,5%,,,,4%,,,,4%,11%,8%,5%,6%,8%,5%,9%,7%,,,,,,,,
Profit & Loss,Other Income,9,,,,9,,,,-0,,,,8,1,1,1,1,-5,2,7,11,,,,,,,,
