Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,,,,,,,,,,,
Profit & Loss,Expenses,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,,,,,,,,,,,,,
Profit & Loss,OPM %,,,,,,,,,,,,,,
Profit & Loss,Other Income,,,,,,,,,,,,,,
Profit & Loss,Interest,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,,,,,,,,,,,
Profit & Loss,Tax %,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,,,,,,,
Balance Sheet,CWIP,,,,,,,,,,,,,,
Balance Sheet,Investments,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,,,,,,,,,,,
Ratios,Working Capital Days,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,51.12%,51.12%,51.12%,51.12%,51.12%,51.12%,51.12%,51.12%,51.12%,51.12%,51.12%,51.12%,,
Shareholding Pattern (Quarterly),FIIs,1.37%,1.29%,1.30%,1.32%,1.12%,0.62%,0.72%,1.14%,1.14%,1.21%,1.11%,1.24%,,
Shareholding Pattern (Quarterly),DIIs,0.34%,0.34%,0.32%,0.32%,0.32%,0.35%,0.35%,0.33%,0.33%,0.33%,0.34%,0.39%,,
Shareholding Pattern (Quarterly),Public,47.17%,47.24%,47.25%,47.25%,47.46%,47.91%,47.79%,47.41%,47.41%,47.35%,47.43%,47.25%,,
Shareholding Pattern (Quarterly),No. of Shareholders,131525,131093,129181,126313,123124,121045,123624,140776,136871,146306,146445,143792,,
,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,51.12%,,,,51.12%,,,,51.12%,51.12%,51.12%
Shareholding Pattern (Yearly),FIIs,,,,1.32%,,,,1.14%,,,,1.24%,5.44%,1.65%
Shareholding Pattern (Yearly),DIIs,,,,0.32%,,,,0.33%,,,,0.39%,0.90%,0.70%
Shareholding Pattern (Yearly),Government,,,,0.00%,,,,0.00%,,,,0.00%,0.27%,0.00%
Shareholding Pattern (Yearly),Public,,,,47.25%,,,,47.41%,,,,47.25%,42.27%,46.53%
Shareholding Pattern (Yearly),No. of Shareholders,,,,126313,,,,140776,,,,143792,93715,135821
,,,,,,,,,,,,,,,
