Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,TTM,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,4437,5541,5577,5457,5253,4627,4160,4101,3670,4094,3934,3676,3768,,,,,,,,,,,,,,,
Quarterly Results,Expenses,3645,4338,4662,4830,4720,3982,3794,4712,3328,3725,3718,3330,3388,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,792,1202,915,627,534,645,366,-612,342,369,216,346,380,,,,,,,,,,,,,,,
Quarterly Results,OPM %,18%,22%,16%,11%,10%,14%,9%,-15%,9%,9%,6%,9%,10%,,,,,,,,,,,,,,,
Quarterly Results,Other Income,17,23,19,47,25,33,49,73,54,59,99,37,25,,,,,,,,,,,,,,,
Quarterly Results,Interest,120,122,131,150,163,169,242,245,235,245,234,227,224,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,198,201,203,188,193,196,193,195,195,186,189,237,207,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,490,902,600,335,203,313,-20,-979,-34,-2,-108,-82,-26,,,,,,,,,,,,,,,
Quarterly Results,Tax %,36%,22%,28%,62%,30%,34%,237%,10%,244%,1912%,44%,63%,344%,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,314,708,429,126,142,207,-66,-1079,-116,-45,-155,-134,-115,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,8.25,19.87,11.99,2.66,3.13,4.92,-2.68,-33.26,-4.34,-2.32,-5.33,-4.80,-4.09,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,21011,,,,18141,,,,15374,,11728,11921,10205,9258,11303,14049,12361,10465,14527,15472,,,,,
Profit & Loss,Expenses,,,,17474,,,,17208,,,,14100,,10411,10716,8854,7727,9030,12083,10880,8787,12166,14160,,,,,
Profit & Loss,Operating Profit,,,,3537,,,,933,,,,1274,,1317,1205,1351,1531,2273,1966,1481,1677,2360,1312,,,,,
Profit & Loss,OPM %,,,,17%,,,,5%,,,,8%,,11%,10%,13%,17%,20%,14%,12%,16%,16%,8%,,,,,
Profit & Loss,Other Income,,,,105,,,,180,,,,248,,57,-180,72,99,-68,42,156,456,193,220,,,,,
Profit & Loss,Interest,,,,524,,,,819,,,,941,,593,620,596,631,595,457,452,491,479,930,,,,,
Profit & Loss,Depreciation,,,,790,,,,776,,,,807,,357,347,328,519,526,555,594,792,798,819,,,,,
Profit & Loss,Profit before tax,,,,2327,,,,-482,,,,-226,,423,58,498,480,1084,996,591,851,1276,-218,,,,,
Profit & Loss,Tax %,,,,32%,,,,65%,,,,99%,,9%,-21%,39%,37%,27%,37%,22%,31%,46%,,,,,,
Profit & Loss,Net Profit,,,,1577,,,,-796,,,,-450,,386,70,302,301,792,631,462,588,694,-449,,,,,
Profit & Loss,EPS in Rs,,,,42.77,,,,-27.89,,,,-16.78,,11.43,2.63,9.61,8.65,22.70,17.29,11.64,16.60,17.25,-16.54,,,,,
Profit & Loss,Dividend Payout %,,,,2%,,,,-4%,,,,-6%,,9%,38%,10%,12%,9%,6%,9%,6%,6%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,67,,,,67,,,,67,,67,67,67,67,67,67,67,67,67,,,,,,
Balance Sheet,Reserves,,,,8360,,,,7275,,,,6570,,3156,2879,2870,3098,3877,4555,4893,5466,6042,,,,,,
Balance Sheet,Borrowings,,,,9731,,,,8690,,,,8494,,8291,7673,7596,7326,7332,7779,7845,8859,8489,,,,,,
Balance Sheet,Other Liabilities,,,,3787,,,,3954,,,,3803,,2947,2734,2511,2354,3100,3297,3193,3471,3864,,,,,,
Balance Sheet,Total Liabilities,,,,21945,,,,19987,,,,18935,,14460,13352,13044,12845,14376,15699,15998,17863,18463,,,,,,
Balance Sheet,Fixed Assets,,,,11977,,,,11357,,,,11184,,9262,8712,8540,8923,8690,9261,9492,11124,10939,,,,,,
Balance Sheet,CWIP,,,,467,,,,432,,,,473,,272,269,411,226,441,795,1362,931,791,,,,,,
Balance Sheet,Investments,,,,14,,,,17,,,,26,,14,26,19,32,35,13,39,15,13,,,,,,
Balance Sheet,Other Assets,,,,9487,,,,8181,,,,7252,,4912,4345,4074,3664,5211,5631,5105,5793,6719,,,,,,
Balance Sheet,Total Assets,,,,21945,,,,19987,,,,18935,,14460,13352,13044,12845,14376,15699,15998,17863,18463,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,1036,,,,3063,,,,1943,,609,1291,1238,1567,868,1706,2240,1823,834,,,,,,
Cash Flows,Cash from Investing Activity,,,,-576,,,,-711,,,,-257,,-95,-382,-531,-504,-539,-1038,-1265,-798,-510,,,,,,
Cash Flows,Cash from Financing Activity,,,,-396,,,,-2115,,,,-1771,,-507,-883,-795,-887,-520,-619,-653,-600,-740,,,,,,
Cash Flows,Net Cash Flow,,,,65,,,,237,,,,-84,,7,26,-88,176,-192,49,322,425,-417,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,43,,,,44,,,,41,,48,42,43,41,54,42,33,38,43,,,,,,
Ratios,Inventory Days,,,,146,,,,104,,,,126,,109,81,112,105,134,112,95,118,124,,,,,,
Ratios,Days Payable,,,,50,,,,44,,,,63,,68,53,71,63,77,63,43,62,69,,,,,,
Ratios,Cash Conversion Cycle,,,,139,,,,104,,,,104,,88,70,84,83,111,90,84,95,98,,,,,,
Ratios,Working Capital Days,,,,90,,,,73,,,,64,,67,42,45,36,-38,59,41,39,71,,,,,,
Ratios,ROCE %,,,,17%,,,,2%,,,,4%,,10%,8%,10%,11%,17%,12%,8%,10%,12%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,41.14%,41.14%,41.14%,41.14%,41.14%,41.14%,41.14%,41.14%,41.14%,41.14%,41.14%,41.18%,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,15.70%,17.19%,17.74%,17.82%,17.08%,16.32%,12.09%,8.76%,8.40%,10.07%,10.48%,10.65%,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,1.64%,2.27%,1.76%,2.30%,0.23%,0.26%,0.34%,1.77%,2.61%,2.93%,3.16%,4.20%,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Government,,0.00%,0.00%,0.34%,0.34%,0.34%,0.34%,0.34%,0.34%,0.34%,0.34%,0.34%,0.34%,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,41.52%,39.39%,39.01%,38.40%,41.20%,41.96%,46.08%,47.98%,47.50%,45.51%,44.88%,43.63%,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,204180,203757,195040,192337,207795,214311,230604,253947,246344,230879,215050,211239,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,41.14%,,,,41.14%,,,,41.14%,,,,41.18%,,,,,,,,,,,41.10%,41.10%,41.10%,41.12%,41.14%
Shareholding Pattern (Yearly),FIIs,14.36%,,,,17.82%,,,,8.76%,,,,10.65%,,,,,,,,,,,18.07%,19.96%,15.15%,14.33%,13.90%
Shareholding Pattern (Yearly),DIIs,1.35%,,,,2.30%,,,,1.77%,,,,4.20%,,,,,,,,,,,7.37%,1.13%,0.85%,1.30%,0.91%
Shareholding Pattern (Yearly),Government,0.00%,,,,0.34%,,,,0.34%,,,,0.34%,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,43.15%,,,,38.40%,,,,47.98%,,,,43.63%,,,,,,,,,,,33.46%,37.81%,42.90%,43.26%,44.05%
Shareholding Pattern (Yearly),No. of Shareholders,194255,,,,192337,,,,253947,,,,211239,,,,,,,,,,,41604,104609,140617,132301,147754
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
