Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2022
Quarterly Results,Sales,27,27,29,23,18,20,24,30,40,40,40,40,
Quarterly Results,Expenses,19,19,22,16,15,20,18,22,25,32,28,31,
Quarterly Results,Operating Profit,9,8,7,8,3,1,6,8,15,9,12,9,
Quarterly Results,OPM %,32%,30%,24%,33%,17%,3%,26%,26%,38%,21%,29%,23%,
Quarterly Results,Other Income,6,6,6,5,-39,7,6,9,7,13,32,38,
Quarterly Results,Interest,4,5,5,5,4,11,14,14,17,14,15,17,
Quarterly Results,Depreciation,4,4,3,4,4,6,7,8,9,8,8,9,
Quarterly Results,Profit before tax,8,5,5,4,-44,-9,-8,-6,-3,-1,20,21,
Quarterly Results,Tax %,15%,26%,29%,-10%,-13%,-50%,-8%,-25%,-31%,14%,23%,34%,
Quarterly Results,Net Profit,6,4,4,5,-38,-5,-8,-5,-2,-1,16,14,
Quarterly Results,EPS in Rs,,,,,,0.01,-0.21,-0.10,0.11,0.13,1.23,1.08,
Quarterly Results,Raw PDF,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,107,,,,93,,,,160,69
Profit & Loss,Expenses,,,,76,,,,75,,,,116,39
Profit & Loss,Operating Profit,,,,32,,,,18,,,,44,31
Profit & Loss,OPM %,,,,30%,,,,19%,,,,28%,44%
Profit & Loss,Other Income,,,,24,,,,-17,,,,89,5
Profit & Loss,Interest,,,,19,,,,43,,,,62,16
Profit & Loss,Depreciation,,,,15,,,,25,,,,34,11
Profit & Loss,Profit before tax,,,,22,,,,-68,,,,38,8
Profit & Loss,Tax %,,,,16%,,,,-19%,,,,30%,42%
Profit & Loss,Net Profit,,,,18,,,,-55,,,,26,5
Profit & Loss,EPS in Rs,,,,,,,,-2.87,,,,2.53,
Profit & Loss,Dividend Payout %,,,,0%,,,,0%,,,,0%,0%
,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,0.00,,,,147,,,,161,78
Balance Sheet,Reserves,,,,1211,,,,1024,,,,2117,531
Balance Sheet,Borrowings,,,,862,,,,962,,,,1656,315
Balance Sheet,Other Liabilities,,,,144,,,,961,,,,3311,101
Balance Sheet,Total Liabilities,,,,2216,,,,3094,,,,7246,1025
Balance Sheet,Fixed Assets,,,,1427,,,,1826,,,,2047,898
Balance Sheet,CWIP,,,,0,,,,0,,,,0,0
Balance Sheet,Investments,,,,160,,,,93,,,,587,13
Balance Sheet,Other Assets,,,,629,,,,1175,,,,4612,114
Balance Sheet,Total Assets,,,,2216,,,,3094,,,,7246,1025
,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,-456,,,,271,,,,225,41
Cash Flows,Cash from Investing Activity,,,,-52,,,,-292,,,,-1993,-121
Cash Flows,Cash from Financing Activity,,,,521,,,,234,,,,1766,78
Cash Flows,Net Cash Flow,,,,13,,,,213,,,,-2,-2
,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,20,,,,31,,,,33,10
Ratios,Inventory Days,,,,6553,,,,,,,,,271
Ratios,Days Payable,,,,458,,,,,,,,,197
Ratios,Cash Conversion Cycle,,,,6115,,,,31,,,,33,85
Ratios,Working Capital Days,,,,1251,,,,377,,,,2683,62
Ratios,ROCE %,,,,2%,,,,0%,,,,3%,
,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,49.51%,49.51%,49.42%,45.26%,45.25%,45.25%,
Shareholding Pattern (Quarterly),FIIs,,,,,,,29.53%,27.61%,27.54%,27.55%,27.78%,27.43%,
Shareholding Pattern (Quarterly),DIIs,,,,,,,0.01%,0.20%,0.03%,5.72%,5.79%,6.30%,
Shareholding Pattern (Quarterly),Public,,,,,,,20.96%,22.69%,23.02%,21.47%,21.18%,21.01%,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,24640,25073,26305,28172,28378,30079,
,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,49.51%,,,,45.25%,
Shareholding Pattern (Yearly),FIIs,,,,,,,,27.61%,,,,27.43%,
Shareholding Pattern (Yearly),DIIs,,,,,,,,0.20%,,,,6.30%,
Shareholding Pattern (Yearly),Public,,,,,,,,22.69%,,,,21.01%,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,25073,,,,30079,
,,,,,,,,,,,,,,
