Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,149,167,187,187,195,210,225,219,225,223,241,232,240,,,
Quarterly Results,Expenses,132,148,164,162,170,182,191,186,187,187,199,195,204,,,
Quarterly Results,Operating Profit,17,19,23,26,26,28,34,33,38,36,42,37,36,,,
Quarterly Results,OPM %,11%,11%,13%,14%,13%,13%,15%,15%,17%,16%,18%,16%,15%,,,
Quarterly Results,Other Income,1,2,1,1,2,1,2,2,2,4,7,9,12,,,
Quarterly Results,Interest,4,4,5,5,5,7,8,8,9,8,8,8,8,,,
Quarterly Results,Depreciation,6,7,7,8,9,9,10,10,11,11,11,11,12,,,
Quarterly Results,Profit before tax,8,11,13,13,14,13,19,16,20,22,31,27,29,,,
Quarterly Results,Tax %,-61%,22%,31%,23%,24%,26%,28%,29%,29%,24%,28%,23%,20%,,,
Quarterly Results,Net Profit,13,8,9,10,11,10,14,12,14,17,22,21,23,,,
Quarterly Results,EPS in Rs,1.00,0.63,0.68,0.78,0.79,0.72,1.00,0.85,1.04,1.22,1.62,1.50,1.67,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,555,,,,737,,,,879,,,,937,547,565,408
Profit & Loss,Expenses,487,,,,643,,,,746,,,,785,481,503,373
Profit & Loss,Operating Profit,68,,,,94,,,,133,,,,152,66,62,35
Profit & Loss,OPM %,12%,,,,13%,,,,15%,,,,16%,12%,11%,9%
Profit & Loss,Other Income,3,,,,7,,,,7,,,,33,2,4,7
Profit & Loss,Interest,12,,,,20,,,,31,,,,32,11,13,13
Profit & Loss,Depreciation,22,,,,31,,,,40,,,,45,20,23,22
Profit & Loss,Profit before tax,37,,,,51,,,,68,,,,108,37,31,8
Profit & Loss,Tax %,16%,,,,25%,,,,28%,,,,24%,45%,36%,18%
Profit & Loss,Net Profit,31,,,,38,,,,49,,,,82,20,19,6
Profit & Loss,EPS in Rs,2.40,,,,2.88,,,,3.62,,,,6.00,0.97,1.49,0.49
Profit & Loss,Dividend Payout %,0%,,,,16%,,,,12%,,,,7%,0%,0%,0%
,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,13,,,,13,,,,14,,,,14,13,13,13
Balance Sheet,Reserves,346,,,,390,,,,435,,,,824,280,300,307
Balance Sheet,Borrowings,201,,,,286,,,,320,,,,290,114,113,147
Balance Sheet,Other Liabilities,149,,,,216,,,,203,,,,229,147,160,133
Balance Sheet,Total Liabilities,710,,,,905,,,,972,,,,1357,554,586,600
Balance Sheet,Fixed Assets,489,,,,605,,,,719,,,,746,381,393,383
Balance Sheet,CWIP,64,,,,95,,,,33,,,,39,49,56,81
Balance Sheet,Investments,0,,,,0,,,,0,,,,0,0,0,0
Balance Sheet,Other Assets,157,,,,205,,,,219,,,,572,124,137,136
Balance Sheet,Total Assets,710,,,,905,,,,972,,,,1357,554,586,600
,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,60,,,,127,,,,109,,,,146,40,56,27
Cash Flows,Cash from Investing Activity,-107,,,,-158,,,,-87,,,,-385,-50,-26,-37
Cash Flows,Cash from Financing Activity,44,,,,38,,,,-30,,,,267,14,-27,18
Cash Flows,Net Cash Flow,-3,,,,7,,,,-8,,,,27,5,2,8
,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,48,,,,46,,,,39,,,,39,52,49,49
Ratios,Inventory Days,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,
