Section,,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,
,,,,,,,,,,,
Profit & Loss,Sales,,,,,,,,,,
Profit & Loss,Expenses,,,,,,,,,,
Profit & Loss,Operating Profit,,,,,,,,,,
Profit & Loss,OPM %,,,,,,,,,,
Profit & Loss,Other Income,,,,,,,,,,
Profit & Loss,Interest,,,,,,,,,,
Profit & Loss,Depreciation,,,,,,,,,,
Profit & Loss,Profit before tax,,,,,,,,,,
Profit & Loss,Tax %,,,,,,,,,,
Profit & Loss,Net Profit,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,,,
,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,,,
Balance Sheet,Reserves,,,,,,,,,,
Balance Sheet,Borrowings,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,,,
Balance Sheet,CWIP,,,,,,,,,,
Balance Sheet,Investments,,,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,,,
,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,,
,,,,,,,,,,,
Ratios,Debtor Days,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,,,,,,,
Ratios,Working Capital Days,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,
,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,68.65%,70.40%,70.40%,70.40%,70.40%,70.40%,70.40%,70.40%,70.40%,70.40%
Shareholding Pattern (Quarterly),FIIs,7.33%,5.04%,5.02%,4.36%,4.35%,5.50%,6.97%,4.40%,3.77%,4.14%
Shareholding Pattern (Quarterly),DIIs,0.18%,0.00%,0.00%,0.00%,0.00%,0.14%,0.14%,0.14%,0.90%,0.47%
Shareholding Pattern (Quarterly),Public,23.84%,24.56%,24.58%,25.23%,25.25%,23.95%,22.48%,25.04%,24.92%,24.99%
Shareholding Pattern (Quarterly),No. of Shareholders,65192,63039,59936,59647,47541,44014,40676,39229,38056,36659
,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,70.40%,,,,70.40%,,,,70.40%
Shareholding Pattern (Yearly),FIIs,,5.04%,,,,5.50%,,,,4.14%
Shareholding Pattern (Yearly),DIIs,,0.00%,,,,0.14%,,,,0.47%
Shareholding Pattern (Yearly),Public,,24.56%,,,,23.95%,,,,24.99%
Shareholding Pattern (Yearly),No. of Shareholders,,63039,,,,44014,,,,36659
,,,,,,,,,,,
