Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 20146m,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2014
Quarterly Results,Sales,1596,1247,1513,1597,2043,1386,1473,1493,1868,1540,1644,1497,1744,,,,,,,,,
Quarterly Results,Expenses,1490,1175,1422,1469,1878,1282,1340,1369,1730,1415,1505,1378,1592,,,,,,,,,
Quarterly Results,Operating Profit,106,72,91,128,164,104,134,123,138,125,139,118,152,,,,,,,,,
Quarterly Results,OPM %,7%,6%,6%,8%,8%,7%,9%,8%,7%,8%,8%,8%,9%,,,,,,,,,
Quarterly Results,Other Income,1,4,3,1,6,13,4,5,4,9,24,4,3,,,,,,,,,
Quarterly Results,Interest,32,20,18,17,17,19,20,13,11,11,8,20,13,,,,,,,,,
Quarterly Results,Depreciation,27,25,26,26,27,25,26,27,28,26,27,51,12,,,,,,,,,
Quarterly Results,Profit before tax,48,30,49,85,126,72,91,89,102,96,128,52,130,,,,,,,,,
Quarterly Results,Tax %,19%,40%,42%,23%,26%,27%,30%,25%,30%,30%,25%,56%,24%,,,,,,,,,
Quarterly Results,Net Profit,39,18,28,66,93,53,64,67,72,67,96,23,98,,,,,,,,,
Quarterly Results,EPS in Rs,5.12,2.42,4.02,8.56,11.71,6.89,8.13,8.42,9.70,8.90,12.59,2.73,12.40,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,5499,,,,6399,,,,6219,,,,6422,1679,3952,4507,3916,3790,5050,5882,5426,
Profit & Loss,Expenses,5165,,,,5926,,,,5700,,,,5843,1595,3679,4157,3510,3481,4761,5537,4956,
Profit & Loss,Operating Profit,335,,,,473,,,,520,,,,579,84,273,349,407,309,289,345,469,
Profit & Loss,OPM %,6%,,,,7%,,,,8%,,,,9%,5%,7%,8%,10%,8%,6%,6%,9%,
Profit & Loss,Other Income,13,,,,12,,,,25,,,,39,30,47,76,93,56,65,31,52,
Profit & Loss,Interest,88,,,,91,,,,84,,,,39,23,51,66,58,34,45,61,64,
Profit & Loss,Depreciation,101,,,,104,,,,106,,,,102,34,83,76,75,81,82,101,101,
Profit & Loss,Profit before tax,158,,,,290,,,,354,,,,477,58,188,284,367,251,227,214,356,
Profit & Loss,Tax %,27%,,,,29%,,,,28%,,,,25%,33%,34%,33%,32%,33%,37%,30%,29%,
Profit & Loss,Net Profit,115,,,,206,,,,255,,,,356,39,123,190,248,168,144,149,253,
Profit & Loss,EPS in Rs,14.80,,,,26.72,,,,33.14,,,,46.37,5.74,16.03,25.13,32.94,21.40,19.42,19.65,33.71,
Profit & Loss,Dividend Payout %,14%,,,,11%,,,,12%,,,,0%,12%,12%,8%,9%,7%,33%,10%,9%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,7,,,,7,,,,7,,,,7,,7,7,7,7,7,7,7,7
Balance Sheet,Reserves,2114,,,,2297,,,,2515,,,,2731,,837,1021,1246,1374,1508,1777,2014,744
Balance Sheet,Borrowings,1233,,,,1235,,,,814,,,,861,,524,661,356,174,304,991,983,537
Balance Sheet,Other Liabilities,3387,,,,3513,,,,4470,,,,4442,,2110,2434,2504,2271,3303,3166,3441,1803
Balance Sheet,Total Liabilities,6741,,,,7053,,,,7807,,,,8041,,3479,4124,4114,3826,5121,5941,6445,3091
Balance Sheet,Fixed Assets,977,,,,947,,,,956,,,,974,,554,615,623,629,749,833,803,532
Balance Sheet,CWIP,702,,,,805,,,,959,,,,66,,14,10,19,32,19,706,893,41
Balance Sheet,Investments,135,,,,33,,,,29,,,,85,,348,554,697,371,155,98,60,143
Balance Sheet,Other Assets,4928,,,,5267,,,,5863,,,,6916,,2562,2944,2775,2794,4199,4303,4689,2375
Balance Sheet,Total Assets,6741,,,,7053,,,,7807,,,,8041,,3479,4124,4114,3826,5121,5941,6445,3091
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-70,,,,208,,,,735,,,,116,,261,123,236,101,-238,104,228,-193
Cash Flows,Cash from Investing Activity,-159,,,,-43,,,,-274,,,,-304,,-239,-261,-141,276,73,-328,-164,66
Cash Flows,Cash from Financing Activity,176,,,,-98,,,,-487,,,,108,,-66,66,-370,-233,93,295,-89,150
Cash Flows,Net Cash Flow,-53,,,,67,,,,-26,,,,-80,,-44,-72,-275,144,-71,71,-25,23
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,143,,,,161,,,,172,,,,161,,96,116,106,109,137,111,144,173
Ratios,Inventory Days,153,,,,110,,,,140,,,,143,,125,115,183,143,142,125,128,311
Ratios,Days Payable,157,,,,141,,,,141,,,,121,,179,183,241,189,174,147,180,306
Ratios,Cash Conversion Cycle,138,,,,129,,,,171,,,,183,,42,48,48,64,105,89,92,178
Ratios,Working Capital Days,104,,,,103,,,,84,,,,155,,32,36,31,55,78,68,82,82
Ratios,ROCE %,8%,,,,11%,,,,12%,,,,14%,,16%,21%,23%,17%,15%,11%,14%,6%
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,62.43%,62.43%,62.43%,62.43%,62.43%,62.43%,62.43%,62.43%,62.43%,62.43%,62.43%,62.43%,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,2.35%,2.45%,2.81%,2.45%,2.77%,3.48%,3.53%,3.51%,3.83%,3.91%,4.20%,3.47%,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,7.39%,7.10%,7.14%,7.80%,8.17%,8.33%,8.73%,8.81%,8.82%,11.26%,11.57%,11.11%,,,,,,,,,
Shareholding Pattern (Quarterly),Government,,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,27.82%,27.99%,27.60%,27.30%,26.61%,25.75%,25.30%,25.23%,24.91%,22.40%,21.81%,23.00%,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,34286,34014,33170,33309,30686,32601,32484,31635,30328,30009,28925,32763,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,62.43%,,,,62.43%,,,,62.43%,,,,62.43%,,,,62.27%,62.27%,62.27%,62.36%,62.43%,
Shareholding Pattern (Yearly),FIIs,2.29%,,,,2.45%,,,,3.51%,,,,3.47%,,,,2.32%,2.30%,2.27%,1.58%,1.94%,
Shareholding Pattern (Yearly),DIIs,7.03%,,,,7.80%,,,,8.81%,,,,11.11%,,,,3.00%,6.00%,8.77%,10.66%,6.95%,
Shareholding Pattern (Yearly),Government,0.01%,,,,0.01%,,,,0.01%,,,,0.01%,,,,0.01%,0.63%,0.88%,0.01%,0.01%,
Shareholding Pattern (Yearly),Public,28.23%,,,,27.30%,,,,25.23%,,,,23.00%,,,,32.39%,28.80%,25.81%,25.38%,28.67%,
Shareholding Pattern (Yearly),No. of Shareholders,35548,,,,33309,,,,31635,,,,32763,,,,9418,10308,11070,11852,13823,
,,,,,,,,,,,,,,,,,,,,,,,
