Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 20206m,Mar 2021,Mar 2020
Quarterly Results,Sales,812,783,646,549,574,426,379,352,410,414,544,569,553,,,
Quarterly Results,Expenses,678,652,567,497,496,448,371,360,408,408,513,528,488,,,
Quarterly Results,Operating Profit,134,132,78,53,78,-22,8,-8,2,6,31,41,65,,,
Quarterly Results,OPM %,16%,17%,12%,10%,14%,-5%,2%,-2%,0%,1%,6%,7%,12%,,,
Quarterly Results,Other Income,27,38,26,24,27,7,12,10,9,9,12,9,14,,,
Quarterly Results,Interest,7,9,-3,43,16,4,13,27,2,11,26,13,19,,,
Quarterly Results,Depreciation,17,18,18,18,23,24,23,23,23,23,25,30,29,,,
Quarterly Results,Profit before tax,136,142,89,15,67,-43,-16,-48,-14,-19,-9,7,31,,,
Quarterly Results,Tax %,25%,23%,25%,46%,19%,-20%,-3%,-20%,25%,-13%,1%,159%,35%,,,
Quarterly Results,Net Profit,102,109,66,8,54,-34,-15,-38,-18,-17,-9,-4,20,,,
Quarterly Results,EPS in Rs,4.02,4.29,2.60,0.33,2.13,-1.36,-0.60,-1.50,-0.71,-0.66,-0.36,-0.17,0.78,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,2498,,,,2553,,,,1566,,,,2080,700,1637,
Profit & Loss,Expenses,2119,,,,2211,,,,1586,,,,1936,595,1353,
Profit & Loss,Operating Profit,379,,,,342,,,,-19,,,,144,105,283,
Profit & Loss,OPM %,15%,,,,13%,,,,-1%,,,,7%,15%,17%,
Profit & Loss,Other Income,102,,,,114,,,,37,,,,42,130,30,
Profit & Loss,Interest,9,,,,66,,,,46,,,,69,18,11,
Profit & Loss,Depreciation,63,,,,77,,,,92,,,,108,22,51,
Profit & Loss,Profit before tax,409,,,,313,,,,-121,,,,9,194,252,
Profit & Loss,Tax %,26%,,,,24%,,,,-12%,,,,212%,23%,26%,
Profit & Loss,Net Profit,304,,,,238,,,,-106,,,,-11,150,186,
Profit & Loss,EPS in Rs,11.97,,,,9.35,,,,-4.17,,,,-0.42,29914.00,37296.00,
Profit & Loss,Dividend Payout %,12%,,,,15%,,,,0%,,,,0%,17%,19%,
,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,25,,,,25,,,,25,,,,25,,25,25
Balance Sheet,Reserves,1441,,,,1644,,,,1502,,,,1490,,1148,961
Balance Sheet,Borrowings,499,,,,824,,,,837,,,,829,,268,264
Balance Sheet,Other Liabilities,832,,,,705,,,,674,,,,741,,533,407
Balance Sheet,Total Liabilities,2798,,,,3198,,,,3039,,,,3085,,1974,1657
Balance Sheet,Fixed Assets,911,,,,1166,,,,1152,,,,1575,,634,481
Balance Sheet,CWIP,188,,,,356,,,,521,,,,83,,112,101
Balance Sheet,Investments,211,,,,183,,,,114,,,,3,,304,191
Balance Sheet,Other Assets,1487,,,,1494,,,,1251,,,,1425,,924,885
Balance Sheet,Total Assets,2798,,,,3198,,,,3039,,,,3085,,1974,1657
,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,65,,,,204,,,,250,,,,66,,333,22
Cash Flows,Cash from Investing Activity,-133,,,,-418,,,,-178,,,,31,,-307,13
Cash Flows,Cash from Financing Activity,58,,,,234,,,,-85,,,,-91,,-14,-26
Cash Flows,Net Cash Flow,-10,,,,21,,,,-14,,,,6,,12,8
,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,79,,,,75,,,,101,,,,99,,92,241
Ratios,Inventory Days,161,,,,158,,,,185,,,,173,,152,271
Ratios,Days Payable,144,,,,108,,,,176,,,,159,,137,209
Ratios,Cash Conversion Cycle,96,,,,124,,,,110,,,,113,,106,302
Ratios,Working Capital Days,99,,,,113,,,,132,,,,116,,89,239
Ratios,ROCE %,24%,,,,16%,,,,-3%,,,,3%,,19%,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,49.29%,49.37%,49.37%,49.48%,49.50%,49.32%,49.32%,49.32%,49.32%,49.33%,49.33%,49.41%,,,
Shareholding Pattern (Quarterly),FIIs,,1.44%,1.64%,1.57%,1.53%,1.50%,1.34%,1.30%,1.52%,1.39%,2.22%,1.90%,1.81%,,,
Shareholding Pattern (Quarterly),DIIs,,0.00%,0.08%,0.34%,0.45%,0.45%,0.61%,0.26%,0.20%,0.20%,0.42%,0.27%,0.48%,,,
Shareholding Pattern (Quarterly),Government,,0.05%,0.05%,0.05%,0.05%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,,,
