Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Jun 2025
Quarterly Results,Sales,91,96,99,98,92,92,91,89,97,97,98,96,103,,,,,,,,,
Quarterly Results,Expenses,67,75,79,80,81,79,80,78,79,81,79,82,84,,,,,,,,,
Quarterly Results,Operating Profit,24,22,20,18,11,12,11,11,17,16,19,14,19,,,,,,,,,
Quarterly Results,OPM %,27%,22%,21%,19%,12%,13%,12%,12%,18%,16%,19%,15%,19%,,,,,,,,,
Quarterly Results,Other Income,3,2,2,4,5,3,4,5,3,3,4,3,3,,,,,,,,,
Quarterly Results,Interest,2,2,2,2,2,1,1,1,1,1,1,1,0,,,,,,,,,
Quarterly Results,Depreciation,7,7,7,8,8,8,8,8,7,7,7,7,7,,,,,,,,,
Quarterly Results,Profit before tax,18,14,13,13,6,6,6,7,12,11,16,10,15,,,,,,,,,
Quarterly Results,Tax %,12%,18%,23%,29%,21%,41%,33%,19%,22%,32%,21%,32%,30%,,,,,,,,,
Quarterly Results,Net Profit,16,12,10,9,5,3,4,6,9,8,13,7,10,,,,,,,,,
Quarterly Results,EPS in Rs,6.63,4.80,4.22,3.86,1.95,1.42,1.73,2.29,3.80,3.18,5.20,2.90,4.31,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,271,,,,385,,,,369,,,,395,38,43,74,83,95,116,157,180,
Profit & Loss,Expenses,206,,,,314,,,,318,,,,326,29,34,56,69,76,96,127,141,
Profit & Loss,Operating Profit,66,,,,71,,,,51,,,,68,9,9,18,15,19,20,29,39,
Profit & Loss,OPM %,24%,,,,18%,,,,14%,,,,17%,22%,21%,24%,18%,20%,17%,19%,22%,
Profit & Loss,Other Income,18,,,,13,,,,15,,,,13,-0,0,-1,1,2,5,8,15,
Profit & Loss,Interest,5,,,,8,,,,6,,,,2,0,0,0,0,0,0,2,3,
Profit & Loss,Depreciation,18,,,,30,,,,29,,,,27,1,3,3,3,2,3,10,16,
Profit & Loss,Profit before tax,61,,,,47,,,,31,,,,53,7,6,15,13,19,22,26,35,
Profit & Loss,Tax %,9%,,,,23%,,,,27%,,,,28%,4%,12%,11%,-6%,11%,14%,17%,-5%,
Profit & Loss,Net Profit,55,,,,36,,,,22,,,,38,7,6,13,13,17,19,21,37,
Profit & Loss,EPS in Rs,22.75,,,,14.83,,,,9.25,,,,15.58,14.33,10.99,25.86,7.52,6.97,7.87,8.82,15.34,
Profit & Loss,Dividend Payout %,4%,,,,7%,,,,11%,,,,6%,1%,1%,1%,2%,7%,1%,0%,20%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,24,,,,24,,,,24,,,,24,5,5,5,18,24,24,24,24,
Balance Sheet,Reserves,208,,,,247,,,,271,,,,308,17,23,36,37,82,102,120,157,
Balance Sheet,Borrowings,31,,,,36,,,,24,,,,20,1,0,0,4,0,0,33,39,
Balance Sheet,Other Liabilities,136,,,,98,,,,69,,,,60,3,4,7,6,9,7,35,26,
Balance Sheet,Total Liabilities,399,,,,406,,,,389,,,,412,27,32,48,64,115,134,213,245,
Balance Sheet,Fixed Assets,223,,,,217,,,,170,,,,129,7,6,5,5,4,10,101,82,
