Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 201415m,Jun 2015,Mar 20169m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Jun 2014,Mar 2016
Quarterly Results,Sales,35.19,27.49,25.53,17.82,22.24,22.88,27.99,32.56,27.77,30.11,41.16,33.80,33.43,,,,,,,,,,
Quarterly Results,Expenses,22.59,21.18,20.50,15.61,18.94,20.24,23.82,25.69,25.75,26.40,36.21,28.61,29.35,,,,,,,,,,
Quarterly Results,Operating Profit,12.60,6.31,5.03,2.21,3.30,2.64,4.17,6.87,2.02,3.71,4.95,5.19,4.08,,,,,,,,,,
Quarterly Results,OPM %,35.81%,22.95%,19.70%,12.40%,14.84%,11.54%,14.90%,21.10%,7.27%,12.32%,12.03%,15.36%,12.20%,,,,,,,,,,
Quarterly Results,Other Income,-2.27,0.95,0.98,-5.95,0.02,0.38,-0.18,0.54,0.32,0.56,0.03,0.83,0.82,,,,,,,,,,
Quarterly Results,Interest,2.99,2.91,3.03,3.08,2.85,1.35,1.19,1.28,1.07,0.65,0.54,0.61,0.47,,,,,,,,,,
Quarterly Results,Depreciation,9.46,3.59,3.62,3.47,3.47,3.47,3.59,2.84,2.90,1.76,1.76,1.83,1.42,,,,,,,,,,
Quarterly Results,Profit before tax,-2.12,0.76,-0.64,-10.29,-3.00,-1.80,-0.79,3.29,-1.63,1.86,2.68,3.58,3.01,,,,,,,,,,
Quarterly Results,Tax %,607.08%,6.58%,-46.88%,2.24%,0.00%,7.22%,-22.78%,38.60%,28.22%,30.65%,28.36%,24.30%,32.89%,,,,,,,,,,
Quarterly Results,Net Profit,-15.07,0.60,-0.38,-10.42,-3.01,-1.85,-0.49,1.78,-2.09,1.44,2.10,2.70,2.03,,,,,,,,,,
Quarterly Results,EPS in Rs,-5.25,0.21,-0.13,-3.63,-0.98,-0.56,-0.15,0.54,-0.63,0.40,0.59,0.76,0.57,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,194,,,,93,,,,111,,,,138,119,166,130,110,60,71,61,86,,
Profit & Loss,Expenses,93,,,,76,,,,95,,,,121,111,139,110,87,63,73,65,67,,
Profit & Loss,Operating Profit,101,,,,17,,,,16,,,,18,8,28,20,23,-4,-2,-4,20,,
Profit & Loss,OPM %,52%,,,,18%,,,,14%,,,,13%,7%,17%,16%,21%,-6%,-3%,-6%,23%,,
Profit & Loss,Other Income,-4,,,,-4,,,,1,,,,2,25,4,8,-2,4,1,-30,0,,
Profit & Loss,Interest,20,,,,12,,,,5,,,,2,27,24,15,19,10,7,20,26,,
Profit & Loss,Depreciation,17,,,,14,,,,13,,,,7,9,11,9,10,11,7,8,8,,
Profit & Loss,Profit before tax,59,,,,-13,,,,-1,,,,11,-3,-3,4,-8,-20,-15,-62,-14,,
Profit & Loss,Tax %,35%,,,,-0%,,,,182%,,,,29%,45%,31%,-5%,-19%,-5%,-59%,1%,-29%,,
Profit & Loss,Net Profit,38,,,,-13,,,,-3,,,,8,-5,-5,4,-7,-19,-6,-63,-10,,
Profit & Loss,EPS in Rs,13.59,,,,-4.30,,,,-0.75,,,,2.22,-3.05,-2.29,1.67,-2.51,-6.14,-1.97,-21.10,-4.03,,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,,
,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,29,,,,31,,,,33,,,,36,,22,,22,28,28,29,29,22,22
Balance Sheet,Reserves,-15,,,,15,,,,35,,,,68,,20,,16,21,15,-43,-54,30,22
Balance Sheet,Borrowings,130,,,,75,,,,59,,,,39,,137,,126,113,96,141,163,164,121
Balance Sheet,Other Liabilities,42,,,,31,,,,30,,,,33,,100,,88,67,76,73,52,113,77
Balance Sheet,Total Liabilities,186,,,,152,,,,157,,,,176,,279,,252,229,216,200,190,329,242
Balance Sheet,Fixed Assets,94,,,,68,,,,58,,,,86,,122,,133,116,108,105,98,162,104
Balance Sheet,CWIP,18,,,,16,,,,23,,,,0,,27,,24,28,31,28,26,22,30
Balance Sheet,Investments,0,,,,0,,,,0,,,,0,,0,,0,0,0,0,0,0,0
Balance Sheet,Other Assets,74,,,,67,,,,76,,,,90,,130,,94,85,77,68,66,145,107
Balance Sheet,Total Assets,186,,,,152,,,,157,,,,176,,279,,252,229,216,200,190,329,242
,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,79,,,,9,,,,2,,,,2,,27,,31,11,27,5,9,89,12
Cash Flows,Cash from Investing Activity,-6,,,,7,,,,-9,,,,-12,,37,,-13,-3,-4,-0,-0,-57,17
Cash Flows,Cash from Financing Activity,-63,,,,-22,,,,2,,,,5,,-60,,-19,-10,-23,3,-12,-26,-30
Cash Flows,Net Cash Flow,10,,,,-5,,,,-6,,,,-5,,4,,-0,-3,-1,9,-3,6,-1
,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,35,,,,79,,,,89,,,,114,,124,,97,125,75,48,37,209,121
Ratios,Inventory Days,56,,,,68,,,,78,,,,82,,77,,90,139,65,69,41,91,56
Ratios,Days Payable,96,,,,91,,,,98,,,,98,,220,,266,301,216,192,141,363,218
Ratios,Cash Conversion Cycle,-5,,,,55,,,,68,,,,97,,-18,,-79,-37,-75,-76,-63,-64,-41
Ratios,Working Capital Days,6,,,,34,,,,71,,,,102,,-88,,-191,-456,-181,-156,-71,-106,-75
Ratios,ROCE %,61%,,,,5%,,,,4%,,,,10%,,10%,,9%,-8%,-5%,-6%,10%,2%,7%
,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,47.80%,47.58%,47.58%,51.00%,54.58%,54.81%,54.81%,54.81%,58.11%,58.11%,58.11%,58.16%,,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.76%,0.57%,0.37%,0.18%,0.17%,0.18%,0.17%,0.17%,0.15%,0.15%,0.15%,0.24%,,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,3.99%,4.00%,4.00%,3.74%,0.41%,0.41%,0.62%,0.81%,0.75%,0.66%,0.66%,0.66%,,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,47.45%,47.85%,48.05%,45.08%,44.84%,44.61%,44.41%,44.21%,40.99%,41.08%,41.07%,40.93%,,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,26969,28433,28515,26820,27202,26652,26422,25717,25716,28943,29099,28472,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,47.79%,,,,51.00%,,,,54.81%,,,,58.16%,,,,23.99%,18.66%,18.13%,19.88%,19.88%,,
Shareholding Pattern (Yearly),FIIs,1.12%,,,,0.18%,,,,0.17%,,,,0.24%,,,,4.74%,3.57%,3.64%,3.50%,3.50%,,
Shareholding Pattern (Yearly),DIIs,1.19%,,,,3.74%,,,,0.81%,,,,0.66%,,,,1.70%,1.01%,1.01%,0.66%,0.47%,,
Shareholding Pattern (Yearly),Public,49.89%,,,,45.08%,,,,44.21%,,,,40.93%,,,,69.57%,76.75%,77.22%,75.96%,76.15%,,
Shareholding Pattern (Yearly),No. of Shareholders,26220,,,,26820,,,,25717,,,,28472,,,,19769,20791,20281,19642,19350,,
,,,,,,,,,,,,,,,,,,,,,,,,
