Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,TTM,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,2827,4955,3177,2214,3893,5611,3871,2668,4317,7197,4805,3689,5567,,,,,,,,,,,,,,,
Quarterly Results,Expenses,2296,3704,2478,1907,3095,4101,2989,2249,3329,5206,3654,3110,4304,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,531,1251,699,307,798,1511,882,418,989,1991,1151,579,1263,,,,,,,,,,,,,,,
Quarterly Results,OPM %,19%,25%,22%,14%,20%,27%,23%,16%,23%,28%,24%,16%,23%,,,,,,,,,,,,,,,
Quarterly Results,Other Income,9,10,11,9,10,42,19,9,8,44,24,45,28,,,,,,,,,,,,,,,
Quarterly Results,Interest,47,46,45,47,63,69,62,74,94,129,119,109,41,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,131,153,153,180,172,172,171,166,188,242,257,261,273,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,361,1062,511,90,573,1311,667,188,716,1663,800,254,978,,,,,,,,,,,,,,,
Quarterly Results,Tax %,25%,24%,23%,9%,24%,23%,23%,24%,23%,24%,21%,23%,25%,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,271,802,395,82,439,1005,514,144,548,1262,629,196,731,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,0.78,2.42,1.17,0.23,1.32,3.06,1.54,0.41,1.65,3.86,1.91,0.55,2.15,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,13173,,,,16043,,,,20008,,2115,2502,3394,3861,4004,5105,7130,6450,8823,21257,,,,,
Profit & Loss,Expenses,,,,10310,,,,12326,,,,15193,,1824,2116,2752,3052,3165,4069,5667,5235,7129,16273,,,,,
Profit & Loss,Operating Profit,,,,2863,,,,3717,,,,4815,,291,387,642,810,838,1036,1462,1215,1694,4984,,,,,
Profit & Loss,OPM %,,,,22%,,,,23%,,,,24%,,14%,15%,19%,21%,21%,20%,21%,19%,19%,23%,,,,,
Profit & Loss,Other Income,,,,-18,,,,-5,,,,48,,19,14,36,27,14,6,47,-30,51,141,,,,,
Profit & Loss,Interest,,,,204,,,,292,,,,483,,171,187,170,435,215,223,324,294,207,398,,,,,
Profit & Loss,Depreciation,,,,617,,,,681,,,,947,,184,210,317,322,347,385,489,529,531,1032,,,,,
Profit & Loss,Profit before tax,,,,2024,,,,2739,,,,3433,,-46,4,191,79,291,434,696,363,1007,3695,,,,,
Profit & Loss,Tax %,,,,23%,,,,23%,,,,23%,,-11%,658%,41%,39%,26%,31%,32%,1%,26%,,,,,,
Profit & Loss,Net Profit,,,,1550,,,,2102,,,,2634,,-40,-20,113,48,214,300,472,357,746,2818,,,,,
Profit & Loss,EPS in Rs,,,,4.61,,,,6.33,,,,7.67,,-0.18,-0.09,0.50,0.14,0.68,0.95,1.44,1.01,2.14,8.47,,,,,
Profit & Loss,Dividend Payout %,,,,15%,,,,16%,,,,13%,,0%,0%,0%,0%,22%,16%,15%,22%,16%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,650,,,,650,,,,676,,134,134,134,182,183,183,289,289,433,,,,,,
Balance Sheet,Reserves,,,,4453,,,,6287,,,,15934,,82,9,91,1511,1587,1816,3040,3235,3647,,,,,,
Balance Sheet,Borrowings,,,,3884,,,,5431,,,,2826,,2332,2615,2527,2215,2654,2808,3417,3216,3387,,,,,,
Balance Sheet,Other Liabilities,,,,2632,,,,2819,,,,3688,,439,533,1680,915,852,1192,1630,1707,2113,,,,,,
Balance Sheet,Total Liabilities,,,,11618,,,,15187,,,,23124,,2986,3292,4431,4824,5276,5998,8376,8447,9579,,,,,,
Balance Sheet,Fixed Assets,,,,6932,,,,8409,,,,13402,,2375,2355,3496,3716,3981,4387,6479,6409,6311,,,,,,
Balance Sheet,CWIP,,,,607,,,,1922,,,,1167,,27,25,38,96,145,352,64,67,497,,,,,,
Balance Sheet,Investments,,,,0,,,,21,,,,60,,1,304,3,7,8,11,0,0,0,,,,,,
Balance Sheet,Other Assets,,,,4079,,,,4835,,,,8496,,583,608,894,1006,1141,1247,1833,1972,2772,,,,,,
Balance Sheet,Total Assets,,,,11618,,,,15187,,,,23124,,2986,3292,4431,4824,5276,5998,8376,8447,9579,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,1790,,,,2391,,,,3381,,297,431,555,826,620,1000,1308,1012,1231,,,,,,
Cash Flows,Cash from Investing Activity,,,,-1769,,,,-3288,,,,-4311,,-574,-500,-300,-1048,-746,-937,-2320,-472,-1008,,,,,,
Cash Flows,Cash from Financing Activity,,,,-18,,,,985,,,,2954,,274,58,-236,230,159,-84,1107,-574,-178,,,,,,
Cash Flows,Net Cash Flow,,,,4,,,,88,,,,2024,,-2,-11,19,8,32,-22,95,-33,46,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,8,,,,8,,,,15,,11,14,11,12,14,9,9,14,9,,,,,,
