Section,,Mar 2024,Dec 2024,Mar 2025,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Jun 2024,Sep 2024,Apr 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,45,49,50,,,,,,,,,,,,,,,
Quarterly Results,Expenses,17,15,42,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,29,34,8,,,,,,,,,,,,,,,
Quarterly Results,OPM %,63%,70%,16%,,,,,,,,,,,,,,,
Quarterly Results,Other Income,2,1,0,,,,,,,,,,,,,,,
Quarterly Results,Interest,4,4,5,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,10,12,13,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,16,19,-9,,,,,,,,,,,,,,,
Quarterly Results,Tax %,4%,12%,52%,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,16,17,-14,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,14.74,15.90,-12.38,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,167,,193,,,,,,,,,,,,,,,
Profit & Loss,Expenses,49,,82,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,117,,110,,,,,,,,,,,,,,,
Profit & Loss,OPM %,70%,,57%,,,,,,,,,,,,,,,
Profit & Loss,Other Income,8,,9,,,,,,,,,,,,,,,
Profit & Loss,Interest,20,,17,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,34,,47,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,71,,56,,,,,,,,,,,,,,,
Profit & Loss,Tax %,11%,,28%,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,63,,41,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,59.38,,36.43,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,0%,,0%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,11,,11,,,,,,,,,,,,,,,
Balance Sheet,Reserves,288,,389,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,150,,213,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,51,,71,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,500,,684,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,366,,429,,,,,,,,,,,,,,,
Balance Sheet,CWIP,7,,46,,,,,,,,,,,,,,,
Balance Sheet,Investments,0,,1,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,127,,208,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,500,,684,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,72,,79,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,-63,,-152,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,-7,,96,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,1,,22,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,101,,120,,,,,,,,,,,,,,,
Ratios,Inventory Days,154,,150,,,,,,,,,,,,,,,
Ratios,Days Payable,339,,478,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,-83,,-208,,,,,,,,,,,,,,,
Ratios,Working Capital Days,129,,188,,,,,,,,,,,,,,,
Ratios,ROCE %,,,14%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,47.37%,47.30%,49.53%,48.13%,48.13%,48.13%,48.19%,47.93%,47.37%,47.32%,47.30%,49.69%,,,,,,
Shareholding Pattern (Quarterly),FIIs,4.70%,3.03%,3.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.68%,4.30%,3.04%,,,,,,
Shareholding Pattern (Quarterly),DIIs,0.04%,0.59%,0.67%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.08%,0.01%,0.66%,,,,,,
Shareholding Pattern (Quarterly),Public,47.90%,49.09%,46.75%,51.86%,51.86%,51.86%,51.81%,52.07%,52.63%,47.90%,48.38%,46.61%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,6615,15806,15204,2139,2190,2926,3486,4599,5304,8062,11640,15204,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,47.37%,,49.53%,,,48.13%,,,,,,49.69%,49.63%,49.63%,49.63%,49.63%,49.69%,48.13%
Shareholding Pattern (Yearly),FIIs,4.70%,,3.05%,,,0.00%,,,,,,3.04%,2.60%,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,0.04%,,0.67%,,,0.00%,,,,,,0.66%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,47.90%,,46.75%,,,51.86%,,,,,,46.61%,47.77%,50.37%,50.37%,50.37%,50.31%,51.87%
Shareholding Pattern (Yearly),No. of Shareholders,6615,,15204,,,2926,,,,,,15204,722,919,622,569,1835,1730
,,,,,,,,,,,,,,,,,,,
