Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021,May 2022
Quarterly Results,Sales,506,496,515,594,803,583,538,280,463,467,466,464,464,,
Quarterly Results,Expenses,404,464,493,559,687,543,519,284,382,434,476,448,369,,
Quarterly Results,Operating Profit,102,32,22,34,116,41,19,-4,81,33,-10,16,96,,
Quarterly Results,OPM %,20%,6%,4%,6%,14%,7%,4%,-2%,18%,7%,-2%,3%,21%,,
Quarterly Results,Other Income,4,3,6,1,2,2,1,16,5,1,1,-1,1,,
Quarterly Results,Interest,10,14,9,5,13,13,9,6,18,21,16,10,20,,
Quarterly Results,Depreciation,10,8,9,10,13,11,10,14,14,12,11,15,16,,
Quarterly Results,Profit before tax,86,12,11,20,92,18,0,-8,54,1,-35,-10,61,,
Quarterly Results,Tax %,17%,29%,28%,26%,13%,32%,88%,-28%,28%,83%,-34%,-32%,26%,,
Quarterly Results,Net Profit,71,8,8,15,80,13,0,-6,39,0,-23,-7,45,,
Quarterly Results,EPS in Rs,,1.24,1.16,2.26,12.08,1.91,0.01,-0.85,5.94,0.02,-3.52,-1.03,6.75,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1564,,,,2408,,,,1864,,,,1862,0,
Profit & Loss,Expenses,1381,,,,2203,,,,1724,,,,1727,0,
Profit & Loss,Operating Profit,183,,,,205,,,,140,,,,135,-0,
Profit & Loss,OPM %,12%,,,,8%,,,,8%,,,,7%,,
Profit & Loss,Other Income,8,,,,11,,,,20,,,,2,0,
Profit & Loss,Interest,30,,,,41,,,,45,,,,67,0,
Profit & Loss,Depreciation,31,,,,41,,,,49,,,,54,0,
Profit & Loss,Profit before tax,129,,,,135,,,,65,,,,16,-0,
Profit & Loss,Tax %,21%,,,,18%,,,,29%,,,,6%,0%,
Profit & Loss,Net Profit,102,,,,111,,,,46,,,,15,-0,
Profit & Loss,EPS in Rs,,,,,16.74,,,,7.00,,,,2.21,,
Profit & Loss,Dividend Payout %,0%,,,,21%,,,,36%,,,,56%,0%,
,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,66,,,,66,,,,66,,,,66,66,
Balance Sheet,Reserves,812,,,,922,,,,945,,,,945,709,
Balance Sheet,Borrowings,835,,,,810,,,,1057,,,,1162,403,
Balance Sheet,Other Liabilities,287,,,,278,,,,244,,,,223,373,
Balance Sheet,Total Liabilities,2000,,,,2077,,,,2313,,,,2398,1551,
Balance Sheet,Fixed Assets,690,,,,909,,,,1036,,,,1076,631,
Balance Sheet,CWIP,78,,,,36,,,,13,,,,79,7,
Balance Sheet,Investments,0,,,,0,,,,0,,,,0,0,
Balance Sheet,Other Assets,1232,,,,1132,,,,1263,,,,1242,913,
Balance Sheet,Total Assets,2000,,,,2077,,,,2313,,,,2398,1551,
,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-246,,,,368,,,,-101,,,,130,-0,
Cash Flows,Cash from Investing Activity,-124,,,,-209,,,,-166,,,,-145,0,
Cash Flows,Cash from Financing Activity,393,,,,-78,,,,170,,,,19,0,
Cash Flows,Net Cash Flow,23,,,,81,,,,-98,,,,3,0,
,,,,,,,,,,,,,,,,
Ratios,Debtor Days,25,,,,23,,,,17,,,,11,,
Ratios,Inventory Days,341,,,,163,,,,288,,,,288,,
Ratios,Days Payable,54,,,,33,,,,37,,,,29,,
Ratios,Cash Conversion Cycle,312,,,,154,,,,269,,,,270,,
Ratios,Working Capital Days,225,,,,121,,,,204,,,,202,,
Ratios,ROCE %,11%,,,,10%,,,,5%,,,,4%,,
,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,49.09%,50.22%,50.22%,50.45%,50.45%,50.64%,50.79%,50.79%,50.79%,50.79%,50.79%,,49.08%
Shareholding Pattern (Quarterly),FIIs,,,7.37%,6.63%,5.34%,4.81%,4.83%,3.42%,1.95%,1.26%,0.83%,0.66%,0.54%,,8.55%
Shareholding Pattern (Quarterly),DIIs,,,0.58%,0.49%,0.47%,0.45%,0.45%,0.45%,0.45%,0.45%,1.35%,0.45%,0.45%,,0.49%
Shareholding Pattern (Quarterly),Public,,,42.96%,42.67%,43.98%,44.30%,44.26%,45.51%,46.82%,47.51%,47.04%,48.10%,48.23%,,41.88%
Shareholding Pattern (Quarterly),No. of Shareholders,,,60352,55770,54704,54376,53825,55746,54291,52118,50563,50263,49690,,62082
,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,50.22%,,,,50.79%,,,,50.79%,,
Shareholding Pattern (Yearly),FIIs,,,,,5.34%,,,,1.95%,,,,0.54%,,
Shareholding Pattern (Yearly),DIIs,,,,,0.47%,,,,0.45%,,,,0.45%,,
Shareholding Pattern (Yearly),Public,,,,,43.98%,,,,46.82%,,,,48.23%,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,54704,,,,54291,,,,49690,,
,,,,,,,,,,,,,,,,
