Section,,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1129,1291,1470,1698,1960,,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,949,1091,1219,1411,1525,,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,180,199,251,287,434,,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,16%,15%,17%,17%,22%,,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,55,17,77,91,98,,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,1,1,1,2,2,,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,43,20,21,28,31,,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,191,195,306,349,500,,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,27%,24%,23%,17%,13%,,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,140,148,237,288,436,,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,5.15,5.46,8.67,10.51,15.96,,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,73%,87%,75%,71%,63%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,136,136,14,14,14,,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,145,142,154,202,317,,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,4,4,5,5,5,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,353,423,557,579,550,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,638,706,729,799,885,,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,164,168,210,249,254,,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,9,24,31,8,6,,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,145,130,65,35,20,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,319,383,424,507,604,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,638,706,729,799,885,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,188,158,291,350,404,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,-35,4,20,19,29,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,-121,-136,-278,-263,-339,,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,32,26,33,105,94,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,2,3,2,2,2,,,,,,,,,,,,,,,,,,
