Section,,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021,Mar 2022,Mar 2023
Quarterly Results,Sales,59,63,81,93,92,99,114,122,,,
Quarterly Results,Expenses,90,100,91,180,84,84,84,82,,,
Quarterly Results,Operating Profit,-31,-37,-11,-87,8,15,30,40,,,
Quarterly Results,OPM %,-52%,-59%,-13%,-93%,9%,15%,26%,33%,,,
Quarterly Results,Other Income,2,-4,-2,3,28,-276,-69,9,,,
Quarterly Results,Interest,1,1,1,1,1,1,2,1,,,
Quarterly Results,Depreciation,7,6,6,6,7,7,8,12,,,
Quarterly Results,Profit before tax,-36,-48,-19,-91,29,-269,-48,35,,,
Quarterly Results,Tax %,0%,0%,1%,-0%,0%,0%,0%,-696%,,,
Quarterly Results,Net Profit,-36,-48,-20,-91,29,-269,-48,280,,,
Quarterly Results,EPS in Rs,-3558.42,-4719.80,-1939.60,-8985.15,2838.61,-26680.20,-2.72,15.79,,,
Quarterly Results,Raw PDF,,,,,,,,,,,
,,,,,,,,,,,,
Profit & Loss,Sales,,,,297,,,,427,867,833,176
Profit & Loss,Expenses,,,,455,,,,334,1066,1107,407
Profit & Loss,Operating Profit,,,,-158,,,,93,-200,-275,-232
Profit & Loss,OPM %,,,,-53%,,,,22%,-23%,-33%,-132%
Profit & Loss,Other Income,,,,-7,,,,-308,26,37,-34
Profit & Loss,Interest,,,,3,,,,4,57,31,4
Profit & Loss,Depreciation,,,,25,,,,34,11,15,20
Profit & Loss,Profit before tax,,,,-194,,,,-253,-241,-284,-290
Profit & Loss,Tax %,,,,0%,,,,-97%,0%,0%,0%
Profit & Loss,Net Profit,,,,-194,,,,-9,-241,-285,-290
Profit & Loss,EPS in Rs,,,,-19202.97,,,,-0.49,-23904.95,-28173.27,-28762.38
Profit & Loss,Dividend Payout %,,,,0%,,,,0%,0%,0%,0%
,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,0.01,,,,18,0.01,0.01,0.01
Balance Sheet,Reserves,,,,311,,,,1220,271,585,353
Balance Sheet,Borrowings,,,,184,,,,38,394,199,178
Balance Sheet,Other Liabilities,,,,159,,,,157,99,116,124
Balance Sheet,Total Liabilities,,,,654,,,,1433,765,900,654
Balance Sheet,Fixed Assets,,,,39,,,,45,15,21,31
Balance Sheet,CWIP,,,,0,,,,0,0,0,0
Balance Sheet,Investments,,,,60,,,,57,50,236,211
Balance Sheet,Other Assets,,,,555,,,,1331,699,642,413
Balance Sheet,Total Assets,,,,654,,,,1433,765,900,654
,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,45,,,,58,60,-78,-119
Cash Flows,Cash from Investing Activity,,,,19,,,,-467,178,-219,169
Cash Flows,Cash from Financing Activity,,,,-14,,,,384,-213,282,-37
Cash Flows,Net Cash Flow,,,,50,,,,-25,24,-15,13
,,,,,,,,,,,,
Ratios,Debtor Days,,,,26,,,,23,119,94,263
Ratios,Inventory Days,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,26,,,,23,119,94,263
Ratios,Working Capital Days,,,,-73,,,,38,137,124,172
Ratios,ROCE %,,,,-32%,,,,11%,,-35%,-36%
,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,27.84%,27.70%,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,,11.73%,11.59%,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,,9.98%,10.26%,,,
Shareholding Pattern (Quarterly),Public,,,,,,,50.45%,50.44%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,33737,28943,,,
,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,27.70%,,,
Shareholding Pattern (Yearly),FIIs,,,,,,,,11.59%,,,
Shareholding Pattern (Yearly),DIIs,,,,,,,,10.26%,,,
Shareholding Pattern (Yearly),Public,,,,,,,,50.44%,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,28943,,,
,,,,,,,,,,,,
