Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,,,,,,,,,,
Profit & Loss,Expenses,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,,,,,,,,,,,,
Profit & Loss,OPM %,,,,,,,,,,,,,
Profit & Loss,Other Income,,,,,,,,,,,,,
Profit & Loss,Interest,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,,,,,,,,,,
Profit & Loss,Tax %,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,,,,,,,,,,
Balance Sheet,Borrowings,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,,,,,,
Balance Sheet,CWIP,,,,,,,,,,,,,
Balance Sheet,Investments,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,,,,,,,,,,
Ratios,Working Capital Days,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,35.96%,35.96%,35.96%,38.66%,38.66%,38.66%,37.55%,37.50%,37.50%,36.07%,35.85%,35.85%,
Shareholding Pattern (Quarterly),FIIs,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.24%,0.00%,0.00%,0.00%,0.00%,0.00%,
Shareholding Pattern (Quarterly),Public,64.04%,64.04%,64.03%,61.35%,61.34%,61.34%,62.20%,62.50%,62.49%,63.93%,64.15%,64.15%,
Shareholding Pattern (Quarterly),No. of Shareholders,9578,9436,9527,9821,9306,9469,9514,9638,9523,10300,10058,10025,
,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,38.66%,,,,37.50%,,,,35.85%,35.96%
Shareholding Pattern (Yearly),Public,,,,61.35%,,,,62.50%,,,,64.15%,64.04%
Shareholding Pattern (Yearly),No. of Shareholders,,,,9821,,,,9638,,,,10025,9164
,,,,,,,,,,,,,,
