Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Apr 2025
Quarterly Results,Sales,34.65,34.75,34.79,35.03,35.68,35.73,39.88,41.80,52.36,61.15,62.48,65.68,67.05,,,,,,
Quarterly Results,Expenses,26.61,26.42,26.27,27.37,27.06,27.43,26.18,27.02,37.77,44.31,45.44,49.89,54.78,,,,,,
Quarterly Results,Operating Profit,8.04,8.33,8.52,7.66,8.62,8.30,13.70,14.78,14.59,16.84,17.04,15.79,12.27,,,,,,
Quarterly Results,OPM %,23.20%,23.97%,24.49%,21.87%,24.16%,23.23%,34.35%,35.36%,27.86%,27.54%,27.27%,24.04%,18.30%,,,,,,
Quarterly Results,Other Income,2.00,0.30,0.13,0.52,3.04,3.01,1.13,0.31,0.94,0.99,1.53,4.72,6.57,,,,,,
Quarterly Results,Interest,1.89,1.28,1.34,1.15,1.41,1.50,1.44,1.13,0.87,1.75,1.16,2.03,1.76,,,,,,
Quarterly Results,Depreciation,5.37,4.93,4.63,4.06,5.50,5.22,5.06,5.58,5.69,6.62,6.04,7.00,6.72,,,,,,
Quarterly Results,Profit before tax,2.78,2.42,2.68,2.97,4.75,4.59,8.33,8.38,8.97,9.46,11.37,11.48,10.36,,,,,,
Quarterly Results,Tax %,48.20%,26.03%,28.73%,27.95%,37.89%,38.34%,28.81%,28.64%,25.75%,19.56%,26.30%,26.57%,15.64%,,,,,,
Quarterly Results,Net Profit,1.44,1.79,1.91,2.14,2.95,2.83,5.93,5.97,6.66,7.60,8.38,8.43,8.74,,,,,,
Quarterly Results,EPS in Rs,0.08,0.10,0.10,0.11,0.16,0.14,0.30,0.29,0.32,0.35,0.33,0.33,0.33,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,132,,,,140,,,,170,,,,256,96,121,153,125,102,
Profit & Loss,Expenses,103,,,,107,,,,118,,,,194,80,97,124,97,94,
Profit & Loss,Operating Profit,28,,,,33,,,,51,,,,62,16,24,29,28,8,
Profit & Loss,OPM %,21%,,,,24%,,,,30%,,,,24%,17%,20%,19%,22%,8%,
Profit & Loss,Other Income,7,,,,4,,,,5,,,,14,0,0,0,-16,7,
Profit & Loss,Interest,8,,,,5,,,,5,,,,7,2,3,1,9,9,
Profit & Loss,Depreciation,22,,,,19,,,,22,,,,26,4,10,16,29,27,
Profit & Loss,Profit before tax,5,,,,13,,,,30,,,,43,10,12,12,-26,-21,
Profit & Loss,Tax %,37%,,,,31%,,,,29%,,,,22%,35%,19%,17%,-25%,-33%,
Profit & Loss,Net Profit,3,,,,9,,,,21,,,,33,7,9,10,-20,-14,
Profit & Loss,EPS in Rs,0.18,,,,0.47,,,,1.04,,,,1.26,5.80,0.50,0.53,-1.05,-0.74,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,9%,2%,0%,0%,
,,,,,,,,,,,,,,,,,,,,
