Section,,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2015,Mar 2016,Mar 2020,Mar 2021,Mar 2022,Mar 2023
Quarterly Results,Sales,970,1181,1083,944,1019,1033,1010,1056,,,,,,
Quarterly Results,Expenses,1095,1029,989,941,891,912,889,962,,,,,,
Quarterly Results,Operating Profit,-125,152,93,3,128,121,121,94,,,,,,
Quarterly Results,OPM %,-13%,13%,9%,0%,13%,12%,12%,9%,,,,,,
Quarterly Results,Other Income,8,-21,10,10,7,17,19,26,,,,,,
Quarterly Results,Interest,12,14,12,12,13,12,5,5,,,,,,
Quarterly Results,Depreciation,30,30,32,34,34,35,45,40,,,,,,
Quarterly Results,Profit before tax,-159,87,59,-33,87,92,91,75,,,,,,
Quarterly Results,Tax %,18%,62%,-229%,20%,30%,27%,27%,-99%,,,,,,
Quarterly Results,Net Profit,-187,33,195,-39,61,67,66,150,,,,,,
Quarterly Results,EPS in Rs,-13.16,2.22,13.54,-2.89,4.08,4.14,4.14,9.38,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,4178,,,,4118,1464,1651,2414,2723,3672,3655
Profit & Loss,Expenses,,,,4055,,,,3654,1340,1507,2240,2485,3761,3361
Profit & Loss,Operating Profit,,,,123,,,,465,124,144,174,237,-89,294
Profit & Loss,OPM %,,,,3%,,,,11%,8%,9%,7%,9%,-2%,8%
Profit & Loss,Other Income,,,,8,,,,69,6,6,26,12,7,15
Profit & Loss,Interest,,,,51,,,,35,23,22,20,7,17,46
Profit & Loss,Depreciation,,,,126,,,,153,31,38,67,70,95,113
Profit & Loss,Profit before tax,,,,-45,,,,345,77,89,114,172,-193,150
Profit & Loss,Tax %,,,,-102%,,,,0%,51%,50%,62%,28%,30%,35%
Profit & Loss,Net Profit,,,,1,,,,344,43,61,44,123,-251,98
Profit & Loss,EPS in Rs,,,,-0.28,,,,21.49,366.55,523.23,335.61,949.10,-35.30,6.63
Profit & Loss,Dividend Payout %,,,,0%,,,,0%,0%,0%,0%,0%,0%,0%
,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,29,,,,31,1,1,1,1,14,29
Balance Sheet,Reserves,,,,681,,,,3016,493,628,721,884,608,689
Balance Sheet,Borrowings,,,,565,,,,88,255,213,175,97,395,619
Balance Sheet,Other Liabilities,,,,2229,,,,960,293,318,1140,1170,2033,1905
Balance Sheet,Total Liabilities,,,,3504,,,,4095,1042,1161,2037,2152,3050,3241
Balance Sheet,Fixed Assets,,,,1191,,,,1397,444,501,645,834,1021,1097
Balance Sheet,CWIP,,,,195,,,,163,0,11,57,87,31,103
Balance Sheet,Investments,,,,0,,,,0,0,18,6,19,0,0
Balance Sheet,Other Assets,,,,2118,,,,2535,598,632,1329,1212,1998,2041
Balance Sheet,Total Assets,,,,3504,,,,4095,1042,1161,2037,2152,3050,3241
,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,498,,,,465,72,89,28,135,32,177
Cash Flows,Cash from Investing Activity,,,,-331,,,,-548,-150,-123,-190,-109,-235,-305
Cash Flows,Cash from Financing Activity,,,,-108,,,,73,66,37,233,-95,236,125
Cash Flows,Net Cash Flow,,,,59,,,,-10,-11,4,71,-70,33,-4
,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,73,,,,68,68,57,88,71,88,84
Ratios,Inventory Days,,,,90,,,,102,114,115,99,93,112,117
Ratios,Days Payable,,,,76,,,,96,67,60,105,74,92,91
Ratios,Cash Conversion Cycle,,,,87,,,,74,115,112,82,90,109,111
Ratios,Working Capital Days,,,,76,,,,73,78,73,75,77,84,89
Ratios,ROCE %,,,,2%,,,,16%,,14%,,20%,-16%,22%
,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,75.26%,75.26%,75.26%,,,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,7.34%,6.36%,5.77%,,,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,7.53%,6.99%,7.39%,,,,,,
Shareholding Pattern (Quarterly),Public,,,,,,7.14%,8.64%,8.84%,,,,,,
Shareholding Pattern (Quarterly),Others,,,,,,2.73%,2.73%,2.73%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,57531,68410,69366,,,,,,
,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,75.26%,,,,,,
Shareholding Pattern (Yearly),FIIs,,,,,,,,5.77%,,,,,,
Shareholding Pattern (Yearly),DIIs,,,,,,,,7.39%,,,,,,
Shareholding Pattern (Yearly),Public,,,,,,,,8.84%,,,,,,
Shareholding Pattern (Yearly),Others,,,,,,,,2.73%,,,,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,69366,,,,,,
,,,,,,,,,,,,,,,
