Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,33,89,36,72,54,100,36,68,57,184,40,92,94,,,,,,,
Quarterly Results,Expenses,-5,50,33,43,39,50,32,42,39,74,44,63,54,,,,,,,
Quarterly Results,Operating Profit,38,39,2,29,14,50,4,25,17,110,-4,29,40,,,,,,,
Quarterly Results,OPM %,116%,44%,7%,41%,27%,50%,12%,37%,30%,60%,-9%,32%,43%,,,,,,,
Quarterly Results,Other Income,2,563,2,4,-491,571,-42,1,-1,-1,3,2,3,,,,,,,
Quarterly Results,Interest,49,47,4,3,-1,0,0,0,0,0,2,4,4,,,,,,,
Quarterly Results,Depreciation,22,23,23,23,-119,23,23,18,16,21,22,23,23,,,,,,,
Quarterly Results,Profit before tax,-31,532,-22,7,-356,597,-61,7,-0,88,-25,4,16,,,,,,,
Quarterly Results,Tax %,0%,0%,0%,0%,-55%,1%,-7%,40%,-12500%,25%,-73%,33%,3%,,,,,,,
Quarterly Results,Net Profit,-31,532,-22,7,-160,589,-57,4,5,66,-7,3,16,,,,,,,
Quarterly Results,EPS in Rs,-3.47,12.99,-0.54,0.17,-3.88,12.23,-1.19,0.09,0.10,1.22,-0.12,0.05,0.28,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,72,,,,251,,,,260,,,,410,189,234,239,236,240,200,22
Profit & Loss,Expenses,40,,,,165,,,,164,,,,235,169,194,178,174,193,204,57
Profit & Loss,Operating Profit,32,,,,85,,,,96,,,,175,20,40,61,63,47,-4,-35
Profit & Loss,OPM %,45%,,,,34%,,,,37%,,,,43%,11%,17%,25%,26%,20%,-2%,-159%
Profit & Loss,Other Income,3,,,,78,,,,528,,,,7,2,5,0,1,6,1,24
Profit & Loss,Interest,188,,,,53,,,,2,,,,11,115,111,121,128,134,152,163
Profit & Loss,Depreciation,91,,,,-51,,,,79,,,,89,80,88,95,93,102,243,96
Profit & Loss,Profit before tax,-244,,,,161,,,,543,,,,83,-172,-154,-154,-156,-182,-397,-269
Profit & Loss,Tax %,0%,,,,-122%,,,,0%,,,,7%,-38%,-33%,-23%,0%,91%,0%,0%
Profit & Loss,Net Profit,-244,,,,357,,,,541,,,,77,-107,-104,-118,-156,-348,-397,-269
Profit & Loss,EPS in Rs,-27.60,,,,8.68,,,,11.22,,,,1.36,-13.43,-13.00,-14.80,-17.75,-39.49,-45.13,-30.51
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,0%,0%,0%
,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,88,,,,412,,,,482,,,,566,80,80,80,88,88,88,88
