Section,,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2017,Mar 2018,Mar 2019,Mar 2020,TTM,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,39.13,56.29,35.24,45.98,50.00,66.09,59.54,66.77,66.25,74.93,65.19,70.03,74.76,,,,,,,,,,
Quarterly Results,Expenses,34.05,50.65,31.63,41.95,46.03,59.98,56.28,62.02,60.90,69.57,61.00,65.05,69.57,,,,,,,,,,
Quarterly Results,Operating Profit,5.08,5.64,3.61,4.03,3.97,6.11,3.26,4.75,5.35,5.36,4.19,4.98,5.19,,,,,,,,,,
Quarterly Results,OPM %,12.98%,10.02%,10.24%,8.76%,7.94%,9.24%,5.48%,7.11%,8.08%,7.15%,6.43%,7.11%,6.94%,,,,,,,,,,
Quarterly Results,Other Income,0.13,2.21,0.74,0.73,1.04,2.33,2.73,0.86,0.66,1.40,1.11,1.98,0.77,,,,,,,,,,
Quarterly Results,Interest,0.30,2.14,0.72,0.87,1.24,1.42,1.25,1.17,1.23,1.46,1.00,1.19,0.98,,,,,,,,,,
Quarterly Results,Depreciation,2.37,2.44,1.91,1.91,2.00,2.69,2.07,2.09,2.13,2.14,1.99,2.01,2.09,,,,,,,,,,
Quarterly Results,Profit before tax,2.54,3.27,1.72,1.98,1.77,4.33,2.67,2.35,2.65,3.16,2.31,3.76,2.89,,,,,,,,,,
Quarterly Results,Tax %,24.41%,22.63%,15.12%,30.30%,19.77%,29.79%,25.09%,20.43%,20.00%,21.52%,31.60%,25.53%,21.80%,,,,,,,,,,
Quarterly Results,Net Profit,1.92,2.53,1.46,1.37,1.43,3.03,2.01,1.86,2.11,2.47,1.57,2.81,2.26,,,,,,,,,,
Quarterly Results,EPS in Rs,1.44,1.90,1.10,1.03,1.35,2.86,1.90,1.75,1.99,2.33,1.48,2.65,2.13,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,138,,,,197,,,,267,,,,202,228,186,181,285,,,,,
Profit & Loss,Expenses,,121,,,,179,,,,249,,,,188,214,170,164,265,,,,,
Profit & Loss,Operating Profit,,18,,,,18,,,,19,,,,14,13,16,16,20,,,,,
Profit & Loss,OPM %,,13%,,,,9%,,,,7%,,,,7%,6%,8%,9%,7%,,,,,
Profit & Loss,Other Income,,3,,,,5,,,,6,,,,0,2,2,3,5,,,,,
Profit & Loss,Interest,,3,,,,4,,,,5,,,,2,2,2,3,5,,,,,
Profit & Loss,Depreciation,,9,,,,9,,,,8,,,,8,8,9,10,8,,,,,
Profit & Loss,Profit before tax,,8,,,,10,,,,11,,,,5,6,6,6,12,,,,,
Profit & Loss,Tax %,,22%,,,,26%,,,,22%,,,,33%,33%,20%,23%,,,,,,
Profit & Loss,Net Profit,,6,,,,7,,,,8,,,,3,4,5,5,9,,,,,
Profit & Loss,EPS in Rs,,4.56,,,,6.88,,,,7.96,,,,3.40,3.31,3.73,3.46,8.59,,,,,
Profit & Loss,Dividend Payout %,,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,13,,,,11,,,,11,,11,,10,11,13,13,,,,,,
Balance Sheet,Reserves,,81,,,,68,,,,77,,81,,53,60,70,75,,,,,,
Balance Sheet,Borrowings,,38,,,,55,,,,56,,52,,36,37,35,33,,,,,,
Balance Sheet,Other Liabilities,,41,,,,59,,,,67,,70,,49,58,54,55,,,,,,
Balance Sheet,Total Liabilities,,173,,,,192,,,,210,,214,,148,168,172,176,,,,,,
Balance Sheet,Fixed Assets,,68,,,,67,,,,64,,62,,61,68,68,62,,,,,,
Balance Sheet,CWIP,,1,,,,1,,,,0,,1,,1,4,2,11,,,,,,
Balance Sheet,Investments,,0,,,,0,,,,0,,0,,0,0,0,0,,,,,,
Balance Sheet,Other Assets,,103,,,,124,,,,146,,150,,86,95,102,104,,,,,,
Balance Sheet,Total Assets,,173,,,,192,,,,210,,214,,148,168,172,176,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,16,,,,8,,,,6,,,,5,13,11,23,,,,,,
Cash Flows,Cash from Investing Activity,,-17,,,,-13,,,,9,,,,-5,-18,-6,-15,,,,,,
Cash Flows,Cash from Financing Activity,,1,,,,-1,,,,-7,,,,3,5,2,-8,,,,,,
Cash Flows,Net Cash Flow,,0,,,,-5,,,,9,,,,2,0,8,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,81,,,,68,,,,66,,,,68,66,74,73,,,,,,
Ratios,Inventory Days,,143,,,,143,,,,132,,,,91,84,131,129,,,,,,
Ratios,Days Payable,,156,,,,173,,,,147,,,,117,113,152,161,,,,,,
Ratios,Cash Conversion Cycle,,68,,,,39,,,,51,,,,42,36,53,40,,,,,,
Ratios,Working Capital Days,,79,,,,60,,,,63,,,,45,47,62,48,,,,,,
Ratios,ROCE %,,9%,,,,10%,,,,10%,,,,,6%,7%,7%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,66.71%,66.68%,66.68%,64.80%,64.80%,64.80%,64.80%,,,,,,64.80%,64.80%,64.80%,64.80%,64.80%
Shareholding Pattern (Quarterly),FIIs,,,,,,,0.00%,0.04%,0.53%,0.58%,0.00%,0.00%,0.00%,,,,,,0.00%,0.57%,0.57%,0.09%,0.09%
Shareholding Pattern (Quarterly),DIIs,,,,,,,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,,,,,,0.07%,0.07%,0.07%,0.07%,0.07%
Shareholding Pattern (Quarterly),Public,,,,,,,33.22%,33.20%,32.72%,34.54%,35.12%,35.13%,35.11%,,,,,,35.10%,34.55%,34.56%,35.04%,35.04%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,5113,5168,4843,4902,5342,5079,4584,,,,,,4345,5568,6464,6244,5726
,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,72.40%,,,,66.71%,,,,64.80%,,,,62.04%,67.00%,71.58%,72.03%,,64.80%,,,,64.80%
Shareholding Pattern (Yearly),FIIs,,0.00%,,,,0.00%,,,,0.58%,,,,0.00%,0.00%,0.00%,0.00%,,0.00%,,,,0.09%
Shareholding Pattern (Yearly),DIIs,,0.06%,,,,0.07%,,,,0.07%,,,,0.08%,0.07%,0.06%,0.06%,,0.07%,,,,0.07%
Shareholding Pattern (Yearly),Government,,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,0.51%,0.00%,0.00%,,0.00%,,,,0.00%
Shareholding Pattern (Yearly),Public,,27.54%,,,,33.22%,,,,34.54%,,,,37.88%,32.42%,28.36%,27.91%,,35.10%,,,,35.04%
Shareholding Pattern (Yearly),No. of Shareholders,,3843,,,,5661,,,,4902,,,,6189,5288,4522,4280,,4345,,,,5726
,,,,,,,,,,,,,,,,,,,,,,,,
