Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021,Mar 2017,Mar 2018,Mar 2019,Mar 2020
Quarterly Results,Sales,416,368,366,343,473,505,502,567,466,515,480,452,469,,,,,
Quarterly Results,Expenses,389,353,334,314,420,469,465,525,429,476,450,416,452,,,,,
Quarterly Results,Operating Profit,28,15,32,29,53,36,37,43,37,40,30,35,18,,,,,
Quarterly Results,OPM %,7%,4%,9%,8%,11%,7%,7%,7%,8%,8%,6%,8%,4%,,,,,
Quarterly Results,Other Income,1,2,-0,1,0,1,3,1,4,4,8,2,9,,,,,
Quarterly Results,Interest,3,1,2,1,2,1,1,2,1,1,1,1,1,,,,,
Quarterly Results,Depreciation,1,1,1,1,1,1,1,2,2,2,2,2,3,,,,,
Quarterly Results,Profit before tax,25,16,29,28,50,34,38,40,38,41,35,34,22,,,,,
Quarterly Results,Tax %,23%,24%,27%,26%,27%,25%,26%,25%,23%,25%,24%,26%,25%,,,,,
Quarterly Results,Net Profit,19,12,21,20,37,25,28,30,30,31,26,25,17,,,,,
Quarterly Results,EPS in Rs,0.80,0.50,0.80,0.78,1.09,0.75,0.82,0.88,0.86,0.89,0.69,0.65,0.44,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1355,,,,1549,,,,2039,,,,1916,435,,,,
Profit & Loss,Expenses,1265,,,,1419,,,,1887,,,,1793,403,,,,
Profit & Loss,Operating Profit,89,,,,129,,,,152,,,,123,33,,,,
Profit & Loss,OPM %,7%,,,,8%,,,,7%,,,,6%,8%,,,,
Profit & Loss,Other Income,4,,,,4,,,,9,,,,22,5,,,,
Profit & Loss,Interest,8,,,,6,,,,5,,,,5,9,,,,
Profit & Loss,Depreciation,3,,,,4,,,,6,,,,9,2,,,,
Profit & Loss,Profit before tax,82,,,,123,,,,150,,,,132,27,,,,
