Section,,Dec 2023,Sep 2024,Dec 2024,Mar 2025,Mar 2024
Quarterly Results,Sales,293,407,398,398,
Quarterly Results,Expenses,266,366,363,371,
Quarterly Results,Operating Profit,27,41,35,27,
Quarterly Results,OPM %,9%,10%,9%,7%,
Quarterly Results,Other Income,-46,0,-0,1,
Quarterly Results,Interest,4,4,3,2,
Quarterly Results,Depreciation,4,4,4,4,
Quarterly Results,Profit before tax,-28,34,28,21,
Quarterly Results,Tax %,-26%,26%,23%,25%,
Quarterly Results,Net Profit,-21,25,21,16,
Quarterly Results,EPS in Rs,,,14.16,10.63,
Quarterly Results,Raw PDF,,,,,
,,,,,,
Profit & Loss,Sales,,,,1561,1253
Profit & Loss,Expenses,,,,1415,1146
Profit & Loss,Operating Profit,,,,146,107
Profit & Loss,OPM %,,,,9%,9%
Profit & Loss,Other Income,,,,1,-33
Profit & Loss,Interest,,,,13,20
Profit & Loss,Depreciation,,,,16,15
Profit & Loss,Profit before tax,,,,117,40
Profit & Loss,Tax %,,,,25%,25%
Profit & Loss,Net Profit,,,,88,30
Profit & Loss,EPS in Rs,,,,58.24,
Profit & Loss,Dividend Payout %,,,,0%,0%
,,,,,,
Balance Sheet,Equity Capital,,,,15,15
Balance Sheet,Reserves,,,,310,220
Balance Sheet,Borrowings,,,,77,162
Balance Sheet,Other Liabilities,,,,332,348
Balance Sheet,Total Liabilities,,,,735,745
Balance Sheet,Fixed Assets,,,,182,171
Balance Sheet,CWIP,,,,19,5
Balance Sheet,Investments,,,,0,0
Balance Sheet,Other Assets,,,,534,569
Balance Sheet,Total Assets,,,,735,745
,,,,,,
Cash Flows,Cash from Operating Activity,,,,129,76
Cash Flows,Cash from Investing Activity,,,,-35,-19
Cash Flows,Cash from Financing Activity,,,,-104,-47
Cash Flows,Net Cash Flow,,,,-9,10
,,,,,,
Ratios,Debtor Days,,,,67,72
Ratios,Inventory Days,,,,80,121
Ratios,Days Payable,,,,69,97
Ratios,Cash Conversion Cycle,,,,79,95
Ratios,Working Capital Days,,,,50,64
Ratios,ROCE %,,,,33%,
,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,74.77%,
Shareholding Pattern (Quarterly),FIIs,,,,0.13%,
Shareholding Pattern (Quarterly),DIIs,,,,0.08%,
Shareholding Pattern (Quarterly),Public,,,,25.01%,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,17428,
,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,74.77%,
Shareholding Pattern (Yearly),FIIs,,,,0.13%,
Shareholding Pattern (Yearly),DIIs,,,,0.08%,
Shareholding Pattern (Yearly),Public,,,,25.01%,
Shareholding Pattern (Yearly),No. of Shareholders,,,,17428,
,,,,,,
