Section,,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Apr 2025,Mar 2017,Mar 2018,Mar 2019
Quarterly Results,Sales,235.64,83.29,136.14,183.42,222.37,145.86,215.53,226.54,252.83,,,,,,,,,,,,,,,
Quarterly Results,Expenses,226.97,76.37,127.40,169.77,201.94,134.28,201.53,212.08,234.59,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,8.67,6.92,8.74,13.65,20.43,11.58,14.00,14.46,18.24,,,,,,,,,,,,,,,
Quarterly Results,OPM %,3.68%,8.31%,6.42%,7.44%,9.19%,7.94%,6.50%,6.38%,7.21%,,,,,,,,,,,,,,,
Quarterly Results,Other Income,0.07,0.86,1.12,1.44,-9.97,0.93,0.89,0.34,-6.01,,,,,,,,,,,,,,,
Quarterly Results,Interest,3.37,3.73,3.88,3.28,2.70,2.68,2.56,2.51,2.38,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,2.13,2.12,2.14,2.18,2.23,2.30,2.34,2.34,2.28,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,3.24,1.93,3.84,9.63,5.53,7.53,9.99,9.95,7.57,,,,,,,,,,,,,,,
Quarterly Results,Tax %,29.32%,25.39%,34.64%,25.44%,28.75%,25.90%,23.52%,22.81%,28.53%,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,2.31,1.44,2.51,7.18,3.94,5.58,7.65,7.68,5.41,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,0.09,0.05,0.09,0.27,0.15,0.21,0.28,0.29,0.20,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,924,,,,625,,,,841,,,,,,,,,,,,,,,
Profit & Loss,Expenses,879,,,,575,,,,782,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,45,,,,50,,,,59,,,,,,,,,,,,,,,
Profit & Loss,OPM %,5%,,,,8%,,,,7%,,,,,,,,,,,,,,,
Profit & Loss,Other Income,-25,,,,-7,,,,-4,,,,,,,,,,,,,,,
Profit & Loss,Interest,12,,,,14,,,,10,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,8,,,,9,,,,9,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,-0,,,,21,,,,35,,,,,,,,,,,,,,,
Profit & Loss,Tax %,-507%,,,,28%,,,,25%,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,2,,,,15,,,,26,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,0.07,,,,0.56,,,,0.98,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,71%,,,,14%,,,,10%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,27,,,,27,,,,27,,,,,,,,,,,,,,,
Balance Sheet,Reserves,154,,,,168,,,,191,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,127,,,,100,,,,94,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,157,,,,136,,,,131,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,464,,,,431,,,,442,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,86,,,,91,,,,93,,,,,,,,,,,,,,,
Balance Sheet,CWIP,1,,,,1,,,,1,,,,,,,,,,,,,,,
Balance Sheet,Investments,6,,,,9,,,,12,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,371,,,,331,,,,337,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,464,,,,431,,,,442,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-3,,,,50,,,,44,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,-19,,,,-10,,,,-14,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,15,,,,-41,,,,-20,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,-7,,,,-0,,,,10,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,84,,,,117,,,,86,,,,,,,,,,,,,,,
Ratios,Inventory Days,40,,,,59,,,,49,,,,,,,,,,,,,,,
Ratios,Days Payable,63,,,,87,,,,57,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,61,,,,89,,,,78,,,,,,,,,,,,,,,
Ratios,Working Capital Days,84,,,,109,,,,82,,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,15%,,,,17%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,,58.74%,58.74%,58.74%,58.74%,58.74%,58.74%,58.74%,57.04%,49.83%,49.83%,49.83%,49.12%,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,,,,,0.19%,0.34%,0.34%,0.44%,0.58%,0.58%,4.00%,6.12%,9.57%,6.02%,6.44%,7.92%,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,,,,,1.60%,0.29%,0.26%,0.22%,0.39%,0.19%,0.19%,0.18%,0.18%,0.01%,0.01%,0.25%,,,
Shareholding Pattern (Quarterly),Public,,,,,,,,,,39.48%,40.64%,40.65%,40.61%,40.30%,40.51%,37.09%,36.65%,40.43%,44.14%,43.71%,42.74%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,,18926,15510,14952,15310,17041,16996,17169,19359,21277,27463,37476,39021,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,65.24%,,,,64.29%,,,,64.29%,,,58.74%,,,,58.74%,,,,49.83%,49.12%,69.62%,69.62%,65.50%
Shareholding Pattern (Yearly),FIIs,0.00%,,,,0.00%,,,,0.22%,,,0.34%,,,,4.00%,,,,6.44%,7.92%,0.00%,0.04%,0.00%
Shareholding Pattern (Yearly),DIIs,1.11%,,,,0.83%,,,,0.32%,,,0.26%,,,,0.19%,,,,0.01%,0.25%,0.12%,0.91%,1.25%
Shareholding Pattern (Yearly),Public,33.65%,,,,34.89%,,,,35.17%,,,40.65%,,,,37.09%,,,,43.71%,42.74%,30.26%,29.43%,33.26%
Shareholding Pattern (Yearly),No. of Shareholders,10250,,,,12964,,,,15246,,,14952,,,,17169,,,,37476,39021,9633,9823,9650
,,,,,,,,,,,,,,,,,,,,,,,,,
