Section,,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Mar 2006,Mar 2007,Mar 2016,Mar 2017,Mar 2018,Mar 2019,TTM,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,51.74,40.84,29.26,27.17,26.94,30.94,30.84,22.72,26.21,28.36,27.70,24.62,22.21,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,15.99,16.67,24.02,16.51,17.30,22.83,53.62,33.54,17.52,20.66,16.10,15.00,14.04,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,35.75,24.17,5.24,10.66,9.64,8.11,-22.78,-10.82,8.69,7.70,11.60,9.62,8.17,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,69.10%,59.18%,17.91%,39.23%,35.78%,26.21%,-73.87%,-47.62%,33.16%,27.15%,41.88%,39.07%,36.79%,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,0.37,0.69,2.24,1.07,0.08,0.24,-2.69,0.05,0.06,0.80,0.07,0.12,0.18,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,15.56,13.56,12.47,8.70,8.51,8.20,7.71,8.06,7.49,7.08,9.19,6.99,5.50,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,0.38,0.18,0.17,0.19,0.12,0.13,0.14,0.13,0.07,0.14,0.15,0.13,0.11,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,20.18,11.12,-5.16,2.84,1.09,0.02,-33.32,-18.96,1.19,1.28,2.33,2.62,2.74,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,31.42%,26.08%,22.29%,25.35%,19.27%,2150.00%,-21.34%,-27.22%,26.05%,24.22%,30.04%,25.95%,26.28%,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,13.84,8.22,-6.31,2.13,0.87,-0.42,-26.21,-13.80,0.87,0.96,1.63,1.95,2.02,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,6.23,3.70,-2.84,0.96,0.39,-0.19,-11.81,-6.22,0.39,0.43,0.73,0.88,0.91,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,154,,,,114,,,,105,,,12,14,55,123,182,192,103,,,,,,,,,,
Profit & Loss,Expenses,,,81,,,,110,,,,87,,,12,13,18,39,108,66,66,,,,,,,,,,
Profit & Loss,Operating Profit,,,73,,,,4,,,,18,,,0,0,38,84,74,127,37,,,,,,,,,,
Profit & Loss,OPM %,,,47%,,,,4%,,,,17%,,,2%,3%,68%,69%,40%,66%,36%,,,,,,,,,,
Profit & Loss,Other Income,,,1,,,,1,,,,1,,,1,0,6,2,0,-37,1,,,,,,,,,,
Profit & Loss,Interest,,,59,,,,34,,,,32,,,0,1,12,29,66,76,29,,,,,,,,,,
Profit & Loss,Depreciation,,,1,,,,1,,,,0,,,0,0,0,0,0,1,1,,,,,,,,,,
Profit & Loss,Profit before tax,,,14,,,,-29,,,,-14,,,0,0,31,57,8,13,9,,,,,,,,,,
Profit & Loss,Tax %,,,69%,,,,-20%,,,,-27%,,,-18%,11%,35%,33%,82%,29%,,,,,,,,,,,
Profit & Loss,Net Profit,,,4,,,,-24,,,,-10,,,0,0,20,38,1,9,7,,,,,,,,,,
Profit & Loss,EPS in Rs,,,1.92,,,,-10.64,,,,-4.66,,,0.39,0.08,10.18,17.05,0.62,4.13,2.95,,,,,,,,,,
