Section,,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,TTM,Mar 2025
Quarterly Results,Sales,1359.18,1720.92,1592.21,1414.40,886.65,809.55,831.71,1033.54,983.76,1076.56,1233.08,1310.97,1371.20,,,,,,,,,,,
Quarterly Results,Expenses,1045.15,1268.56,1219.87,1371.25,969.52,784.50,819.00,1008.34,1016.45,1084.01,1197.68,1229.55,1276.15,,,,,,,,,,,
Quarterly Results,Operating Profit,314.03,452.36,372.34,43.15,-82.87,25.05,12.71,25.20,-32.69,-7.45,35.40,81.42,95.05,,,,,,,,,,,
Quarterly Results,OPM %,23.10%,26.29%,23.39%,3.05%,-9.35%,3.09%,1.53%,2.44%,-3.32%,-0.69%,2.87%,6.21%,6.93%,,,,,,,,,,,
Quarterly Results,Other Income,20.92,223.35,113.39,228.94,74.29,3.71,198.55,88.18,129.25,62.35,281.32,269.67,7.28,,,,,,,,,,,
Quarterly Results,Interest,-8.47,18.79,16.65,30.39,75.92,25.31,28.51,33.23,80.59,28.67,27.45,159.08,2.95,,,,,,,,,,,
Quarterly Results,Depreciation,38.67,38.72,42.72,43.76,44.72,43.10,50.05,57.06,62.36,44.69,54.66,55.47,53.32,,,,,,,,,,,
Quarterly Results,Profit before tax,304.75,618.20,426.36,197.94,-129.22,-39.65,132.70,23.09,-46.39,-18.46,234.61,136.54,46.06,,,,,,,,,,,
Quarterly Results,Tax %,28.47%,20.41%,26.09%,-145.25%,-25.20%,870.90%,26.43%,47.29%,-58.09%,2.28%,28.35%,14.60%,91.08%,,,,,,,,,,,
Quarterly Results,Net Profit,217.98,492.04,315.12,485.45,-96.66,-384.96,97.63,12.17,-19.44,-18.88,168.09,116.61,4.11,,,,,,,,,,,
Quarterly Results,EPS in Rs,49.77,112.34,71.95,110.84,-22.06,-87.90,22.29,2.78,-4.44,-4.31,38.38,26.62,0.94,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,5878,,,,4697,,,,3926,,,,2232,5143,7557,7225,7005,6448,3623,3546,4082,4992,
Profit & Loss,Expenses,,4443,,,,4335,,,,3925,,,,2088,4720,6896,6244,6316,5821,3172,2874,2975,4787,
Profit & Loss,Operating Profit,,1435,,,,362,,,,0,,,,144,422,662,980,689,627,451,671,1108,204,
Profit & Loss,OPM %,,24%,,,,8%,,,,0%,,,,6%,8%,9%,14%,10%,10%,12%,19%,27%,4%,
Profit & Loss,Other Income,,386,,,,420,,,,478,,,,-0,-1,-113,7,91,47,-538,73,139,621,
Profit & Loss,Interest,,32,,,,152,,,,173,,,,40,126,91,106,111,121,50,99,61,218,
Profit & Loss,Depreciation,,153,,,,174,,,,214,,,,89,188,229,245,285,255,104,118,145,208,
Profit & Loss,Profit before tax,,1636,,,,455,,,,91,,,,15,107,228,636,385,298,-241,527,1040,399,
Profit & Loss,Tax %,,27%,,,,30%,,,,21%,,,,59%,38%,20%,28%,30%,49%,70%,7%,24%,,
Profit & Loss,Net Profit,,1196,,,,319,,,,72,,,,6,67,182,456,269,152,-409,489,791,270,
Profit & Loss,EPS in Rs,,273.11,,,,72.83,,,,16.32,,,,1.42,18.60,41.01,80.45,42.79,19.45,-93.30,111.56,180.57,61.63,
Profit & Loss,Dividend Payout %,,2%,,,,6%,,,,34%,,,,71%,5%,3%,1%,2%,5%,-1%,1%,1%,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,44,,,,44,,,,44,,44,,42,42,44,44,44,44,44,44,44,,
Balance Sheet,Reserves,,3789,,,,4164,,,,3951,,4228,,1086,1633,1731,2172,2322,2433,2213,1811,2598,,
Balance Sheet,Borrowings,,1206,,,,4085,,,,4468,,4255,,581,1560,1870,1953,2036,1036,1112,1426,916,,
Balance Sheet,Other Liabilities,,1535,,,,1247,,,,1938,,2328,,351,2377,2166,2498,2594,926,1211,1104,1260,,
Balance Sheet,Total Liabilities,,6574,,,,9539,,,,10401,,10855,,2061,5613,5812,6668,6996,4439,4581,4384,4818,,
Balance Sheet,Fixed Assets,,2636,,,,3050,,,,3223,,3068,,1250,2785,2454,3014,3109,1786,2060,2362,2466,,
Balance Sheet,CWIP,,77,,,,92,,,,203,,230,,49,130,540,389,316,15,31,182,25,,
Balance Sheet,Investments,,1318,,,,3640,,,,3894,,4235,,107,215,544,727,901,1542,1390,440,480,,
Balance Sheet,Other Assets,,2543,,,,2757,,,,3080,,3321,,656,2483,2274,2537,2670,1096,1100,1400,1847,,
Balance Sheet,Total Assets,,6574,,,,9539,,,,10401,,10855,,2061,5613,5812,6668,6996,4439,4581,4384,4818,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,724,,,,-566,,,,133,,,,88,226,145,619,503,739,499,369,911,,
Cash Flows,Cash from Investing Activity,,-1078,,,,-2369,,,,-82,,,,-88,-1401,-391,-646,-457,-1349,-548,-417,-443,,
Cash Flows,Cash from Financing Activity,,259,,,,2856,,,,-44,,,,-7,1290,214,22,-63,702,38,277,-534,,
Cash Flows,Net Cash Flow,,-95,,,,-78,,,,6,,,,-7,115,-32,-5,-17,92,-10,229,-66,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,13,,,,19,,,,33,,,,26,61,34,37,35,9,15,13,9,,
Ratios,Inventory Days,,92,,,,111,,,,147,,,,60,126,77,103,112,43,70,98,114,,
Ratios,Days Payable,,29,,,,20,,,,47,,,,25,84,51,55,68,23,38,42,43,,
Ratios,Cash Conversion Cycle,,76,,,,111,,,,133,,,,61,103,60,84,78,28,47,69,80,,
Ratios,Working Capital Days,,79,,,,165,,,,188,,,,60,49,47,54,51,24,32,38,64,,
Ratios,ROCE %,,37%,,,,12%,,,,3%,,,,4%,10%,11%,16%,9%,10%,12%,18%,32%,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,74.55%,74.54%,74.54%,74.54%,74.54%,74.54%,74.54%,74.54%,74.54%,74.54%,74.54%,,,,,,,,,,,74.54%
Shareholding Pattern (Quarterly),FIIs,,,2.98%,2.94%,2.80%,3.42%,3.09%,3.02%,3.08%,3.00%,2.96%,2.87%,3.79%,,,,,,,,,,,3.54%
Shareholding Pattern (Quarterly),DIIs,,,0.00%,0.06%,0.05%,0.01%,0.01%,0.03%,0.04%,0.01%,0.01%,0.01%,0.01%,,,,,,,,,,,0.01%
Shareholding Pattern (Quarterly),Public,,,22.47%,22.46%,22.58%,22.02%,22.36%,22.40%,22.34%,22.44%,22.49%,22.58%,21.68%,,,,,,,,,,,21.90%
Shareholding Pattern (Quarterly),No. of Shareholders,,,52792,54301,55763,56484,57298,56384,48987,47631,45766,44926,41439,,,,,,,,,,,40313
,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,74.55%,,,,74.54%,,,,74.54%,,,,,,,,74.55%,74.55%,74.55%,74.55%,74.55%,,74.54%
Shareholding Pattern (Yearly),FIIs,,2.91%,,,,3.42%,,,,3.00%,,,,,,,,4.57%,4.04%,2.07%,1.13%,1.63%,,3.54%
