Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Feb 2016
Quarterly Results,Sales,156.42,152.65,167.02,174.17,166.23,169.00,170.23,171.08,176.76,179.13,203.02,220.57,204.35,,,,,,,,,
Quarterly Results,Expenses,129.33,138.69,141.51,144.00,147.56,151.16,149.71,150.41,152.42,159.99,183.81,195.52,213.65,,,,,,,,,
Quarterly Results,Operating Profit,27.09,13.96,25.51,30.17,18.67,17.84,20.52,20.67,24.34,19.14,19.21,25.05,-9.30,,,,,,,,,
Quarterly Results,OPM %,17.32%,9.15%,15.27%,17.32%,11.23%,10.56%,12.05%,12.08%,13.77%,10.68%,9.46%,11.36%,-4.55%,,,,,,,,,
Quarterly Results,Other Income,0.96,1.28,2.75,1.60,-46.83,0.15,0.29,0.58,0.14,1.01,3.77,2.29,37.53,,,,,,,,,
Quarterly Results,Interest,0.89,0.92,0.94,1.14,1.02,1.41,1.10,1.03,1.67,1.38,2.54,2.42,1.95,,,,,,,,,
Quarterly Results,Depreciation,4.99,4.13,4.18,4.27,4.40,4.08,4.15,4.12,4.00,4.65,4.84,4.85,15.30,,,,,,,,,
Quarterly Results,Profit before tax,22.17,10.19,23.14,26.36,-33.58,12.50,15.56,16.10,18.81,14.12,15.60,20.07,10.98,,,,,,,,,
Quarterly Results,Tax %,24.22%,29.74%,23.16%,26.86%,11.23%,31.36%,26.35%,27.39%,24.99%,26.27%,25.64%,11.76%,167.94%,,,,,,,,,
Quarterly Results,Net Profit,16.82,7.16,17.81,19.28,-37.35,8.59,11.46,11.70,14.11,10.41,11.60,17.71,-7.61,,,,,,,,,
Quarterly Results,EPS in Rs,3.10,1.32,3.27,3.53,-6.81,1.56,2.08,2.12,2.55,1.88,2.08,3.15,-1.35,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,485,,,,660,,,,687,,,,807,266,234,237,215,225,240,330,358,
Profit & Loss,Expenses,415,,,,572,,,,604,,,,753,248,200,195,174,178,201,282,313,
Profit & Loss,Operating Profit,70,,,,88,,,,83,,,,54,17,34,42,41,47,39,48,45,
Profit & Loss,OPM %,14%,,,,13%,,,,12%,,,,7%,7%,15%,18%,19%,21%,16%,14%,12%,
Profit & Loss,Other Income,26,,,,-41,,,,1,,,,45,30,11,5,2,1,8,6,4,
Profit & Loss,Interest,3,,,,4,,,,5,,,,8,15,16,19,16,5,10,7,4,
Profit & Loss,Depreciation,20,,,,17,,,,16,,,,30,26,28,22,21,23,22,22,22,
Profit & Loss,Profit before tax,74,,,,26,,,,63,,,,61,6,1,6,5,19,15,24,24,
Profit & Loss,Tax %,17%,,,,74%,,,,27%,,,,47%,-57%,123%,31%,106%,47%,15%,20%,18%,
