Section,,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,,,
Quarterly Results,Expenses,,,
Quarterly Results,Operating Profit,,,
Quarterly Results,OPM %,,,
Quarterly Results,Other Income,,,
Quarterly Results,Interest,,,
Quarterly Results,Depreciation,,,
Quarterly Results,Profit before tax,,,
Quarterly Results,Tax %,,,
Quarterly Results,Net Profit,,,
Quarterly Results,EPS in Rs,,,
Quarterly Results,Raw PDF,,,
,,,,
Profit & Loss,Sales,,,
Profit & Loss,Expenses,,,
Profit & Loss,Operating Profit,,,
Profit & Loss,OPM %,,,
Profit & Loss,Other Income,,,
Profit & Loss,Interest,,,
Profit & Loss,Depreciation,,,
Profit & Loss,Profit before tax,,,
Profit & Loss,Tax %,,,
Profit & Loss,Net Profit,,,
Profit & Loss,EPS in Rs,,,
Profit & Loss,Dividend Payout %,,,
,,,,
Balance Sheet,Equity Capital,,,
Balance Sheet,Reserves,,,
Balance Sheet,Borrowings,,,
Balance Sheet,Other Liabilities,,,
Balance Sheet,Total Liabilities,,,
Balance Sheet,Fixed Assets,,,
Balance Sheet,CWIP,,,
Balance Sheet,Investments,,,
Balance Sheet,Other Assets,,,
Balance Sheet,Total Assets,,,
,,,,
Cash Flows,Cash from Operating Activity,,,
Cash Flows,Cash from Investing Activity,,,
Cash Flows,Cash from Financing Activity,,,
Cash Flows,Net Cash Flow,,,
,,,,
Ratios,Debtor Days,,,
Ratios,Inventory Days,,,
Ratios,Days Payable,,,
Ratios,Cash Conversion Cycle,,,
Ratios,Working Capital Days,,,
Ratios,ROCE %,,,
,,,,
Shareholding Pattern (Quarterly),Promoters,67.70%,67.87%,67.99%
Shareholding Pattern (Quarterly),FIIs,5.93%,4.16%,3.18%
Shareholding Pattern (Quarterly),DIIs,9.54%,9.33%,9.72%
Shareholding Pattern (Quarterly),Public,16.83%,18.63%,19.10%
Shareholding Pattern (Quarterly),No. of Shareholders,91658,88112,86711
,,,,
Shareholding Pattern (Yearly),Promoters,,,67.99%
Shareholding Pattern (Yearly),FIIs,,,3.18%
Shareholding Pattern (Yearly),DIIs,,,9.72%
Shareholding Pattern (Yearly),Public,,,19.10%
Shareholding Pattern (Yearly),No. of Shareholders,,,86711
,,,,
