Section,,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,,,,,,
Quarterly Results,Expenses,,,,,,
Quarterly Results,Operating Profit,,,,,,
Quarterly Results,OPM %,,,,,,
Quarterly Results,Other Income,,,,,,
Quarterly Results,Interest,,,,,,
Quarterly Results,Depreciation,,,,,,
Quarterly Results,Profit before tax,,,,,,
Quarterly Results,Tax %,,,,,,
Quarterly Results,Net Profit,,,,,,
Quarterly Results,EPS in Rs,,,,,,
Quarterly Results,Raw PDF,,,,,,
,,,,,,,
Profit & Loss,Sales,,,,,,
Profit & Loss,Expenses,,,,,,
Profit & Loss,Operating Profit,,,,,,
Profit & Loss,OPM %,,,,,,
Profit & Loss,Other Income,,,,,,
Profit & Loss,Interest,,,,,,
Profit & Loss,Depreciation,,,,,,
Profit & Loss,Profit before tax,,,,,,
Profit & Loss,Tax %,,,,,,
Profit & Loss,Net Profit,,,,,,
Profit & Loss,EPS in Rs,,,,,,
Profit & Loss,Dividend Payout %,,,,,,
,,,,,,,
Balance Sheet,Equity Capital,,,,,,
Balance Sheet,Reserves,,,,,,
Balance Sheet,Borrowings,,,,,,
Balance Sheet,Other Liabilities,,,,,,
Balance Sheet,Total Liabilities,,,,,,
Balance Sheet,Fixed Assets,,,,,,
Balance Sheet,CWIP,,,,,,
Balance Sheet,Investments,,,,,,
Balance Sheet,Other Assets,,,,,,
Balance Sheet,Total Assets,,,,,,
,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,
Cash Flows,Net Cash Flow,,,,,,
,,,,,,,
Ratios,Debtor Days,,,,,,
Ratios,Inventory Days,,,,,,
Ratios,Days Payable,,,,,,
Ratios,Cash Conversion Cycle,,,,,,
Ratios,Working Capital Days,,,,,,
Ratios,ROCE %,,,,,,
,,,,,,,
Shareholding Pattern (Quarterly),Promoters,66.00%,66.00%,66.00%,66.00%,66.00%,66.00%
Shareholding Pattern (Quarterly),FIIs,7.47%,3.89%,0.07%,0.57%,0.37%,0.16%
Shareholding Pattern (Quarterly),DIIs,0.46%,0.36%,0.36%,0.40%,0.48%,0.49%
Shareholding Pattern (Quarterly),Public,26.08%,29.75%,33.58%,33.03%,33.15%,33.34%
Shareholding Pattern (Quarterly),No. of Shareholders,62847,72446,67401,82460,153071,163022
,,,,,,,
Shareholding Pattern (Yearly),Promoters,,66.00%,,,,66.00%
Shareholding Pattern (Yearly),FIIs,,3.89%,,,,0.16%
Shareholding Pattern (Yearly),DIIs,,0.36%,,,,0.49%
Shareholding Pattern (Yearly),Public,,29.75%,,,,33.34%
Shareholding Pattern (Yearly),No. of Shareholders,,72446,,,,163022
,,,,,,,
