Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021
Quarterly Results,Sales,1103,857,1044,938,785,1209,1373,1545,1537,1402,1406,1384,1425,,
Quarterly Results,Expenses,755,587,748,649,617,915,1049,1189,1179,1137,1109,1024,1077,,
Quarterly Results,Operating Profit,348,270,297,290,168,294,324,356,359,264,297,360,348,,
Quarterly Results,OPM %,32%,32%,28%,31%,21%,24%,24%,23%,23%,19%,21%,26%,24%,,
Quarterly Results,Other Income,65,74,66,62,-18,38,53,37,42,51,60,58,44,,
Quarterly Results,Interest,2,1,2,3,2,5,6,5,10,6,6,23,7,,
Quarterly Results,Depreciation,31,35,37,38,38,65,81,105,93,92,94,96,96,,
Quarterly Results,Profit before tax,380,308,324,311,111,261,290,283,298,218,257,299,288,,
Quarterly Results,Tax %,25%,26%,26%,25%,29%,26%,33%,32%,35%,34%,36%,32%,35%,,
Quarterly Results,Net Profit,286,229,241,232,79,194,194,192,192,144,164,205,187,,
Quarterly Results,EPS in Rs,17.40,13.92,14.65,14.08,4.78,11.79,11.78,11.65,11.68,8.73,9.93,12.42,11.32,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Profit & Loss,Sales,4401,,,,3625,,,,5665,,,,5616,2633,3463
Profit & Loss,Expenses,2890,,,,2600,,,,4332,,,,4348,1678,2161
Profit & Loss,Operating Profit,1510,,,,1025,,,,1333,,,,1269,955,1302
Profit & Loss,OPM %,34%,,,,28%,,,,24%,,,,23%,36%,38%
Profit & Loss,Other Income,224,,,,184,,,,170,,,,214,139,135
Profit & Loss,Interest,5,,,,7,,,,26,,,,42,7,3
Profit & Loss,Depreciation,110,,,,147,,,,345,,,,378,95,99
Profit & Loss,Profit before tax,1619,,,,1055,,,,1133,,,,1063,993,1335
Profit & Loss,Tax %,25%,,,,26%,,,,32%,,,,34%,22%,25%
Profit & Loss,Net Profit,1212,,,,781,,,,772,,,,699,773,997
Profit & Loss,EPS in Rs,73.75,,,,47.42,,,,46.90,,,,42.40,49.88,60.94
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,43%,,,,42%,0%,0%
,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,16,,,,16,,,,16,,,,16,16,16
Balance Sheet,Reserves,7141,,,,7942,,,,8707,,,,9134,3631,5887
Balance Sheet,Borrowings,5,,,,4,,,,372,,,,314,5,5
Balance Sheet,Other Liabilities,671,,,,814,,,,1515,,,,1760,435,588
Balance Sheet,Total Liabilities,7834,,,,8778,,,,10611,,,,11225,4086,6496
Balance Sheet,Fixed Assets,1502,,,,1571,,,,3947,,,,4147,968,954
Balance Sheet,CWIP,191,,,,177,,,,238,,,,151,188,338
Balance Sheet,Investments,155,,,,0,,,,0,,,,0,0,0
Balance Sheet,Other Assets,5986,,,,7030,,,,6426,,,,6927,2929,5204
Balance Sheet,Total Assets,7834,,,,8778,,,,10611,,,,11225,4086,6496
,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,791,,,,364,,,,997,,,,915,701,605
Cash Flows,Cash from Investing Activity,-999,,,,1211,,,,-1749,,,,1705,-761,-1520
Cash Flows,Cash from Financing Activity,35,,,,15,,,,-799,,,,-433,-7,1238
Cash Flows,Net Cash Flow,-174,,,,1590,,,,-1552,,,,2186,-67,323
,,,,,,,,,,,,,,,,
Ratios,Debtor Days,89,,,,88,,,,100,,,,99,83,71
Ratios,Inventory Days,205,,,,421,,,,278,,,,294,250,312
Ratios,Days Payable,80,,,,127,,,,145,,,,143,82,97
Ratios,Cash Conversion Cycle,214,,,,382,,,,234,,,,250,251,286
Ratios,Working Capital Days,168,,,,242,,,,170,,,,186,161,169
Ratios,ROCE %,25%,,,,15%,,,,14%,,,,12%,,28%
,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,57.87%,57.86%,57.86%,57.86%,57.86%,57.86%,57.86%,57.86%,51.83%,51.83%,51.83%,51.83%,,
Shareholding Pattern (Quarterly),FIIs,,9.41%,6.10%,4.67%,4.33%,2.80%,4.91%,4.05%,3.59%,6.88%,4.48%,5.04%,6.90%,,
Shareholding Pattern (Quarterly),DIIs,,17.36%,21.92%,23.13%,23.23%,23.38%,22.45%,24.17%,25.23%,32.83%,35.37%,34.80%,33.27%,,
Shareholding Pattern (Quarterly),Public,,15.35%,14.13%,14.35%,14.59%,15.97%,14.78%,13.93%,13.32%,8.46%,8.33%,8.33%,8.00%,,
Shareholding Pattern (Quarterly),No. of Shareholders,,117339,127879,148469,150578,181747,161627,136021,122375,122665,122358,121075,113788,,
,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,58.00%,,,,57.86%,,,,57.86%,,,,51.83%,,58.25%
Shareholding Pattern (Yearly),FIIs,10.72%,,,,4.33%,,,,3.59%,,,,6.90%,,11.87%
Shareholding Pattern (Yearly),DIIs,12.46%,,,,23.23%,,,,25.23%,,,,33.27%,,11.25%
Shareholding Pattern (Yearly),Public,18.82%,,,,14.59%,,,,13.32%,,,,8.00%,,18.63%
Shareholding Pattern (Yearly),No. of Shareholders,109098,,,,150578,,,,122375,,,,113788,,84467
,,,,,,,,,,,,,,,,
