Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,181,169,180,188,183,182,209,219,228,238,280,290,283,,,
Quarterly Results,Expenses,97,106,109,107,99,112,116,121,125,138,154,159,160,,,
Quarterly Results,Operating Profit,84,62,71,81,84,70,93,98,104,100,127,131,122,,,
Quarterly Results,OPM %,46%,37%,39%,43%,46%,39%,45%,45%,45%,42%,45%,45%,43%,,,
Quarterly Results,Other Income,1,3,2,6,6,5,6,6,7,8,11,9,10,,,
Quarterly Results,Interest,3,3,3,3,3,3,3,1,1,1,1,1,1,,,
Quarterly Results,Depreciation,10,11,11,13,11,12,13,13,15,15,17,16,17,,,
Quarterly Results,Profit before tax,72,51,60,71,76,60,84,89,94,92,119,122,114,,,
Quarterly Results,Tax %,30%,27%,19%,25%,25%,28%,27%,25%,21%,26%,25%,26%,26%,,,
Quarterly Results,Net Profit,51,37,48,53,57,43,61,67,74,68,89,90,85,,,
Quarterly Results,EPS in Rs,3.04,2.23,2.86,3.19,3.37,2.55,3.61,3.92,4.36,3.97,5.21,5.25,4.94,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,640,,,,720,,,,838,,,,1091,162,450,481
Profit & Loss,Expenses,352,,,,422,,,,473,,,,612,97,291,269
Profit & Loss,Operating Profit,288,,,,298,,,,364,,,,479,66,159,212
Profit & Loss,OPM %,45%,,,,41%,,,,43%,,,,44%,40%,35%,44%
Profit & Loss,Other Income,6,,,,17,,,,25,,,,38,2,5,5
Profit & Loss,Interest,53,,,,11,,,,9,,,,5,20,53,52
Profit & Loss,Depreciation,37,,,,47,,,,53,,,,64,34,92,98
Profit & Loss,Profit before tax,204,,,,258,,,,327,,,,448,14,19,68
Profit & Loss,Tax %,27%,,,,24%,,,,25%,,,,26%,35%,76%,196%
Profit & Loss,Net Profit,149,,,,196,,,,246,,,,333,9,5,-65
Profit & Loss,EPS in Rs,8.87,,,,11.57,,,,14.39,,,,19.33,0.54,0.30,-4.28
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,40%,,,,39%,0%,0%,0%
,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,168,,,,169,,,,171,,,,172,166,151,151
Balance Sheet,Reserves,477,,,,701,,,,970,,,,1236,353,259,196
Balance Sheet,Borrowings,160,,,,160,,,,49,,,,47,435,413,383
Balance Sheet,Other Liabilities,222,,,,220,,,,229,,,,296,68,46,194
Balance Sheet,Total Liabilities,1026,,,,1250,,,,1418,,,,1751,1022,868,923
Balance Sheet,Fixed Assets,669,,,,691,,,,764,,,,829,732,691,630
Balance Sheet,CWIP,35,,,,40,,,,37,,,,3,0,0,3
Balance Sheet,Investments,93,,,,229,,,,150,,,,462,112,14,95
Balance Sheet,Other Assets,230,,,,291,,,,467,,,,457,178,163,196
Balance Sheet,Total Assets,1026,,,,1250,,,,1418,,,,1751,1022,868,923
,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,253,,,,223,,,,289,,,,399,63,101,205
Cash Flows,Cash from Investing Activity,-115,,,,-204,,,,-178,,,,-323,-816,94,-104
Cash Flows,Cash from Financing Activity,-115,,,,7,,,,-127,,,,-95,775,-206,-89
Cash Flows,Net Cash Flow,22,,,,27,,,,-15,,,,-19,23,-11,11
,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,64,,,,64,,,,66,,,,64,198,72,84
Ratios,Inventory Days,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,64,,,,64,,,,66,,,,64,198,72,84
Ratios,Working Capital Days,29,,,,34,,,,39,,,,187,42,24,53
Ratios,ROCE %,34%,,,,29%,,,,30%,,,,34%,,8%,15%
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,49.91%,49.42%,49.22%,49.12%,39.05%,38.97%,33.06%,33.04%,32.96%,32.91%,,,
Shareholding Pattern (Quarterly),FIIs,,,,8.36%,8.04%,8.08%,9.22%,12.13%,16.73%,22.80%,24.61%,25.40%,22.56%,,,
Shareholding Pattern (Quarterly),DIIs,,,,23.61%,23.55%,23.42%,22.05%,24.64%,20.98%,21.47%,20.61%,19.42%,20.37%,,,
Shareholding Pattern (Quarterly),Public,,,,18.11%,18.98%,19.29%,19.61%,24.18%,23.31%,22.67%,21.74%,22.22%,24.15%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,91617,83843,78772,66799,89509,91348,98126,127866,164610,227756,,,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,49.42%,,,,38.97%,,,,32.91%,,,
Shareholding Pattern (Yearly),FIIs,,,,,8.04%,,,,16.73%,,,,22.56%,,,
Shareholding Pattern (Yearly),DIIs,,,,,23.55%,,,,20.98%,,,,20.37%,,,
Shareholding Pattern (Yearly),Public,,,,,18.98%,,,,23.31%,,,,24.15%,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,83843,,,,91348,,,,227756,,,
,,,,,,,,,,,,,,,,,
