Section,,Dec 2023,Mar 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,25.96,26.53,29.31,32.74,45.27
Quarterly Results,Expenses,21.41,22.89,23.60,24.41,37.02
Quarterly Results,Operating Profit,4.55,3.64,5.71,8.33,8.25
Quarterly Results,OPM %,17.53%,13.72%,19.48%,25.44%,18.22%
Quarterly Results,Other Income,1.70,1.19,1.29,1.50,1.06
Quarterly Results,Interest,0.15,0.17,0.14,0.13,0.15
Quarterly Results,Depreciation,0.89,0.86,0.85,1.14,4.36
Quarterly Results,Profit before tax,5.21,3.80,6.01,8.56,4.80
Quarterly Results,Tax %,25.72%,24.21%,25.62%,26.52%,30.21%
Quarterly Results,Net Profit,3.88,2.88,4.47,6.29,3.35
Quarterly Results,EPS in Rs,0.66,0.49,0.44,0.62,0.33
Quarterly Results,Raw PDF,,,,,
,,,,,,
Profit & Loss,Sales,,104,,,135
Profit & Loss,Expenses,,89,,,108
Profit & Loss,Operating Profit,,14,,,26
Profit & Loss,OPM %,,14%,,,20%
Profit & Loss,Other Income,,6,,,5
Profit & Loss,Interest,,0,,,1
Profit & Loss,Depreciation,,2,,,7
Profit & Loss,Profit before tax,,17,,,24
Profit & Loss,Tax %,,25%,,,27%
Profit & Loss,Net Profit,,13,,,18
Profit & Loss,EPS in Rs,,2.23,,,1.71
Profit & Loss,Dividend Payout %,,0%,,,0%
,,,,,,
Balance Sheet,Equity Capital,,6,,,10
Balance Sheet,Reserves,,63,,,60
Balance Sheet,Borrowings,,8,,,8
Balance Sheet,Other Liabilities,,33,,,150
Balance Sheet,Total Liabilities,,109,,,228
Balance Sheet,Fixed Assets,,8,,,168
Balance Sheet,CWIP,,0,,,0
Balance Sheet,Investments,,6,,,4
Balance Sheet,Other Assets,,95,,,57
Balance Sheet,Total Assets,,109,,,228
,,,,,,
Cash Flows,Cash from Operating Activity,,6,,,28
Cash Flows,Cash from Investing Activity,,-30,,,-22
Cash Flows,Cash from Financing Activity,,-2,,,-5
Cash Flows,Net Cash Flow,,-25,,,1
,,,,,,
Ratios,Debtor Days,,47,,,37
Ratios,Inventory Days,,,,,
Ratios,Days Payable,,,,,
Ratios,Cash Conversion Cycle,,47,,,37
Ratios,Working Capital Days,,222,,,-229
Ratios,ROCE %,,,,,32%
,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,39.42%,39.42%,39.19%
Shareholding Pattern (Quarterly),FIIs,,,2.30%,0.32%,0.42%
Shareholding Pattern (Quarterly),DIIs,,,10.28%,8.07%,7.51%
Shareholding Pattern (Quarterly),Public,,,47.99%,52.20%,52.88%
Shareholding Pattern (Quarterly),No. of Shareholders,,,100817,111460,111115
,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,39.19%
Shareholding Pattern (Yearly),FIIs,,,,,0.42%
Shareholding Pattern (Yearly),DIIs,,,,,7.51%
Shareholding Pattern (Yearly),Public,,,,,52.88%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,111115
,,,,,,
