Section,,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1225,1667,1771,2522,753,301,289,346,583,290,465,518,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,1213,1617,1781,2482,786,283,289,346,577,283,457,518,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,12,50,-10,40,-33,17,-0,0,6,7,8,0,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,1%,3%,-1%,2%,-4%,6%,-0%,0%,1%,3%,2%,0%,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,0,2,3,3,10,-21,1,0,0,0,-0,-0,,,,,,,,,,,,,,,,
Profit & Loss,Interest,0,1,1,2,6,1,2,3,3,5,6,5,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,4,5,5,3,2,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,7,46,-13,38,-31,-6,-2,-3,2,2,1,-6,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,-1%,-8%,-23%,37%,-40%,-28%,-37%,-26%,9%,15%,-5%,-8%,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,7,50,-10,24,-18,-4,-2,-2,2,2,1,-5,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,1.36,9.37,-1.97,4.52,-3.48,-0.82,-0.29,-0.39,0.37,0.30,0.24,-0.99,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,7%,3%,-5%,4%,-3%,-12%,-35%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,79,127,116,139,120,115,113,111,99,99,90,84,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,4,1,22,42,8,18,50,48,46,50,83,13,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,12,34,21,34,15,4,12,4,6,2,9,2,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,101,168,164,220,148,142,180,169,156,157,186,104,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,14,17,14,8,5,4,10,7,11,12,25,19,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,1,0,0,0,0,0,6,10,6,8,6,5,,,,,,,,,,,,,,,,
