Section,,Mar 2011,Dec 2011,Mar 2012,Mar 2013,Dec 2013,Mar 2014,Dec 2014,Mar 2015,Dec 2015,Mar 2016,Dec 2024,Mar 2025,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,190,138,195,150,92,138,102,178,104,184,343,592,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,151,119,175,129,87,114,94,150,96,152,293,482,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,39,19,20,21,5,24,8,28,7,31,49,110,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,20%,14%,10%,14%,5%,17%,8%,16%,7%,17%,14%,19%,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,1,1,1,2,1,3,1,5,5,3,6,2,,,,,,,,,,,,,,,,
Quarterly Results,Interest,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,5,3,4,2,3,4,5,5,5,6,7,7,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,35,17,18,21,2,24,4,28,7,29,49,104,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,33%,31%,30%,37%,23%,45%,42%,29%,28%,34%,25%,23%,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,23,12,13,16,2,14,3,21,5,21,37,80,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,3.66,1.80,1.97,2.41,0.29,2.21,0.39,3.32,0.80,3.32,5.62,12.38,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,490,,666,538,,484,,441,,509,,1640,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,417,,576,466,,426,,412,,458,,1348,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,73,,91,72,,57,,29,,51,,292,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,15%,,14%,13%,,12%,,7%,,10%,,18%,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,10,,13,13,,15,,14,,19,,18,,,,,,,,,,,,,,,,
Profit & Loss,Interest,6,,4,3,,2,,1,,1,,0,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,12,,12,11,,13,,19,,19,,29,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,65,,88,70,,58,,23,,50,,281,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,33%,,30%,34%,,39%,,26%,,31%,,25%,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,44,,62,49,,37,,18,,37,,211,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,6.84,,9.64,7.58,,5.69,,2.79,,5.73,,32.54,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,35%,,25%,32%,,35%,,36%,,24%,,31%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,13,,13,13,,13,,13,,13,,13,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,174,,217,258,,280,,290,,316,,1083,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,18,,12,6,,0,,0,,0,,11,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,252,,241,216,,187,,200,,181,,540,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,457,,483,494,,480,,503,,510,,1647,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,85,,91,102,,114,,97,,82,,317,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,4,,2,0,,27,,30,,30,,20,,,,,,,,,,,,,,,,
Balance Sheet,Investments,61,,103,125,,134,,121,,161,,445,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,307,,288,266,,205,,255,,237,,866,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,457,,483,494,,480,,503,,510,,1647,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,81,,75,41,,63,,3,,53,,215,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,-48,,-52,-25,,-48,,20,,-30,,-155,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,-31,,-25,-25,,-18,,-15,,-18,,-46,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,1,,-2,-9,,-3,,8,,4,,14,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,107,,74,90,,83,,119,,85,,107,,,,,,,,,,,,,,,,
Ratios,Inventory Days,110,,77,93,,58,,94,,78,,91,,,,,,,,,,,,,,,,
Ratios,Days Payable,136,,100,109,,103,,155,,127,,91,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,82,,50,73,,38,,58,,36,,107,,,,,,,,,,,,,,,,
