Section,,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021,Mar 2022,Mar 2023
Quarterly Results,Sales,115.32,157.20,181.69,143.52,155.57,142.66,137.65,,,
Quarterly Results,Expenses,93.92,148.37,161.89,127.92,138.81,126.10,128.87,,,
Quarterly Results,Operating Profit,21.40,8.83,19.80,15.60,16.76,16.56,8.78,,,
Quarterly Results,OPM %,18.56%,5.62%,10.90%,10.87%,10.77%,11.61%,6.38%,,,
Quarterly Results,Other Income,1.98,5.19,3.19,1.64,2.29,1.61,10.21,,,
Quarterly Results,Interest,4.88,5.03,5.63,5.12,5.50,5.50,4.64,,,
Quarterly Results,Depreciation,1.29,2.44,1.90,1.51,2.17,1.92,2.18,,,
Quarterly Results,Profit before tax,17.21,6.55,15.46,10.61,11.38,10.75,12.17,,,
Quarterly Results,Tax %,22.66%,26.26%,28.91%,25.26%,20.30%,24.28%,42.73%,,,
Quarterly Results,Net Profit,13.30,4.83,10.99,7.92,9.07,8.15,6.96,,,
Quarterly Results,EPS in Rs,1.47,0.72,1.41,0.97,0.87,0.75,0.69,,,
Quarterly Results,Raw PDF,,,,,,,,,,
,,,,,,,,,,,
Profit & Loss,Sales,,,540,,,,579,344,444,475
Profit & Loss,Expenses,,,478,,,,522,315,413,427
Profit & Loss,Operating Profit,,,62,,,,58,29,31,48
Profit & Loss,OPM %,,,11%,,,,10%,8%,7%,10%
Profit & Loss,Other Income,,,13,,,,16,4,10,3
Profit & Loss,Interest,,,21,,,,21,13,16,18
Profit & Loss,Depreciation,,,7,,,,8,6,7,6
Profit & Loss,Profit before tax,,,47,,,,45,15,17,27
Profit & Loss,Tax %,,,24%,,,,29%,19%,21%,24%
Profit & Loss,Net Profit,,,36,,,,32,12,14,21
Profit & Loss,EPS in Rs,,,4.38,,,,3.11,81.78,89.20,140.85
Profit & Loss,Dividend Payout %,,,0%,,,,0%,0%,0%,0%
,,,,,,,,,,,
Balance Sheet,Equity Capital,,,67,,,,82,1,1,1
Balance Sheet,Reserves,,,106,,,,212,80,91,109
Balance Sheet,Borrowings,,,245,,,,202,193,241,225
Balance Sheet,Other Liabilities,,,99,,,,95,75,58,57
Balance Sheet,Total Liabilities,,,517,,,,591,349,392,392
Balance Sheet,Fixed Assets,,,73,,,,86,52,58,53
Balance Sheet,CWIP,,,16,,,,0,9,14,22
Balance Sheet,Investments,,,1,,,,1,0,1,1
Balance Sheet,Other Assets,,,427,,,,503,287,319,316
Balance Sheet,Total Assets,,,517,,,,591,349,392,392
,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,-26,,,,-40,-17,-22,37
Cash Flows,Cash from Investing Activity,,,-10,,,,12,-27,-6,-7
Cash Flows,Cash from Financing Activity,,,32,,,,30,28,33,-34
Cash Flows,Net Cash Flow,,,-5,,,,2,-16,4,-4
,,,,,,,,,,,
Ratios,Debtor Days,,,63,,,,66,50,40,39
Ratios,Inventory Days,,,245,,,,284,292,237,238
Ratios,Days Payable,,,33,,,,30,68,20,11
Ratios,Cash Conversion Cycle,,,275,,,,319,274,256,267
Ratios,Working Capital Days,,,238,,,,279,231,211,205
Ratios,ROCE %,,,17%,,,,13%,,10%,12%
,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,65.42%,65.42%,65.42%,,,
Shareholding Pattern (Quarterly),FIIs,,,,,3.64%,2.09%,0.78%,,,
Shareholding Pattern (Quarterly),DIIs,,,,,3.99%,1.83%,1.79%,,,
Shareholding Pattern (Quarterly),Public,,,,,26.94%,30.67%,32.02%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,49798,46580,45723,,,
,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,65.42%,,,
Shareholding Pattern (Yearly),FIIs,,,,,,,0.78%,,,
Shareholding Pattern (Yearly),DIIs,,,,,,,1.79%,,,
Shareholding Pattern (Yearly),Public,,,,,,,32.02%,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,45723,,,
,,,,,,,,,,,
