Section,,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021,Mar 2022
Quarterly Results,Sales,76,83,61,80,72,118,68,66,77,84,,
Quarterly Results,Expenses,66,51,56,65,60,79,64,62,71,67,,
Quarterly Results,Operating Profit,11,31,5,15,12,39,4,4,6,16,,
Quarterly Results,OPM %,14%,38%,8%,18%,16%,33%,6%,5%,8%,19%,,
Quarterly Results,Other Income,1,2,1,1,1,1,3,3,3,4,,
Quarterly Results,Interest,2,2,1,1,2,1,0,0,1,1,,
Quarterly Results,Depreciation,4,4,4,4,4,4,3,4,4,4,,
Quarterly Results,Profit before tax,6,28,1,10,8,35,3,2,4,15,,
Quarterly Results,Tax %,26%,27%,24%,27%,26%,25%,30%,76%,15%,19%,,
Quarterly Results,Net Profit,5,21,1,7,6,26,2,1,4,12,,
Quarterly Results,EPS in Rs,,46.36,1.17,1.67,1.26,5.19,0.43,0.10,0.72,2.44,,
Quarterly Results,Raw PDF,,,,,,,,,,,,
,,,,,,,,,,,,,
Profit & Loss,Sales,,293,,,,332,,,,294,174,234
Profit & Loss,Expenses,,237,,,,260,,,,265,153,200
Profit & Loss,Operating Profit,,56,,,,71,,,,30,20,35
Profit & Loss,OPM %,,19%,,,,21%,,,,10%,12%,15%
Profit & Loss,Other Income,,7,,,,4,,,,12,10,11
Profit & Loss,Interest,,6,,,,6,,,,2,10,7
Profit & Loss,Depreciation,,15,,,,15,,,,15,15,14
Profit & Loss,Profit before tax,,43,,,,54,,,,25,5,25
Profit & Loss,Tax %,,27%,,,,26%,,,,25%,34%,22%
Profit & Loss,Net Profit,,31,,,,40,,,,19,3,19
Profit & Loss,EPS in Rs,,70.32,,,,7.87,,,,3.70,,
Profit & Loss,Dividend Payout %,,6%,,,,25%,,,,41%,16%,9%
,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,4,,,,25,,,,25,4,4
Balance Sheet,Reserves,,41,,,,216,,,,224,-0,12
Balance Sheet,Borrowings,,34,,,,20,,,,32,75,51
Balance Sheet,Other Liabilities,,234,,,,134,,,,123,312,340
Balance Sheet,Total Liabilities,,314,,,,396,,,,405,390,406
Balance Sheet,Fixed Assets,,41,,,,29,,,,47,38,32
Balance Sheet,CWIP,,0,,,,0,,,,1,3,0
Balance Sheet,Investments,,3,,,,0,,,,0,3,3
Balance Sheet,Other Assets,,270,,,,367,,,,357,346,372
Balance Sheet,Total Assets,,314,,,,396,,,,405,390,406
,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,29,,,,11,,,,-10,50,64
Cash Flows,Cash from Investing Activity,,-14,,,,-107,,,,12,-22,-21
Cash Flows,Cash from Financing Activity,,-44,,,,136,,,,-22,-28,-33
Cash Flows,Net Cash Flow,,-29,,,,40,,,,-21,1,9
,,,,,,,,,,,,,
Ratios,Debtor Days,,255,,,,146,,,,181,372,295
Ratios,Inventory Days,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,255,,,,146,,,,181,372,295
Ratios,Working Capital Days,,-3,,,,43,,,,94,104,-49
Ratios,ROCE %,,66%,,,,35%,,,,10%,,43%
,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,66.05%,66.05%,66.05%,69.61%,69.61%,,
Shareholding Pattern (Quarterly),FIIs,,,,,,5.87%,3.89%,1.21%,1.29%,0.79%,,
Shareholding Pattern (Quarterly),DIIs,,,,,,9.77%,10.14%,8.76%,7.19%,7.10%,,
Shareholding Pattern (Quarterly),Public,,,,,,18.31%,19.91%,23.98%,21.91%,22.50%,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,33277,30744,31435,29983,28645,,
,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,66.05%,,,,69.61%,,
Shareholding Pattern (Yearly),FIIs,,,,,,5.87%,,,,0.79%,,
Shareholding Pattern (Yearly),DIIs,,,,,,9.77%,,,,7.10%,,
Shareholding Pattern (Yearly),Public,,,,,,18.31%,,,,22.50%,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,33277,,,,28645,,
,,,,,,,,,,,,,
