Section,,Dec 2024,Mar 2025,Mar 2022,Mar 2023,Mar 2024,Jun 2025
Quarterly Results,Sales,76.36,82.02,,,,
Quarterly Results,Expenses,65.19,70.76,,,,
Quarterly Results,Operating Profit,11.17,11.26,,,,
Quarterly Results,OPM %,14.63%,13.73%,,,,
Quarterly Results,Other Income,0.81,0.26,,,,
Quarterly Results,Interest,1.19,1.31,,,,
Quarterly Results,Depreciation,0.78,0.81,,,,
Quarterly Results,Profit before tax,10.01,9.40,,,,
Quarterly Results,Tax %,25.57%,27.98%,,,,
Quarterly Results,Net Profit,7.45,6.78,,,,
Quarterly Results,EPS in Rs,1.78,1.58,,,,
Quarterly Results,Raw PDF,,,,,,
,,,,,,,
Profit & Loss,Sales,,351,171,230,258,
Profit & Loss,Expenses,,305,155,203,223,
Profit & Loss,Operating Profit,,46,16,27,35,
Profit & Loss,OPM %,,13%,9%,12%,14%,
Profit & Loss,Other Income,,2,1,2,1,
Profit & Loss,Interest,,5,1,1,4,
Profit & Loss,Depreciation,,3,1,2,2,
Profit & Loss,Profit before tax,,39,15,26,31,
Profit & Loss,Tax %,,26%,27%,26%,26%,
Profit & Loss,Net Profit,,29,11,19,23,
Profit & Loss,EPS in Rs,,6.92,12.54,4.65,5.44,
Profit & Loss,Dividend Payout %,,0%,0%,0%,0%,
,,,,,,,
Balance Sheet,Equity Capital,,43,,43,43,
Balance Sheet,Reserves,,61,,18,41,
Balance Sheet,Borrowings,,67,,25,43,
Balance Sheet,Other Liabilities,,66,,70,75,
Balance Sheet,Total Liabilities,,238,,155,203,
Balance Sheet,Fixed Assets,,25,,10,16,
Balance Sheet,CWIP,,0,,9,9,
Balance Sheet,Investments,,0,,0,0,
Balance Sheet,Other Assets,,212,,137,178,
Balance Sheet,Total Assets,,238,,155,203,
,,,,,,,
Cash Flows,Cash from Operating Activity,,-5,,-14,-8,
Cash Flows,Cash from Investing Activity,,-13,,-8,-8,
Cash Flows,Cash from Financing Activity,,19,,21,15,
Cash Flows,Net Cash Flow,,0,,-1,-0,
,,,,,,,
Ratios,Debtor Days,,112,,106,128,
Ratios,Inventory Days,,85,,91,118,
Ratios,Days Payable,,84,,131,130,
Ratios,Cash Conversion Cycle,,113,,66,116,
Ratios,Working Capital Days,,132,,85,126,
Ratios,ROCE %,,30%,,,32%,
,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,72.82%
Shareholding Pattern (Quarterly),FIIs,,,,,,4.92%
Shareholding Pattern (Quarterly),DIIs,,,,,,5.29%
Shareholding Pattern (Quarterly),Public,,,,,,16.97%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,40735
,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,72.82%
Shareholding Pattern (Yearly),FIIs,,,,,,4.92%
Shareholding Pattern (Yearly),DIIs,,,,,,5.29%
Shareholding Pattern (Yearly),Public,,,,,,16.97%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,40735
,,,,,,,
