Section,,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Jun 2022,Sep 2022,Dec 2022,Mar 2022
Quarterly Results,Sales,152,83,94,90,630,382,352,306,342,595,528,717,628,,,,,,,,,,
Quarterly Results,Expenses,131,72,82,77,557,346,318,272,301,547,481,666,564,,,,,,,,,,
Quarterly Results,Operating Profit,22,12,12,12,74,36,34,34,41,48,46,51,64,,,,,,,,,,
Quarterly Results,OPM %,14%,14%,13%,14%,12%,10%,10%,11%,12%,8%,9%,7%,10%,,,,,,,,,,
Quarterly Results,Other Income,4,1,2,1,2,2,5,3,8,2,7,25,16,,,,,,,,,,
Quarterly Results,Interest,8,2,2,2,6,6,6,8,8,6,5,8,9,,,,,,,,,,
Quarterly Results,Depreciation,4,1,1,1,2,3,3,4,4,6,6,9,12,,,,,,,,,,
Quarterly Results,Profit before tax,13,9,10,9,68,29,30,25,37,39,42,59,60,,,,,,,,,,
Quarterly Results,Tax %,41%,25%,26%,28%,25%,27%,29%,33%,9%,25%,26%,16%,19%,,,,,,,,,,
Quarterly Results,Net Profit,8,7,7,7,51,21,21,17,33,29,31,50,48,,,,,,,,,,
Quarterly Results,EPS in Rs,0.72,0.67,0.71,0.65,4.59,1.92,1.94,1.53,2.96,2.60,2.57,3.88,3.71,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,633,,,,1629,,,,1383,,,,2468,85,78,38,77,461,661,,,,
Profit & Loss,Expenses,565,,,,1454,,,,1237,,,,2258,79,75,36,75,433,609,,,,
Profit & Loss,Operating Profit,68,,,,175,,,,146,,,,210,6,3,2,2,28,51,,,,
Profit & Loss,OPM %,11%,,,,11%,,,,11%,,,,8%,7%,3%,6%,2%,6%,8%,,,,
Profit & Loss,Other Income,4,,,,8,,,,18,,,,50,0,0,2,2,2,-1,,,,
Profit & Loss,Interest,9,,,,19,,,,29,,,,28,0,1,3,1,0,1,,,,
Profit & Loss,Depreciation,5,,,,7,,,,14,,,,33,2,1,1,1,1,1,,,,
Profit & Loss,Profit before tax,58,,,,156,,,,121,,,,200,3,0,1,2,29,48,,,,
Profit & Loss,Tax %,29%,,,,26%,,,,23%,,,,21%,0%,-1613%,13%,46%,-10%,31%,,,,
Profit & Loss,Net Profit,41,,,,116,,,,93,,,,158,3,5,0,1,32,33,,,,
Profit & Loss,EPS in Rs,3.90,,,,10.50,,,,8.11,,,,12.29,0.29,0.51,0.04,0.09,3.01,3.16,,,,
Profit & Loss,Dividend Payout %,8%,,,,4%,,,,6%,,,,0%,0%,0%,0%,0%,0%,0%,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,21,,,,22,,,,23,,,,26,15,15,15,15,15,15,,,,
Balance Sheet,Reserves,119,,,,292,,,,442,,,,1187,-11,-6,-5,-4,27,60,,,,
Balance Sheet,Borrowings,74,,,,149,,,,215,,,,286,9,37,35,41,0,9,,,,
Balance Sheet,Other Liabilities,128,,,,288,,,,118,,,,300,56,71,15,45,115,53,,,,
Balance Sheet,Total Liabilities,341,,,,752,,,,798,,,,1799,70,118,60,97,159,138,,,,
Balance Sheet,Fixed Assets,87,,,,147,,,,204,,,,345,16,15,15,14,15,22,,,,
Balance Sheet,CWIP,0,,,,3,,,,9,,,,17,0,0,0,0,0,0,,,,
Balance Sheet,Investments,74,,,,74,,,,74,,,,31,0,0,0,0,0,0,,,,
Balance Sheet,Other Assets,181,,,,529,,,,512,,,,1406,54,103,45,83,143,116,,,,
Balance Sheet,Total Assets,341,,,,752,,,,798,,,,1799,70,118,60,97,159,138,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,123,,,,28,,,,3,,,,-265,-3,-25,4,-4,44,12,,,,
Cash Flows,Cash from Investing Activity,-122,,,,-78,,,,-42,,,,-90,4,-2,-0,-1,0,5,,,,
Cash Flows,Cash from Financing Activity,-5,,,,60,,,,62,,,,603,-2,26,-3,4,-41,1,,,,
Cash Flows,Net Cash Flow,-4,,,,10,,,,23,,,,249,-1,-0,1,-1,3,17,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,54,,,,55,,,,81,,,,100,215,376,87,173,69,40,,,,
Ratios,Inventory Days,4,,,,3,,,,3,,,,2,4,7,22,33,7,2,,,,
Ratios,Days Payable,70,,,,49,,,,20,,,,37,281,382,156,264,92,27,,,,
Ratios,Cash Conversion Cycle,-12,,,,8,,,,63,,,,65,-63,1,-47,-57,-15,15,,,,
Ratios,Working Capital Days,20,,,,51,,,,89,,,,108,5,132,255,159,9,22,,,,
Ratios,ROCE %,45%,,,,,,,,26%,,,,21%,,6%,7%,6%,61%,85%,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,52.70%,52.70%,53.33%,53.27%,55.28%,55.28%,57.12%,53.49%,53.37%,,,,,,,50.21%,50.21%,52.70%,
Shareholding Pattern (Quarterly),FIIs,,,,,0.07%,0.68%,0.41%,0.20%,0.22%,0.20%,1.53%,1.76%,2.00%,,,,,,,0.00%,0.29%,0.00%,
Shareholding Pattern (Quarterly),DIIs,,,,,0.00%,0.15%,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.11%,,,,,,,0.00%,0.00%,0.00%,
Shareholding Pattern (Quarterly),Public,,,,,47.23%,46.47%,46.17%,46.53%,44.50%,44.51%,41.35%,44.75%,44.51%,,,,,,,49.78%,49.50%,47.30%,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,28340,33612,39568,42589,48729,57639,81302,81857,81739,,,,,,,27242,25865,28287,
,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,49.72%,,,,52.70%,,,,55.28%,,,,53.37%,,,32.31%,31.51%,34.51%,34.51%,,,,50.21%
Shareholding Pattern (Yearly),FIIs,0.00%,,,,0.07%,,,,0.22%,,,,2.00%,,,0.00%,0.00%,0.00%,0.00%,,,,0.26%
Shareholding Pattern (Yearly),DIIs,0.00%,,,,0.00%,,,,0.00%,,,,0.11%,,,0.00%,0.00%,0.00%,0.00%,,,,0.00%
Shareholding Pattern (Yearly),Government,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,,,0.00%,0.00%,0.00%,0.01%,,,,0.00%
Shareholding Pattern (Yearly),Public,50.28%,,,,47.23%,,,,44.50%,,,,44.51%,,,67.69%,68.49%,65.49%,65.48%,,,,49.53%
Shareholding Pattern (Yearly),No. of Shareholders,21155,,,,28340,,,,48729,,,,81739,,,7811,7796,8067,11308,,,,27135
,,,,,,,,,,,,,,,,,,,,,,,,
