Section,,Dec 2022,Mar 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,1218,1305,1629,1417,1364,1291,1513,1365,1372,,,,
Quarterly Results,Expenses,1168,1252,1548,1356,1301,1246,1459,1334,1347,,,,
Quarterly Results,Operating Profit,49,53,81,61,63,45,54,31,26,,,,
Quarterly Results,OPM %,4%,4%,5%,4%,5%,3%,4%,2%,2%,,,,
Quarterly Results,Other Income,3,6,9,10,8,7,6,4,4,,,,
Quarterly Results,Interest,17,20,27,28,23,20,22,23,21,,,,
Quarterly Results,Depreciation,19,21,23,23,24,24,25,25,25,,,,
Quarterly Results,Profit before tax,16,18,41,20,24,8,12,-13,-16,,,,
Quarterly Results,Tax %,33%,21%,22%,20%,16%,34%,36%,-24%,-15%,,,,
Quarterly Results,Net Profit,11,14,32,16,20,5,8,-10,-14,,,,
Quarterly Results,EPS in Rs,8.45,11.42,5.15,2.54,2.82,0.77,1.06,-1.37,-1.93,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Profit & Loss,Sales,,4875,,,5616,,,,5541,3902,3172,2894,3466
Profit & Loss,Expenses,,4653,,,5357,,,,5386,3770,3064,2742,3303
Profit & Loss,Operating Profit,,222,,,259,,,,155,132,108,152,163
Profit & Loss,OPM %,,5%,,,5%,,,,3%,3%,3%,5%,5%
Profit & Loss,Other Income,,17,,,33,,,,20,14,35,26,18
Profit & Loss,Interest,,74,,,102,,,,86,66,74,58,64
Profit & Loss,Depreciation,,79,,,92,,,,99,48,61,72,69
Profit & Loss,Profit before tax,,85,,,98,,,,-9,32,8,47,49
Profit & Loss,Tax %,,24%,,,22%,,,,17%,32%,-56%,31%,31%
Profit & Loss,Net Profit,,64,,,76,,,,-10,21,12,32,34
Profit & Loss,EPS in Rs,,51.07,,,10.69,,,,-1.47,17.04,9.96,25.88,26.84
Profit & Loss,Dividend Payout %,,0%,,,5%,,,,0%,0%,0%,0%,0%
,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,13,,,14,,,,14,13,13,13,13
Balance Sheet,Reserves,,330,,,639,,,,625,185,200,233,267
Balance Sheet,Borrowings,,938,,,925,,,,922,797,645,650,756
Balance Sheet,Other Liabilities,,229,,,381,,,,344,219,276,230,232
Balance Sheet,Total Liabilities,,1510,,,1959,,,,1905,1214,1134,1126,1268
Balance Sheet,Fixed Assets,,671,,,733,,,,721,406,472,464,564
Balance Sheet,CWIP,,8,,,15,,,,8,28,29,17,12
Balance Sheet,Investments,,6,,,28,,,,14,2,11,5,6
Balance Sheet,Other Assets,,825,,,1183,,,,1161,778,622,640,685
Balance Sheet,Total Assets,,1510,,,1959,,,,1905,1214,1134,1126,1268
,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,109,,,80,,,,151,-47,339,95,70
Cash Flows,Cash from Investing Activity,,-80,,,-88,,,,-39,-50,-28,-7,-41
Cash Flows,Cash from Financing Activity,,-24,,,39,,,,-142,84,-299,-71,-65
Cash Flows,Net Cash Flow,,5,,,31,,,,-30,-13,13,18,-37
,,,,,,,,,,,,,,
Ratios,Debtor Days,,17,,,19,,,,15,25,13,20,19
Ratios,Inventory Days,,39,,,46,,,,44,39,40,48,46
Ratios,Days Payable,,8,,,12,,,,6,8,18,10,11
Ratios,Cash Conversion Cycle,,48,,,53,,,,53,55,34,58,54
Ratios,Working Capital Days,,37,,,44,,,,45,42,25,40,40
Ratios,ROCE %,,13%,,,14%,,,,5%,,6%,11%,12%
,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,61.18%,61.18%,61.18%,61.18%,61.18%,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,7.01%,16.01%,14.52%,12.85%,12.66%,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,10.26%,12.12%,12.98%,12.19%,11.73%,,,,
Shareholding Pattern (Quarterly),Public,,,,,21.54%,10.68%,11.33%,13.78%,14.43%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,93690,72611,67273,68160,66109,,,,
,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,61.18%,,,,61.18%,,,,
Shareholding Pattern (Yearly),FIIs,,,,,7.01%,,,,12.66%,,,,
Shareholding Pattern (Yearly),DIIs,,,,,10.26%,,,,11.73%,,,,
Shareholding Pattern (Yearly),Public,,,,,21.54%,,,,14.43%,,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,93690,,,,66109,,,,
,,,,,,,,,,,,,,
