Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Sep 2021
Quarterly Results,Sales,128.83,96.89,110.88,106.46,112.87,100.34,117.43,124.77,136.95,122.91,138.46,142.44,147.71,,,,,
Quarterly Results,Expenses,88.47,80.95,94.33,87.73,86.42,81.77,96.58,102.12,115.74,100.07,115.14,116.74,124.00,,,,,
Quarterly Results,Operating Profit,40.36,15.94,16.55,18.73,26.45,18.57,20.85,22.65,21.21,22.84,23.32,25.70,23.71,,,,,
Quarterly Results,OPM %,31.33%,16.45%,14.93%,17.59%,23.43%,18.51%,17.76%,18.15%,15.49%,18.58%,16.84%,18.04%,16.05%,,,,,
Quarterly Results,Other Income,0.07,0.22,0.15,0.74,1.67,0.42,0.54,0.50,24.10,0.78,1.10,0.76,0.20,,,,,
Quarterly Results,Interest,7.79,7.00,7.13,8.45,7.48,7.24,7.01,7.06,6.80,6.63,6.76,6.41,6.04,,,,,
Quarterly Results,Depreciation,8.41,8.92,8.58,8.82,8.67,9.09,9.71,9.57,10.01,10.37,10.60,12.12,10.31,,,,,
Quarterly Results,Profit before tax,24.23,0.24,0.99,2.20,11.97,2.66,4.67,6.52,28.50,6.62,7.06,7.93,7.56,,,,,
Quarterly Results,Tax %,-0.29%,62.50%,10.10%,11.82%,23.39%,21.43%,37.47%,32.82%,19.75%,21.30%,23.80%,30.39%,30.95%,,,,,
Quarterly Results,Net Profit,24.89,0.04,0.90,1.35,11.07,2.53,1.72,4.80,22.87,5.21,5.38,5.51,5.23,,,,,
Quarterly Results,EPS in Rs,21.14,0.03,0.76,1.15,9.40,2.15,1.46,4.08,16.75,3.81,3.86,3.71,3.47,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,432,,,,427,,,,480,,,,552,227,313,322,333,
Profit & Loss,Expenses,390,,,,352,,,,395,,,,456,202,285,298,318,
Profit & Loss,Operating Profit,41,,,,76,,,,85,,,,96,25,28,24,15,
Profit & Loss,OPM %,10%,,,,18%,,,,18%,,,,17%,11%,9%,8%,5%,
