Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Mar 202315m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,7900,8033,7143,7907,7966,8713,7424,8129,8894,8311,7516,9329,9889,,,,,,,,,,,,,,,
Quarterly Results,Expenses,6476,6922,6809,6885,6727,7046,6122,6397,7195,7032,6405,7617,8021,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,1424,1111,334,1021,1239,1667,1302,1732,1699,1280,1111,1712,1868,,,,,,,,,,,,,,,
Quarterly Results,OPM %,18%,14%,5%,13%,16%,19%,18%,21%,19%,15%,15%,18%,19%,,,,,,,,,,,,,,,
Quarterly Results,Other Income,97,143,75,-18,142,268,480,204,448,358,220,1355,713,,,,,,,,,,,,,,,
Quarterly Results,Interest,32,40,41,43,39,52,61,70,93,68,67,67,14,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,306,319,331,337,352,372,381,416,459,476,552,664,786,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,1183,895,39,623,989,1512,1340,1450,1595,1094,713,2336,1780,,,,,,,,,,,,,,,
Quarterly Results,Tax %,28%,3%,-33%,22%,23%,25%,26%,25%,5%,28%,34%,-12%,28%,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,856,865,51,488,763,1135,987,1091,1521,783,473,2620,1282,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,3.32,3.79,0.47,2.19,3.25,4.56,3.99,4.15,4.78,2.60,1.85,8.59,3.88,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,,,,,,33160,,,,35045,9161,9955,9437,20094,23609,26041,27104,24516,28965,38937,,,,,
Profit & Loss,Expenses,,,,,,,,,26760,,,,29074,7492,8022,7895,16913,19751,22030,22507,19511,22755,33815,,,,,
Profit & Loss,Operating Profit,,,,,,,,,6400,,,,5971,1669,1934,1542,3181,3858,4011,4597,5006,6210,5122,,,,,
Profit & Loss,OPM %,,,,,,,,,19%,,,,17%,18%,19%,16%,16%,16%,15%,17%,20%,21%,13%,,,,,
