Section,,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,244,235,308,258,291,277,296,307,334,369,,,,
Quarterly Results,Expenses,192,195,237,199,224,223,226,243,265,288,,,,
Quarterly Results,Operating Profit,52,40,72,59,67,53,70,64,69,81,,,,
Quarterly Results,OPM %,21%,17%,23%,23%,23%,19%,24%,21%,21%,22%,,,,
Quarterly Results,Other Income,6,6,8,7,5,11,5,13,16,14,,,,
Quarterly Results,Interest,1,2,1,1,2,2,2,3,2,1,,,,
Quarterly Results,Depreciation,4,3,4,4,5,5,6,6,6,7,,,,
Quarterly Results,Profit before tax,54,41,76,60,64,58,68,69,76,86,,,,
Quarterly Results,Tax %,24%,25%,25%,23%,24%,24%,23%,28%,23%,24%,,,,
Quarterly Results,Net Profit,41,31,57,46,49,44,53,49,58,66,,,,
Quarterly Results,EPS in Rs,4.48,3.37,6.29,5.10,5.35,4.86,5.80,5.45,6.43,7.22,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Profit & Loss,Sales,,966,,,,1133,,,,1306,650,649,595,783
Profit & Loss,Expenses,,761,,,,882,,,,1021,506,516,459,615
Profit & Loss,Operating Profit,,205,,,,252,,,,285,144,133,136,168
Profit & Loss,OPM %,,21%,,,,22%,,,,22%,22%,20%,23%,21%
Profit & Loss,Other Income,,19,,,,30,,,,48,28,48,15,21
Profit & Loss,Interest,,4,,,,6,,,,9,27,26,7,2
Profit & Loss,Depreciation,,14,,,,18,,,,25,9,12,12,12
Profit & Loss,Profit before tax,,207,,,,258,,,,299,135,144,133,174
Profit & Loss,Tax %,,25%,,,,24%,,,,24%,-44%,32%,27%,25%
Profit & Loss,Net Profit,,155,,,,196,,,,226,193,97,97,130
Profit & Loss,EPS in Rs,,17.05,,,,21.59,,,,24.90,213.05,107.23,107.40,14.38
Profit & Loss,Dividend Payout %,,67%,,,,51%,,,,52%,0%,0%,0%,10%
,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,18,,,,18,,,,18,9,9,9,18
Balance Sheet,Reserves,,531,,,,631,,,,856,201,270,363,484
Balance Sheet,Borrowings,,9,,,,16,,,,43,284,145,60,55
Balance Sheet,Other Liabilities,,589,,,,558,,,,737,231,205,259,340
Balance Sheet,Total Liabilities,,1148,,,,1223,,,,1654,725,629,691,897
Balance Sheet,Fixed Assets,,164,,,,255,,,,359,94,110,102,134
Balance Sheet,CWIP,,0,,,,5,,,,4,0,0,2,2
Balance Sheet,Investments,,249,,,,247,,,,267,81,80,25,312
Balance Sheet,Other Assets,,734,,,,716,,,,1023,549,439,562,449
Balance Sheet,Total Assets,,1148,,,,1223,,,,1654,725,629,691,897
,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,177,,,,122,,,,122,85,188,233,97
Cash Flows,Cash from Investing Activity,,-13,,,,-26,,,,-141,136,-28,26,-72
Cash Flows,Cash from Financing Activity,,-154,,,,-103,,,,17,-186,-168,-96,-26
Cash Flows,Net Cash Flow,,10,,,,-6,,,,-1,36,-8,163,-1
,,,,,,,,,,,,,,,
Ratios,Debtor Days,,54,,,,56,,,,70,83,83,72,36
Ratios,Inventory Days,,348,,,,314,,,,312,337,208,215,349
Ratios,Days Payable,,52,,,,90,,,,87,36,20,26,43
Ratios,Cash Conversion Cycle,,350,,,,280,,,,295,384,270,261,342
Ratios,Working Capital Days,,31,,,,47,,,,72,95,71,37,45
Ratios,ROCE %,,37%,,,,43%,,,,38%,,30%,33%,35%
,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,4.65%,6.14%,6.38%,5.84%,6.52%,6.85%,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,6.48%,6.58%,6.73%,7.14%,6.99%,6.26%,,,,
Shareholding Pattern (Quarterly),Public,,,,,13.87%,12.28%,11.88%,12.02%,11.48%,11.90%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,237966,189674,181766,179293,171329,183577,,,,
,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,75.00%,,,,75.00%,,,,
Shareholding Pattern (Yearly),FIIs,,,,,,6.14%,,,,6.85%,,,,
Shareholding Pattern (Yearly),DIIs,,,,,,6.58%,,,,6.26%,,,,
Shareholding Pattern (Yearly),Public,,,,,,12.28%,,,,11.90%,,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,189674,,,,183577,,,,
,,,,,,,,,,,,,,,
