Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,May 2025
Quarterly Results,Sales,14.66,3.47,6.05,11.13,21.97,16.21,13.02,12.90,21.86,18.01,14.01,16.87,40.21,,,
Quarterly Results,Expenses,12.80,3.39,6.69,10.14,17.36,14.40,11.38,11.94,20.49,18.62,11.62,14.39,35.47,,,
Quarterly Results,Operating Profit,1.86,0.08,-0.64,0.99,4.61,1.81,1.64,0.96,1.37,-0.61,2.39,2.48,4.74,,,
Quarterly Results,OPM %,12.69%,2.31%,-10.58%,8.89%,20.98%,11.17%,12.60%,7.44%,6.27%,-3.39%,17.06%,14.70%,11.79%,,,
Quarterly Results,Other Income,0.23,0.01,-0.01,0.03,0.13,0.02,0.01,0.01,0.06,0.00,0.82,0.77,-0.92,,,
Quarterly Results,Interest,0.13,0.20,0.16,0.08,0.13,0.08,0.09,0.20,0.19,0.23,0.46,0.60,0.74,,,
Quarterly Results,Depreciation,0.02,0.12,0.05,0.00,0.05,0.05,0.05,0.05,0.07,0.08,0.08,0.08,0.08,,,
Quarterly Results,Profit before tax,1.94,-0.23,-0.86,0.94,4.56,1.70,1.51,0.72,1.17,-0.92,2.67,2.57,3.00,,,
Quarterly Results,Tax %,-13.92%,-17.39%,-12.79%,0.00%,28.51%,25.88%,35.10%,61.11%,9.40%,9.78%,15.73%,29.18%,37.33%,,,
Quarterly Results,Net Profit,2.21,-0.20,-0.75,0.93,3.26,1.26,0.98,0.28,1.06,-1.02,2.25,1.81,1.88,,,
Quarterly Results,EPS in Rs,0.12,-0.01,-0.04,0.05,0.18,0.07,0.04,-0.01,0.09,-0.03,0.10,0.08,0.12,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,59.08,,,,42.61,,,,64.00,,,,89.10,26.71,35.69,
Profit & Loss,Expenses,56.00,,,,37.45,,,,58.02,,,,80.09,23.46,32.47,
Profit & Loss,Operating Profit,3.08,,,,5.16,,,,5.98,,,,9.01,3.25,3.22,
Profit & Loss,OPM %,5.21%,,,,12.11%,,,,9.34%,,,,10.11%,12.17%,9.02%,
Profit & Loss,Other Income,0.30,,,,0.21,,,,0.09,,,,0.66,0.75,0.29,
Profit & Loss,Interest,0.23,,,,0.62,,,,0.76,,,,2.03,0.26,0.22,
Profit & Loss,Depreciation,0.11,,,,0.20,,,,0.23,,,,0.33,0.02,0.01,
Profit & Loss,Profit before tax,3.04,,,,4.55,,,,5.08,,,,7.31,3.72,3.28,
Profit & Loss,Tax %,-6.25%,,,,28.57%,,,,30.31%,,,,32.69%,3.49%,24.09%,
Profit & Loss,Net Profit,3.23,,,,3.26,,,,3.54,,,,4.92,3.59,2.49,
Profit & Loss,EPS in Rs,0.18,,,,0.18,,,,0.19,,,,0.27,0.90,0.14,
Profit & Loss,Dividend Payout %,0.00%,,,,19.17%,,,,18.44%,,,,0.00%,0.00%,5.02%,
,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,1.25,,,,12.50,,,,12.50,,,,12.50,0.26,1.25,
Balance Sheet,Reserves,7.88,,,,12.38,,,,14.74,,,,20.27,-0.34,5.33,
Balance Sheet,Borrowings,5.31,,,,5.33,,,,5.91,,,,21.59,5.30,2.84,
Balance Sheet,Other Liabilities,6.42,,,,15.26,,,,28.55,,,,37.44,9.54,8.12,
