Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2016,Mar 2017,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,93,83,88,97,96,86,120,139,145,141,154,176,170,,,,,
Quarterly Results,Expenses,119,80,80,87,84,81,99,113,118,120,122,126,123,,,,,
Quarterly Results,Operating Profit,-26,2,8,11,12,5,21,25,27,22,33,50,46,,,,,
Quarterly Results,OPM %,-28%,3%,9%,11%,12%,6%,18%,18%,19%,15%,21%,28%,27%,,,,,
Quarterly Results,Other Income,13,10,15,19,21,21,-2,-32,17,16,18,17,20,,,,,
Quarterly Results,Interest,2,2,2,2,2,2,2,2,3,3,3,3,3,,,,,
Quarterly Results,Depreciation,6,7,7,7,8,8,9,10,10,10,11,11,10,,,,,
Quarterly Results,Profit before tax,-21,4,14,20,23,16,8,-19,31,24,37,53,53,,,,,
Quarterly Results,Tax %,-0%,13%,59%,30%,24%,14%,34%,26%,20%,7%,17%,15%,14%,,,,,
Quarterly Results,Net Profit,-21,3,6,14,18,14,5,-24,25,23,31,46,46,,,,,
Quarterly Results,EPS in Rs,-5.51,0.55,0.74,2.79,3.19,2.77,0.64,-5.17,4.80,4.72,5.89,9.01,8.82,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,313,,,,364,,,,490,,,,641,33,78,243,298,250
Profit & Loss,Expenses,446,,,,330,,,,410,,,,491,195,131,213,258,210
Profit & Loss,Operating Profit,-133,,,,34,,,,80,,,,151,-162,-53,30,40,40
Profit & Loss,OPM %,-43%,,,,9%,,,,16%,,,,23%,-499%,-68%,12%,14%,16%
Profit & Loss,Other Income,46,,,,64,,,,3,,,,70,18,20,24,20,32
Profit & Loss,Interest,7,,,,9,,,,10,,,,12,0,0,3,4,5
Profit & Loss,Depreciation,25,,,,29,,,,37,,,,41,1,3,15,17,20
Profit & Loss,Profit before tax,-119,,,,61,,,,36,,,,168,-146,-37,35,39,47
Profit & Loss,Tax %,2%,,,,33%,,,,44%,,,,14%,0%,0%,27%,20%,-120%
Profit & Loss,Net Profit,-121,,,,40,,,,20,,,,145,-146,-37,26,31,103
Profit & Loss,EPS in Rs,-28.33,,,,7.26,,,,3.05,,,,28.38,-461.48,-107.09,48.39,63.43,258.07
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,0%
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,47,,,,47,,,,47,,,,47,3,3,3,3,4
Balance Sheet,Reserves,1933,,,,1997,,,,2023,,,,2173,948,1185,1193,1224,1638
Balance Sheet,Borrowings,77,,,,86,,,,112,,,,131,31,35,68,77,93
Balance Sheet,Other Liabilities,220,,,,210,,,,326,,,,353,39,28,159,163,189
Balance Sheet,Total Liabilities,2276,,,,2340,,,,2508,,,,2705,1021,1252,1424,1467,1924
Balance Sheet,Fixed Assets,1041,,,,1042,,,,1489,,,,1497,792,789,1010,1016,1022
Balance Sheet,CWIP,0,,,,0,,,,0,,,,0,0,0,0,0,0
Balance Sheet,Investments,884,,,,985,,,,510,,,,614,165,405,287,295,645
Balance Sheet,Other Assets,351,,,,312,,,,509,,,,594,65,58,127,157,255
Balance Sheet,Total Assets,2276,,,,2340,,,,2508,,,,2705,1021,1252,1424,1467,1924
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,63,,,,48,,,,16,,,,171,,-50,35,17,35
Cash Flows,Cash from Investing Activity,-281,,,,-17,,,,13,,,,-138,,-222,-20,-8,-341
Cash Flows,Cash from Financing Activity,229,,,,-39,,,,-33,,,,-27,,269,-5,-11,308
Cash Flows,Net Cash Flow,12,,,,-7,,,,-4,,,,7,,-3,9,-2,2
,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,48,,,,52,,,,55,,,,49,197,99,54,57,69
Ratios,Inventory Days,,,,,,,,,,,,,,,,,0,
Ratios,Days Payable,,,,,,,,,,,,,,,,,417,
Ratios,Cash Conversion Cycle,48,,,,52,,,,55,,,,49,197,99,54,-359,69
Ratios,Working Capital Days,-5,,,,6,,,,-11,,,,360,148,108,-7,44,47
Ratios,ROCE %,-6%,,,,3%,,,,4%,,,,8%,,-5%,,2%,3%
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,19.55%,21.49%,72.47%,69.95%,69.69%,70.14%,71.93%,69.71%,59.31%,51.63%,55.12%,60.96%,,,,,
Shareholding Pattern (Quarterly),DIIs,,5.44%,5.25%,5.37%,4.51%,4.61%,4.52%,4.38%,4.96%,12.91%,22.01%,19.67%,15.36%,,,,,
Shareholding Pattern (Quarterly),Public,,75.01%,73.26%,22.14%,25.55%,25.69%,25.33%,23.68%,25.33%,27.78%,26.36%,25.21%,23.68%,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,401581,380637,367934,354671,343391,326417,305593,289384,279172,258990,227256,195201,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),FIIs,17.55%,,,,69.95%,,,,69.71%,,,,60.96%,,,,,
