Section,,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,13.16,13.45,11.44,10.87,11.44,8.23,17.94,13.64,11.73,11.10,13.21,17.79,11.60,,,,,,,,,,,,
Quarterly Results,Expenses,9.36,7.74,7.91,10.92,13.48,9.30,16.00,12.68,12.31,7.04,13.86,15.80,11.01,,,,,,,,,,,,
Quarterly Results,Operating Profit,3.80,5.71,3.53,-0.05,-2.04,-1.07,1.94,0.96,-0.58,4.06,-0.65,1.99,0.59,,,,,,,,,,,,
Quarterly Results,OPM %,28.88%,42.45%,30.86%,-0.46%,-17.83%,-13.00%,10.81%,7.04%,-4.94%,36.58%,-4.92%,11.19%,5.09%,,,,,,,,,,,,
Quarterly Results,Other Income,0.10,0.03,0.67,0.10,0.34,0.13,0.04,0.20,0.28,0.15,0.54,0.21,5.21,,,,,,,,,,,,
Quarterly Results,Interest,0.66,0.72,0.82,0.89,0.90,0.55,0.41,0.42,0.59,0.52,0.53,0.53,0.57,,,,,,,,,,,,
Quarterly Results,Depreciation,0.82,0.96,0.75,1.06,1.00,1.15,0.95,0.70,0.29,1.34,0.70,0.70,0.64,,,,,,,,,,,,
Quarterly Results,Profit before tax,2.42,4.06,2.63,-1.90,-3.60,-2.64,0.62,0.04,-1.18,2.35,-1.34,0.97,4.59,,,,,,,,,,,,
Quarterly Results,Tax %,37.60%,-0.49%,27.76%,16.32%,-9.17%,3.03%,-9.68%,0.00%,15.25%,17.02%,-15.67%,9.28%,19.61%,,,,,,,,,,,,
Quarterly Results,Net Profit,1.51,4.08,1.90,-2.21,-3.27,-2.71,0.68,0.03,-1.36,1.96,-1.13,0.88,3.69,,,,,,,,,,,,
Quarterly Results,EPS in Rs,4.88,13.18,6.14,-7.14,-10.56,-8.75,2.20,0.10,-4.39,6.33,-3.65,2.84,11.92,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,72.79,,,,47.20,,,,51.54,,,,53.70,40.09,36.97,30.63,39.65,45.23,49.87,49.20,39.38,,,,
Profit & Loss,Expenses,43.77,,,,40.05,,,,50.28,,,,47.68,38.93,36.13,34.42,39.32,41.00,40.51,39.91,34.82,,,,
Profit & Loss,Operating Profit,29.02,,,,7.15,,,,1.26,,,,6.02,1.16,0.84,-3.79,0.33,4.23,9.36,9.29,4.56,,,,
Profit & Loss,OPM %,39.87%,,,,15.15%,,,,2.44%,,,,11.21%,2.89%,2.27%,-12.37%,0.83%,9.35%,18.77%,18.88%,11.58%,,,,
Profit & Loss,Other Income,0.30,,,,1.14,,,,0.64,,,,6.09,2.31,3.02,2.65,1.09,0.49,0.41,0.32,0.40,,,,
Profit & Loss,Interest,2.47,,,,3.33,,,,1.97,,,,2.16,0.11,0.32,0.52,1.18,0.70,0.71,2.08,2.53,,,,
Profit & Loss,Depreciation,4.00,,,,3.77,,,,3.09,,,,3.38,1.57,1.56,2.31,2.37,2.26,2.53,3.47,4.24,,,,
Profit & Loss,Profit before tax,22.85,,,,1.19,,,,-3.16,,,,6.57,1.79,1.98,-3.97,-2.13,1.76,6.53,4.06,-1.81,,,,
Profit & Loss,Tax %,50.11%,,,,57.14%,,,,6.33%,,,,17.81%,19.55%,25.25%,3.78%,0.47%,43.18%,3.98%,28.08%,100.00%,,,,
Profit & Loss,Net Profit,11.40,,,,0.50,,,,-3.36,,,,5.40,1.44,1.48,-4.11,-2.14,1.00,6.27,2.93,-3.62,,,,
Profit & Loss,EPS in Rs,36.82,,,,1.62,,,,-10.85,,,,17.44,4.65,4.78,-13.28,-6.91,3.23,20.25,9.46,-11.69,,,,
Profit & Loss,Dividend Payout %,4.08%,,,,62.00%,,,,-4.61%,,,,5.74%,43.06%,31.42%,-5.66%,-10.86%,31.00%,3.71%,7.94%,-4.28%,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,3.10,,,,3.10,,,,3.10,,,,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,,,,
Balance Sheet,Reserves,177.53,,,,182.56,,,,178.72,,,,188.12,99.32,100.25,95.86,93.44,125.55,165.55,168.07,160.74,,,,
Balance Sheet,Borrowings,14.87,,,,51.00,,,,21.84,,,,21.53,3.39,3.01,6.24,13.87,7.37,22.13,23.87,26.21,,,,
Balance Sheet,Other Liabilities,8.84,,,,11.02,,,,12.19,,,,15.10,6.33,7.49,6.68,6.09,5.76,8.12,8.05,8.34,,,,
Balance Sheet,Total Liabilities,204.34,,,,247.68,,,,215.85,,,,227.85,112.14,113.85,111.88,116.50,141.78,198.90,203.09,198.39,,,,
Balance Sheet,Fixed Assets,34.01,,,,32.00,,,,29.39,,,,28.00,16.74,15.74,17.52,17.41,18.70,38.09,37.49,36.40,,,,
Balance Sheet,CWIP,1.52,,,,1.51,,,,1.89,,,,0.87,0.00,0.00,1.12,0.03,1.87,1.68,1.65,1.10,,,,
Balance Sheet,Investments,132.34,,,,113.79,,,,115.54,,,,159.37,70.82,63.83,62.98,65.71,89.89,130.24,127.71,110.49,,,,
Balance Sheet,Other Assets,36.47,,,,100.38,,,,69.03,,,,39.61,24.58,34.28,30.26,33.35,31.32,28.89,36.24,50.40,,,,
Balance Sheet,Total Assets,204.34,,,,247.68,,,,215.85,,,,227.85,112.14,113.85,111.88,116.50,141.78,198.90,203.09,198.39,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
