Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021,Apr 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020
Quarterly Results,Sales,161.07,186.26,185.67,187.64,147.80,109.88,93.20,91.43,102.48,121.93,134.36,143.85,155.42,,,,,,
Quarterly Results,Expenses,106.60,121.31,133.15,141.35,119.21,102.83,97.55,88.64,101.05,106.82,123.76,125.20,131.44,,,,,,
Quarterly Results,Operating Profit,54.47,64.95,52.52,46.29,28.59,7.05,-4.35,2.79,1.43,15.11,10.60,18.65,23.98,,,,,,
Quarterly Results,OPM %,33.82%,34.87%,28.29%,24.67%,19.34%,6.42%,-4.67%,3.05%,1.40%,12.39%,7.89%,12.96%,15.43%,,,,,,
Quarterly Results,Other Income,4.87,5.14,8.91,4.75,7.36,5.46,4.84,3.70,5.42,5.87,5.86,4.74,4.41,,,,,,
Quarterly Results,Interest,1.63,1.58,1.21,2.08,3.21,3.03,4.38,5.01,5.78,5.60,5.67,5.95,5.78,,,,,,
Quarterly Results,Depreciation,4.52,4.47,4.45,7.38,7.65,8.71,9.01,10.28,11.57,12.34,13.22,13.02,12.52,,,,,,
Quarterly Results,Profit before tax,53.19,64.04,55.77,41.58,25.09,0.77,-12.90,-8.80,-10.50,3.04,-2.43,4.42,10.09,,,,,,
Quarterly Results,Tax %,20.76%,26.86%,27.36%,29.89%,30.37%,584.42%,5.19%,74.32%,-164.57%,485.20%,-645.68%,56.56%,111.10%,,,,,,
Quarterly Results,Net Profit,44.64,48.00,41.77,30.03,17.60,-4.29,-12.94,-15.19,7.09,-11.25,12.93,2.29,-0.41,,,,,,
Quarterly Results,EPS in Rs,1.84,1.98,1.72,1.24,0.73,-0.18,-0.53,-0.63,0.29,-0.46,0.53,0.09,-0.02,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,449,,,,701,,,,392,,,,556,223,,,,,
Profit & Loss,Expenses,362,,,,508,,,,385,,,,487,235,,,,,
Profit & Loss,Operating Profit,87,,,,192,,,,7,,,,68,-12,,,,,
Profit & Loss,OPM %,19%,,,,27%,,,,2%,,,,12%,-6%,,,,,
Profit & Loss,Other Income,15,,,,26,,,,19,,,,30,55,,,,,
Profit & Loss,Interest,9,,,,8,,,,18,,,,23,5,,,,,
Profit & Loss,Depreciation,17,,,,24,,,,40,,,,51,17,,,,,
Profit & Loss,Profit before tax,76,,,,186,,,,-31,,,,24,20,,,,,
Profit & Loss,Tax %,25%,,,,28%,,,,-18%,,,,53%,59%,,,,,
Profit & Loss,Net Profit,59,,,,137,,,,-25,,,,13,8,,,,,
Profit & Loss,EPS in Rs,2.44,,,,5.67,,,,-1.05,,,,0.52,0.53,,,,,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,,,,,
,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,48,,,,48,,,,48,,,,48,31,,,,,
Balance Sheet,Reserves,228,,,,364,,,,339,,,,335,66,,,,,
Balance Sheet,Borrowings,61,,,,145,,,,178,,,,169,1,,,,,
Balance Sheet,Other Liabilities,141,,,,174,,,,149,,,,181,148,,,,,
Balance Sheet,Total Liabilities,478,,,,731,,,,714,,,,733,246,,,,,
Balance Sheet,Fixed Assets,155,,,,278,,,,468,,,,497,156,,,,,
Balance Sheet,CWIP,177,,,,213,,,,49,,,,10,35,,,,,
Balance Sheet,Investments,33,,,,59,,,,59,,,,53,0,,,,,
Balance Sheet,Other Assets,114,,,,181,,,,138,,,,173,55,,,,,
Balance Sheet,Total Assets,478,,,,731,,,,714,,,,733,246,,,,,
,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,70,,,,150,,,,14,,,,64,53,,,,,
Cash Flows,Cash from Investing Activity,-191,,,,-233,,,,-56,,,,-43,-24,,,,,
Cash Flows,Cash from Financing Activity,137,,,,81,,,,21,,,,-22,-34,,,,,
Cash Flows,Net Cash Flow,16,,,,-3,,,,-21,,,,-0,-5,,,,,
,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,26,,,,27,,,,33,,,,28,27,,,,,
Ratios,Inventory Days,84,,,,47,,,,106,,,,35,52,,,,,
Ratios,Days Payable,216,,,,112,,,,147,,,,65,231,,,,,
Ratios,Cash Conversion Cycle,-106,,,,-38,,,,-8,,,,-3,-152,,,,,
Ratios,Working Capital Days,-40,,,,-20,,,,-23,,,,-9,-160,,,,,
Ratios,ROCE %,39%,,,,43%,,,,-2%,,,,8%,,,,,,
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,31.36%,31.36%,31.36%,31.36%,31.36%,31.36%,31.35%,31.35%,31.35%,31.35%,31.35%,,31.35%,,,,
Shareholding Pattern (Quarterly),FIIs,,,0.01%,0.01%,0.01%,0.01%,2.11%,1.78%,0.73%,0.23%,0.11%,0.12%,0.11%,,0.11%,,,,
Shareholding Pattern (Quarterly),DIIs,,,0.04%,1.92%,1.92%,1.92%,1.92%,1.92%,1.92%,1.92%,1.92%,1.92%,1.92%,,1.92%,,,,
Shareholding Pattern (Quarterly),Public,,,68.60%,66.72%,66.73%,66.72%,64.62%,64.96%,65.99%,66.50%,66.61%,66.61%,66.61%,,66.61%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,28443,33800,33421,33556,40947,42403,45398,45324,52609,51481,50404,,50287,,,,
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,31.35%,,,,31.36%,,,,31.35%,,,,31.35%,48.91%,31.35%,33.49%,33.49%,33.49%,33.49%
Shareholding Pattern (Yearly),FIIs,0.00%,,,,0.01%,,,,0.73%,,,,0.11%,0.00%,0.11%,0.00%,0.00%,0.00%,0.00%
