Section,,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,2.44,2.89,2.75,0.83,0.05,-0.04,0.00,0.00,,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,3.44,6.44,4.10,3.09,3.85,1.74,1.19,1.24,,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,-1.00,-3.55,-1.35,-2.26,-3.80,-1.78,-1.19,-1.24,,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,-40.98%,-122.84%,-49.09%,-272.29%,-7600.00%,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,0.83,4.67,1.48,2.30,9.09,5.62,4.10,1.16,,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,0.85,3.80,0.97,0.75,0.07,0.05,0.00,0.00,,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,3.80,3.18,3.18,3.09,3.07,3.07,3.07,3.07,,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,-4.82,-5.86,-4.02,-3.80,2.15,0.72,-0.16,-3.15,,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,-12.45%,0.00%,0.00%,0.53%,0.47%,0.00%,0.00%,0.63%,,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,-4.22,-5.86,-4.02,-3.82,2.14,0.72,-0.16,-3.17,,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,0.14,-0.03,-0.62,,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,51.55,51.55,51.55,51.55,52.88,31.73,31.73,31.73,,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,-3.98,-9.84,-13.86,-17.68,-15.54,6.42,6.26,3.09,,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,35.63,24.26,22.23,22.83,12.67,6.96,4.44,3.08,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,13.90,8.00,8.31,7.31,4.86,5.31,4.66,6.52,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,97.10,73.97,68.23,64.01,54.87,50.42,47.09,44.42,,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,73.44,50.76,45.67,41.70,35.13,33.48,29.00,25.94,,,,,,,,,,,,,,,,,,
