Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Mar 202315m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,534,588,686,697,630,721,711,706,630,653,634,606,592,,,,,,,,,,,,
Quarterly Results,Expenses,403,453,542,529,444,557,538,520,452,469,456,414,382,,,,,,,,,,,,
Quarterly Results,Operating Profit,132,135,144,168,186,164,174,186,179,184,179,192,210,,,,,,,,,,,,
Quarterly Results,OPM %,25%,23%,21%,24%,30%,23%,24%,26%,28%,28%,28%,32%,35%,,,,,,,,,,,,
Quarterly Results,Other Income,16,11,38,22,22,20,21,25,19,21,18,22,13,,,,,,,,,,,,
Quarterly Results,Interest,1,1,1,1,2,1,1,1,4,2,2,2,7,,,,,,,,,,,,
Quarterly Results,Depreciation,46,46,44,48,66,49,50,51,52,51,52,55,56,,,,,,,,,,,,
Quarterly Results,Profit before tax,101,98,137,141,141,134,143,159,142,152,143,157,161,,,,,,,,,,,,
Quarterly Results,Tax %,35%,-75%,34%,22%,30%,25%,24%,25%,26%,25%,26%,26%,27%,,,,,,,,,,,,
Quarterly Results,Net Profit,66,172,91,110,99,100,109,120,105,114,106,116,118,,,,,,,,,,,,
Quarterly Results,EPS in Rs,7.74,20.15,10.66,12.90,11.64,11.71,12.75,14.08,12.36,13.33,12.48,13.64,13.88,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,,,,,,2769,,,,2485,1825,2033,2192,1762,1471,2112,3136,,,,,
Profit & Loss,Expenses,,,,,,,,,2066,,,,1720,1539,1705,1866,1347,1096,1564,2371,,,,,
Profit & Loss,Operating Profit,,,,,,,,,702,,,,765,287,328,326,415,375,548,765,,,,,
Profit & Loss,OPM %,,,,,,,,,25%,,,,31%,16%,16%,15%,24%,25%,26%,24%,,,,,
Profit & Loss,Other Income,,,,,,,,,85,,,,75,40,8,15,862,36,335,113,,,,,
Profit & Loss,Interest,,,,,,,,,7,,,,13,116,116,103,86,6,3,6,,,,,
Profit & Loss,Depreciation,,,,,,,,,201,,,,214,195,206,199,177,176,181,253,,,,,
Profit & Loss,Profit before tax,,,,,,,,,579,,,,614,16,13,39,1013,229,698,618,,,,,
Profit & Loss,Tax %,,,,,,,,,25%,,,,26%,-20%,-21%,35%,28%,34%,27%,13%,,,,,
