Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2009,Mar 2010,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2020,Mar 2021,Mar 2017,Mar 2018,Mar 2019
Quarterly Results,Sales,158.25,211.28,194.51,239.66,193.43,263.61,231.32,373.76,296.04,415.03,380.01,590.94,498.51,,,,,,,,,,,
Quarterly Results,Expenses,151.78,189.72,184.44,201.53,179.19,228.03,211.44,312.83,264.63,359.57,346.95,479.45,440.69,,,,,,,,,,,
Quarterly Results,Operating Profit,6.47,21.56,10.07,38.13,14.24,35.58,19.88,60.93,31.41,55.46,33.06,111.49,57.82,,,,,,,,,,,
Quarterly Results,OPM %,4.09%,10.20%,5.18%,15.91%,7.36%,13.50%,8.59%,16.30%,10.61%,13.36%,8.70%,18.87%,11.60%,,,,,,,,,,,
Quarterly Results,Other Income,3.66,0.97,1.18,2.39,2.13,1.39,2.13,3.03,0.94,1.39,2.51,1.19,1.86,,,,,,,,,,,
Quarterly Results,Interest,9.41,9.70,11.08,10.42,9.36,10.44,12.25,11.70,12.83,13.71,14.97,17.83,21.40,,,,,,,,,,,
Quarterly Results,Depreciation,13.66,16.48,15.65,17.60,17.33,18.15,18.24,20.86,19.47,21.37,23.03,26.32,27.94,,,,,,,,,,,
Quarterly Results,Profit before tax,-12.94,-3.65,-15.48,12.50,-10.32,8.38,-8.48,31.40,0.05,21.77,-2.43,68.53,10.34,,,,,,,,,,,
Quarterly Results,Tax %,-26.51%,-22.47%,-25.06%,25.52%,-25.39%,25.54%,-32.90%,24.97%,-7100.00%,24.94%,-20.16%,25.30%,37.81%,,,,,,,,,,,
Quarterly Results,Net Profit,-9.51,-2.83,-11.59,9.32,-7.71,6.24,-5.70,23.57,3.60,16.34,-1.93,51.19,6.44,,,,,,,,,,,
Quarterly Results,EPS in Rs,-2.77,-0.82,-3.37,2.71,-2.24,1.80,-1.65,6.81,1.04,4.72,-0.56,14.80,1.86,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,629,,,,839,,,,1165,,,,1884,1323,1105,42,109,229,287,701,538,,,
Profit & Loss,Expenses,562,,,,753,,,,1016,,,,1627,1326,1565,52,108,223,258,624,488,,,
Profit & Loss,Operating Profit,67,,,,85,,,,149,,,,258,-3,-460,-9,1,5,28,77,50,,,
Profit & Loss,OPM %,11%,,,,10%,,,,13%,,,,14%,-0%,-42%,-21%,1%,2%,10%,11%,9%,,,
Profit & Loss,Other Income,16,,,,7,,,,7,,,,7,9,-41,1,1,2,2,15,23,,,
Profit & Loss,Interest,39,,,,42,,,,49,,,,68,98,91,8,7,9,10,33,33,,,
Profit & Loss,Depreciation,59,,,,67,,,,77,,,,99,49,47,3,2,3,2,51,56,,,
Profit & Loss,Profit before tax,-15,,,,-17,,,,31,,,,98,-140,-639,-19,-7,-5,18,9,-15,,,
Profit & Loss,Tax %,-21%,,,,-24%,,,,11%,,,,27%,-33%,-35%,81%,-26%,-18%,47%,-1%,-16%,,,
Profit & Loss,Net Profit,-12,,,,-13,,,,28,,,,72,-94,-415,-35,-5,-4,10,9,-13,,,
Profit & Loss,EPS in Rs,-3.40,,,,-3.73,,,,8.04,,,,20.82,-42.19,-185.42,-15.55,-2.35,-1.93,4.13,2.57,-3.76,,,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,34,,,,34,,,,35,,,,35,22,22,22,22,22,24,34,34,,,
Balance Sheet,Reserves,224,,,,213,,,,240,,,,312,155,-255,252,247,240,251,245,235,,,
Balance Sheet,Borrowings,398,,,,424,,,,525,,,,850,751,766,57,71,84,69,326,396,,,
Balance Sheet,Other Liabilities,136,,,,123,,,,227,,,,432,152,245,11,28,39,61,115,148,,,
Balance Sheet,Total Liabilities,792,,,,793,,,,1027,,,,1628,1080,778,343,368,385,405,721,813,,,
Balance Sheet,Fixed Assets,394,,,,408,,,,480,,,,863,271,222,7,9,14,18,339,395,,,
Balance Sheet,CWIP,0,,,,0,,,,0,,,,4,6,0,0,1,0,1,4,5,,,
Balance Sheet,Investments,0,,,,0,,,,0,,,,0,0,0,33,32,31,30,0,0,,,
Balance Sheet,Other Assets,398,,,,385,,,,547,,,,761,803,557,303,326,340,355,378,414,,,
Balance Sheet,Total Assets,792,,,,793,,,,1027,,,,1628,1080,778,343,368,385,405,721,813,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,59,,,,86,,,,93,,,,223,-65,57,-38,-12,12,35,74,3,,,
Cash Flows,Cash from Investing Activity,-16,,,,-12,,,,-39,,,,-131,-108,5,-1,-4,-7,-6,7,-20,,,
Cash Flows,Cash from Financing Activity,-58,,,,-76,,,,-50,,,,-93,133,-66,6,8,-4,-30,-28,-22,,,
Cash Flows,Net Cash Flow,-15,,,,-2,,,,5,,,,-0,-41,-4,-33,-8,0,-1,52,-39,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,1,,,,0,,,,0,,,,0,1,1,4,0,0,0,0,0,,,
