Section,,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,124,141,130,137,122,154,,,,,,,,,,,,
Quarterly Results,Expenses,110,124,116,121,108,135,,,,,,,,,,,,
Quarterly Results,Operating Profit,14,17,14,16,15,19,,,,,,,,,,,,
Quarterly Results,OPM %,11%,12%,11%,12%,12%,12%,,,,,,,,,,,,
Quarterly Results,Other Income,1,3,1,0,1,2,,,,,,,,,,,,
Quarterly Results,Interest,1,1,1,1,1,1,,,,,,,,,,,,
Quarterly Results,Depreciation,4,4,4,4,4,4,,,,,,,,,,,,
Quarterly Results,Profit before tax,10,16,11,12,11,17,,,,,,,,,,,,
Quarterly Results,Tax %,25%,25%,25%,25%,25%,28%,,,,,,,,,,,,
Quarterly Results,Net Profit,8,12,8,9,9,12,,,,,,,,,,,,
Quarterly Results,EPS in Rs,1.27,1.94,1.42,1.48,1.47,2.04,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,508,,,,543,,,,,,,,,,,,
Profit & Loss,Expenses,,451,,,,479,,,,,,,,,,,,
Profit & Loss,Operating Profit,,56,,,,64,,,,,,,,,,,,
Profit & Loss,OPM %,,11%,,,,12%,,,,,,,,,,,,
Profit & Loss,Other Income,,7,,,,5,,,,,,,,,,,,
Profit & Loss,Interest,,3,,,,3,,,,,,,,,,,,
Profit & Loss,Depreciation,,15,,,,15,,,,,,,,,,,,
Profit & Loss,Profit before tax,,46,,,,51,,,,,,,,,,,,
Profit & Loss,Tax %,,25%,,,,26%,,,,,,,,,,,,
Profit & Loss,Net Profit,,34,,,,38,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,5.76,,,,6.39,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,22%,,,,23%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,15,,,,30,,,,,,,,,,,,
Balance Sheet,Reserves,,190,,,,205,,,,,,,,,,,,
Balance Sheet,Borrowings,,26,,,,27,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,77,,,,80,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,307,,,,341,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,115,,,,113,,,,,,,,,,,,
Balance Sheet,CWIP,,9,,,,15,,,,,,,,,,,,
Balance Sheet,Investments,,0,,,,10,,,,,,,,,,,,
Balance Sheet,Other Assets,,183,,,,203,,,,,,,,,,,,
Balance Sheet,Total Assets,,307,,,,341,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,38,,,,57,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,-20,,,,-35,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,-11,,,,-11,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,7,,,,10,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,38,,,,36,,,,,,,,,,,,
Ratios,Inventory Days,,115,,,,104,,,,,,,,,,,,
Ratios,Days Payable,,70,,,,64,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,84,,,,76,,,,,,,,,,,,
Ratios,Working Capital Days,,64,,,,57,,,,,,,,,,,,
Ratios,ROCE %,,,,,,22%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,59.44%,59.46%,59.50%,59.43%,59.43%,61.02%,58.70%,58.70%,58.83%,59.25%,59.28%,59.28%,,,,,,
Shareholding Pattern (Quarterly),FIIs,1.42%,1.27%,1.04%,1.10%,1.14%,1.06%,0.06%,0.07%,0.14%,0.25%,0.94%,1.43%,,,,,,
Shareholding Pattern (Quarterly),DIIs,0.38%,0.38%,0.38%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.00%,0.38%,,,,,,
Shareholding Pattern (Quarterly),Public,38.76%,38.88%,39.09%,39.46%,39.43%,37.90%,41.24%,41.23%,41.04%,40.49%,39.78%,38.92%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,9694,10873,11280,11479,20068,19311,5806,5786,5987,6039,7522,8390,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,59.46%,,,,61.02%,,,,59.25%,,,59.86%,59.30%,59.50%,59.88%,60.03%,58.70%
Shareholding Pattern (Yearly),FIIs,,1.27%,,,,1.06%,,,,0.25%,,,0.15%,0.03%,0.07%,0.07%,0.07%,0.06%
Shareholding Pattern (Yearly),DIIs,,0.38%,,,,0.00%,,,,0.03%,,,1.90%,0.01%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,,38.88%,,,,37.90%,,,,40.49%,,,38.09%,40.66%,40.43%,40.04%,39.89%,41.24%
Shareholding Pattern (Yearly),No. of Shareholders,,10873,,,,19311,,,,6039,,,6718,5535,5554,5242,5841,5775
,,,,,,,,,,,,,,,,,,,
