Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,16.30,16.74,6.44,17.29,5.74,4.03,6.03,6.36,6.43,6.05,6.34,6.42,9.56,,,,
Quarterly Results,Expenses,13.29,12.16,4.90,12.31,5.91,3.18,3.45,3.64,6.50,4.76,5.11,4.79,7.86,,,,
Quarterly Results,Operating Profit,3.01,4.58,1.54,4.98,-0.17,0.85,2.58,2.72,-0.07,1.29,1.23,1.63,1.70,,,,
Quarterly Results,OPM %,18.47%,27.36%,23.91%,28.80%,-2.96%,21.09%,42.79%,42.77%,-1.09%,21.32%,19.40%,25.39%,17.78%,,,,
Quarterly Results,Other Income,0.48,0.55,3.22,-0.17,-311.73,4.56,2.76,0.26,12.10,0.91,1.19,0.29,0.90,,,,
Quarterly Results,Interest,0.62,0.28,0.22,0.16,1.54,0.60,0.36,0.05,0.02,0.08,0.05,0.04,-0.03,,,,
Quarterly Results,Depreciation,0.14,0.28,0.25,0.26,1.63,1.12,1.07,0.95,0.94,0.94,0.96,0.97,0.96,,,,
Quarterly Results,Profit before tax,2.73,4.57,4.29,4.39,-315.07,3.69,3.91,1.98,11.07,1.18,1.41,0.91,1.67,,,,
Quarterly Results,Tax %,37.00%,24.73%,9.32%,21.41%,-1.64%,-6.50%,1.28%,21.21%,6.50%,22.03%,22.70%,27.47%,63.47%,,,,
Quarterly Results,Net Profit,1.72,3.44,3.89,3.45,-309.91,3.94,3.86,1.57,10.35,0.91,1.10,0.66,0.61,,,,
Quarterly Results,EPS in Rs,1.46,2.91,3.29,2.92,-262.27,3.33,3.27,1.08,7.13,0.63,0.76,0.45,0.42,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,58.37,,,,22.43,,,,22.85,,,,28.37,87.51,77.23,58.49,54.25
Profit & Loss,Expenses,43.90,,,,19.58,,,,16.79,,,,22.51,73.04,61.09,48.39,39.86
Profit & Loss,Operating Profit,14.47,,,,2.85,,,,6.06,,,,5.86,14.47,16.14,10.10,14.39
Profit & Loss,OPM %,24.79%,,,,12.71%,,,,26.52%,,,,20.66%,16.54%,20.90%,17.27%,26.53%
Profit & Loss,Other Income,2.04,,,,-301.76,,,,19.69,,,,3.29,0.48,6.22,3.99,1.70
Profit & Loss,Interest,1.59,,,,2.20,,,,1.03,,,,0.15,5.25,5.94,4.90,1.94
Profit & Loss,Depreciation,1.23,,,,2.42,,,,4.07,,,,3.83,2.24,0.96,0.98,1.44
Profit & Loss,Profit before tax,13.69,,,,-303.53,,,,20.65,,,,5.17,7.46,15.46,8.21,12.71
Profit & Loss,Tax %,19.87%,,,,-1.45%,,,,4.50%,,,,36.36%,3.62%,20.50%,15.59%,12.67%
Profit & Loss,Net Profit,10.96,,,,-299.13,,,,19.72,,,,3.29,7.18,12.29,6.94,11.10
Profit & Loss,EPS in Rs,9.28,,,,-253.15,,,,13.58,,,,2.27,,10.40,5.87,9.39
Profit & Loss,Dividend Payout %,5.39%,,,,0.00%,,,,0.00%,,,,0.00%,0.00%,4.81%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,11.82,,,,11.82,,,,14.52,,,,14.52,0.00,11.82,11.82,11.82
Balance Sheet,Reserves,463.52,,,,186.47,,,,206.69,,,,210.68,390.07,394.32,440.94,447.32
Balance Sheet,Borrowings,24.44,,,,20.61,,,,2.18,,,,0.49,80.47,55.58,33.66,34.07
Balance Sheet,Other Liabilities,110.46,,,,127.51,,,,17.58,,,,11.72,45.53,70.05,109.85,87.12
Balance Sheet,Total Liabilities,610.24,,,,346.41,,,,240.97,,,,237.41,516.07,531.77,596.27,580.33
Balance Sheet,Fixed Assets,1.34,,,,32.46,,,,23.73,,,,26.49,4.07,3.37,2.46,2.28
Balance Sheet,CWIP,147.50,,,,43.36,,,,5.85,,,,0.00,106.80,113.61,145.93,142.97
Balance Sheet,Investments,0.09,,,,0.09,,,,0.00,,,,0.00,0.09,0.09,0.09,0.09
Balance Sheet,Other Assets,461.31,,,,270.50,,,,211.39,,,,210.92,405.11,414.70,447.79,434.99
Balance Sheet,Total Assets,610.24,,,,346.41,,,,240.97,,,,237.41,516.07,531.77,596.27,580.33
,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,16.97,,,,18.51,,,,-122.97,,,,6.29,-15.72,35.54,15.61,-0.07
Cash Flows,Cash from Investing Activity,-5.60,,,,-10.04,,,,137.26,,,,-1.79,-2.29,-7.33,-6.19,2.53
Cash Flows,Cash from Financing Activity,-11.25,,,,-7.66,,,,-13.81,,,,-1.85,16.85,-28.28,-8.79,-3.11
Cash Flows,Net Cash Flow,0.11,,,,0.82,,,,0.47,,,,2.65,-1.16,-0.06,0.63,-0.65
,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,157.02,,,,283.31,,,,216.92,,,,103.95,172.68,140.37,165.81,157.71
Ratios,Inventory Days,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,157.02,,,,283.31,,,,216.92,,,,103.95,172.68,140.37,165.81,157.71
Ratios,Working Capital Days,1578.37,,,,827.96,,,,1676.28,,,,1265.86,1055.50,1161.12,1447.71,1686.00
Ratios,ROCE %,3.08%,,,,0.25%,,,,1.66%,,,,2.37%,,4.59%,2.77%,2.99%
,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,30.00%,29.99%,29.99%,29.99%,29.99%,29.99%,28.33%,23.06%,23.06%,23.06%,23.06%,23.06%,,,,
Shareholding Pattern (Quarterly),FIIs,,0.75%,0.78%,0.61%,0.32%,0.03%,0.03%,0.00%,0.00%,0.00%,1.38%,1.38%,1.43%,,,,
Shareholding Pattern (Quarterly),DIIs,,0.21%,0.22%,0.22%,0.22%,0.22%,0.22%,0.22%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,
Shareholding Pattern (Quarterly),Public,,69.04%,69.00%,69.17%,69.46%,69.75%,69.75%,71.46%,76.93%,76.94%,75.55%,75.55%,75.50%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,13873,14319,14392,14198,14342,11909,10942,10425,9972,10179,10103,10012,,,,
,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,30.00%,,,,29.99%,,,,23.06%,,,,23.06%,,31.19%,27.13%,27.13%
Shareholding Pattern (Yearly),FIIs,1.64%,,,,0.32%,,,,0.00%,,,,1.43%,,0.14%,0.07%,0.07%
Shareholding Pattern (Yearly),DIIs,0.22%,,,,0.22%,,,,0.00%,,,,0.00%,,0.22%,0.22%,0.21%
Shareholding Pattern (Yearly),Public,68.15%,,,,69.46%,,,,76.93%,,,,75.50%,,68.45%,72.58%,72.59%
Shareholding Pattern (Yearly),No. of Shareholders,13816,,,,14198,,,,10425,,,,10012,,8684,7860,8538
,,,,,,,,,,,,,,,,,,
