Section,,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,,,,
Quarterly Results,Expenses,,,,
Quarterly Results,Operating Profit,,,,
Quarterly Results,OPM %,,,,
Quarterly Results,Other Income,,,,
Quarterly Results,Interest,,,,
Quarterly Results,Depreciation,,,,
Quarterly Results,Profit before tax,,,,
Quarterly Results,Tax %,,,,
Quarterly Results,Net Profit,,,,
Quarterly Results,EPS in Rs,,,,
Quarterly Results,Raw PDF,,,,
,,,,,
Profit & Loss,Sales,,,,
Profit & Loss,Expenses,,,,
Profit & Loss,Operating Profit,,,,
Profit & Loss,OPM %,,,,
Profit & Loss,Other Income,,,,
Profit & Loss,Interest,,,,
Profit & Loss,Depreciation,,,,
Profit & Loss,Profit before tax,,,,
Profit & Loss,Tax %,,,,
Profit & Loss,Net Profit,,,,
Profit & Loss,EPS in Rs,,,,
Profit & Loss,Dividend Payout %,,,,
,,,,,
Balance Sheet,Equity Capital,,,,
Balance Sheet,Reserves,,,,
Balance Sheet,Borrowings,,,,
Balance Sheet,Other Liabilities,,,,
Balance Sheet,Total Liabilities,,,,
Balance Sheet,Fixed Assets,,,,
Balance Sheet,CWIP,,,,
Balance Sheet,Investments,,,,
Balance Sheet,Other Assets,,,,
Balance Sheet,Total Assets,,,,
,,,,,
Cash Flows,Cash from Operating Activity,,,,
Cash Flows,Cash from Investing Activity,,,,
Cash Flows,Cash from Financing Activity,,,,
Cash Flows,Net Cash Flow,,,,
,,,,,
Ratios,Debtor Days,,,,
Ratios,Inventory Days,,,,
Ratios,Days Payable,,,,
Ratios,Cash Conversion Cycle,,,,
Ratios,Working Capital Days,,,,
Ratios,ROCE %,,,,
,,,,,
Shareholding Pattern (Quarterly),Promoters,41.57%,41.57%,41.57%,41.24%
Shareholding Pattern (Quarterly),FIIs,5.76%,3.49%,1.07%,0.77%
Shareholding Pattern (Quarterly),DIIs,3.16%,3.11%,3.11%,2.99%
Shareholding Pattern (Quarterly),Public,49.51%,51.82%,54.24%,54.99%
Shareholding Pattern (Quarterly),No. of Shareholders,27044,21234,21788,23704
,,,,,
Shareholding Pattern (Yearly),Promoters,,,,41.24%
Shareholding Pattern (Yearly),FIIs,,,,0.77%
Shareholding Pattern (Yearly),DIIs,,,,2.99%
Shareholding Pattern (Yearly),Public,,,,54.99%
Shareholding Pattern (Yearly),No. of Shareholders,,,,23704
,,,,,
