Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2012,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,12,689,1176,1153,1106,1268,1615,1880,1294,2494,1801,1921,1505,,,,,,,
Quarterly Results,Expenses,23,901,1165,1167,1220,1266,1393,1630,1349,1463,2038,2086,1882,,,,,,,
Quarterly Results,Operating Profit,-11,-212,10,-14,-115,2,222,250,-55,1031,-237,-165,-377,,,,,,,
Quarterly Results,OPM %,-92%,-31%,1%,-1%,-10%,0%,14%,13%,-4%,41%,-13%,-9%,-25%,,,,,,,
Quarterly Results,Other Income,579,3,106,4,3,205,-47,0,6,4,0,0,5,,,,,,,
Quarterly Results,Interest,2,4,8,16,21,24,29,32,29,26,30,23,16,,,,,,,
Quarterly Results,Depreciation,1,2,2,2,4,4,4,5,4,4,4,4,4,,,,,,,
Quarterly Results,Profit before tax,565,-215,106,-28,-137,179,142,213,-81,1005,-270,-192,-391,,,,,,,
Quarterly Results,Tax %,0%,1%,3%,25%,1%,0%,1%,12%,0%,15%,-11%,-11%,-8%,,,,,,,
Quarterly Results,Net Profit,565,-216,103,-35,-138,178,140,187,-82,851,-242,-170,-359,,,,,,,
Quarterly Results,EPS in Rs,4.09,-1.56,0.75,-0.25,-1.00,1.29,1.02,1.36,-0.59,6.16,-1.75,-1.23,-2.57,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,14,,,,4124,,,,5610,,,,6866,0,0,0,0,0,0,0
Profit & Loss,Expenses,36,,,,4083,,,,5558,,,,6614,42,6,278,663,1309,153,2
Profit & Loss,Operating Profit,-22,,,,40,,,,51,,,,252,-42,-6,-278,-663,-1309,-153,-2
