Section,,Mar 2017,Mar 2018,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jan 2016,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,454,424,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,436,406,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,18,17,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,4%,4%,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,5,5,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,8,7,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,4,5,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,10,11,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,25%,23%,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,8,8,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,1.15,1.15,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,10%,15%,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,16,17,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,99,111,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,62,68,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,22,32,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,199,228,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,52,58,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,2,4,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,12,16,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,133,150,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,199,228,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,15,6,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,-18,-11,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,-3,4,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,-6,-2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,70,89,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,70,89,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,68,77,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,10%,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,41.08%,39.86%,39.54%,39.49%,39.17%,37.31%,36.85%,36.85%,36.42%,35.52%,36.12%,35.91%,,,,,
Shareholding Pattern (Quarterly),FIIs,,,0.00%,0.25%,0.00%,0.00%,0.01%,0.08%,0.03%,0.02%,0.17%,0.00%,0.17%,0.14%,,,,,
Shareholding Pattern (Quarterly),Government,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.62%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,
Shareholding Pattern (Quarterly),Public,,,58.92%,59.88%,60.47%,60.51%,60.83%,62.61%,62.50%,63.13%,63.40%,64.47%,63.70%,63.93%,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,27402,28881,29628,29402,26878,27891,31656,34568,34328,38623,42508,42016,,,,,
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,43.51%,41.80%,,,,39.49%,,,,36.85%,,,,35.91%,43.51%,41.80%,41.80%,42.80%,41.08%
Shareholding Pattern (Yearly),FIIs,0.09%,0.00%,,,,0.00%,,,,0.02%,,,,0.14%,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,0.22%,0.31%,,,,0.00%,,,,0.00%,,,,0.00%,0.50%,0.06%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Government,0.00%,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,0.00%,2.40%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,56.18%,57.88%,,,,60.51%,,,,63.13%,,,,63.93%,55.99%,55.73%,58.19%,57.20%,58.92%
Shareholding Pattern (Yearly),No. of Shareholders,21180,21710,,,,29402,,,,34568,,,,42016,18394,18689,17809,18691,27018
,,,,,,,,,,,,,,,,,,,,
