Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021,May 2025,Mar 2017,Mar 2018
Quarterly Results,Sales,70.22,78.23,87.68,96.88,95.43,88.44,101.56,113.34,106.18,108.86,106.13,112.79,87.29,,,,,,
Quarterly Results,Expenses,57.48,63.17,67.36,73.44,72.59,66.43,77.91,86.49,82.81,89.02,86.47,88.89,68.17,,,,,,
Quarterly Results,Operating Profit,12.74,15.06,20.32,23.44,22.84,22.01,23.65,26.85,23.37,19.84,19.66,23.90,19.12,,,,,,
Quarterly Results,OPM %,18.14%,19.25%,23.18%,24.19%,23.93%,24.89%,23.29%,23.69%,22.01%,18.23%,18.52%,21.19%,21.90%,,,,,,
Quarterly Results,Other Income,2.77,2.59,2.53,3.13,0.88,1.18,1.58,1.93,1.06,0.52,4.20,0.26,4.94,,,,,,
Quarterly Results,Interest,4.30,5.16,5.16,5.51,4.82,5.00,5.77,6.06,6.80,7.02,8.14,7.36,7.35,,,,,,
Quarterly Results,Depreciation,4.07,4.42,4.54,4.82,4.92,6.54,5.79,6.10,6.12,6.99,7.40,7.66,7.88,,,,,,
Quarterly Results,Profit before tax,7.14,8.07,13.15,16.24,13.98,11.65,13.67,16.62,11.51,6.35,8.32,9.14,8.83,,,,,,
Quarterly Results,Tax %,31.37%,25.03%,25.02%,26.29%,31.62%,24.81%,25.31%,27.68%,26.93%,34.65%,21.39%,28.45%,26.39%,,,,,,
Quarterly Results,Net Profit,4.91,6.04,9.86,11.97,9.56,8.76,10.21,12.02,8.41,4.15,6.54,6.54,6.50,,,,,,
Quarterly Results,EPS in Rs,4.55,5.60,9.15,11.10,8.87,8.12,9.47,11.15,7.80,3.85,6.07,6.07,6.03,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,271,,,,358,,,,410,,,,415,190,212,204,,,
Profit & Loss,Expenses,214,,,,277,,,,314,,,,333,158,170,152,,,
