Section,,Dec 2022,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2023,Jun 2023
Quarterly Results,Sales,92.88,93.47,100.63,98.84,99.91,107.04,115.89,104.31,,
Quarterly Results,Expenses,69.54,80.15,83.53,85.23,83.25,87.94,94.11,90.92,,
Quarterly Results,Operating Profit,23.34,13.32,17.10,13.61,16.66,19.10,21.78,13.39,,
Quarterly Results,OPM %,25.13%,14.25%,16.99%,13.77%,16.68%,17.84%,18.79%,12.84%,,
Quarterly Results,Other Income,0.39,1.95,0.89,1.19,1.29,1.58,1.66,1.78,,
Quarterly Results,Interest,0.16,0.14,0.40,0.65,0.51,0.42,0.79,1.18,,
Quarterly Results,Depreciation,1.15,1.30,1.68,2.49,2.43,2.50,2.62,2.63,,
Quarterly Results,Profit before tax,22.42,13.83,15.91,11.66,15.01,17.76,20.03,11.36,,
Quarterly Results,Tax %,24.04%,26.39%,26.21%,28.99%,27.98%,26.75%,25.86%,26.23%,,
Quarterly Results,Net Profit,17.03,10.17,11.74,8.28,10.81,13.02,14.85,8.38,,
Quarterly Results,EPS in Rs,1.68,0.95,1.11,0.79,1.02,1.17,1.25,0.92,,
Quarterly Results,Raw PDF,,,,,,,,,,
,,,,,,,,,,,
Profit & Loss,Sales,,,,386,,,,427,355,
Profit & Loss,Expenses,,,,323,,,,356,268,
Profit & Loss,Operating Profit,,,,63,,,,71,87,
Profit & Loss,OPM %,,,,16%,,,,17%,25%,
Profit & Loss,Other Income,,,,6,,,,6,3,
Profit & Loss,Interest,,,,1,,,,3,1,
Profit & Loss,Depreciation,,,,7,,,,10,4,
Profit & Loss,Profit before tax,,,,61,,,,64,84,
Profit & Loss,Tax %,,,,27%,,,,27%,26%,
Profit & Loss,Net Profit,,,,44,,,,47,63,
Profit & Loss,EPS in Rs,,,,4.19,,,,4.36,5.88,
Profit & Loss,Dividend Payout %,,,,60%,,,,57%,0%,
,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,11,,,,11,,
Balance Sheet,Reserves,,,,242,,,,262,,
Balance Sheet,Borrowings,,,,33,,,,117,,
Balance Sheet,Other Liabilities,,,,29,,,,35,,
Balance Sheet,Total Liabilities,,,,315,,,,425,,
Balance Sheet,Fixed Assets,,,,44,,,,41,,
Balance Sheet,CWIP,,,,1,,,,0,,
Balance Sheet,Investments,,,,0,,,,0,,
Balance Sheet,Other Assets,,,,269,,,,384,,
Balance Sheet,Total Assets,,,,315,,,,425,,
,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,41,,,,43,,
Cash Flows,Cash from Investing Activity,,,,8,,,,-24,,
Cash Flows,Cash from Financing Activity,,,,-20,,,,53,,
Cash Flows,Net Cash Flow,,,,28,,,,72,,
,,,,,,,,,,,
Ratios,Debtor Days,,,,73,,,,63,,
Ratios,Inventory Days,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,73,,,,63,,
Ratios,Working Capital Days,,,,58,,,,60,,
Ratios,ROCE %,,,,,,,,20%,,
,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,56.92%,56.92%,56.92%,56.92%,56.92%,56.92%,56.92%,56.92%,56.92%
Shareholding Pattern (Quarterly),FIIs,,4.95%,2.13%,0.13%,0.07%,2.15%,0.47%,1.02%,8.03%,7.56%
Shareholding Pattern (Quarterly),DIIs,,16.58%,18.93%,18.77%,16.42%,9.61%,9.51%,8.60%,25.25%,25.46%
Shareholding Pattern (Quarterly),Public,,21.54%,22.01%,24.18%,26.60%,31.33%,33.09%,33.47%,9.80%,10.08%
Shareholding Pattern (Quarterly),No. of Shareholders,,30108,37835,42282,42076,43989,48395,49207,11804,16642
,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,56.92%,,,,56.92%,56.92%,
Shareholding Pattern (Yearly),FIIs,,,,0.13%,,,,1.02%,8.03%,
Shareholding Pattern (Yearly),DIIs,,,,18.77%,,,,8.60%,25.25%,
Shareholding Pattern (Yearly),Public,,,,24.18%,,,,33.47%,9.80%,
Shareholding Pattern (Yearly),No. of Shareholders,,,,42282,,,,49207,11804,
,,,,,,,,,,,
