Section,,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2022,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,43.62,41.95,40.82,19.12,45.77,44.51,67.01,26.61,37.13,55.22,66.86,,,,,,,
Quarterly Results,Expenses,36.92,36.30,38.52,16.41,42.75,39.71,66.04,23.72,33.33,50.11,68.77,,,,,,,
Quarterly Results,Operating Profit,6.70,5.65,2.30,2.71,3.02,4.80,0.97,2.89,3.80,5.11,-1.91,,,,,,,
Quarterly Results,OPM %,15.36%,13.47%,5.63%,14.17%,6.60%,10.78%,1.45%,10.86%,10.23%,9.25%,-2.86%,,,,,,,
Quarterly Results,Other Income,0.00,0.02,3.62,0.00,0.00,0.02,2.59,0.01,0.00,0.65,5.19,,,,,,,
Quarterly Results,Interest,0.31,0.34,0.34,0.36,0.36,0.37,0.49,0.40,0.40,0.55,0.86,,,,,,,
Quarterly Results,Depreciation,0.09,0.11,0.16,0.11,0.13,0.15,0.23,0.17,0.34,0.20,0.04,,,,,,,
Quarterly Results,Profit before tax,6.30,5.22,5.42,2.24,2.53,4.30,2.84,2.33,3.06,5.01,2.38,,,,,,,
Quarterly Results,Tax %,27.46%,25.86%,32.10%,28.12%,28.85%,34.19%,9.51%,25.32%,27.45%,25.35%,27.31%,,,,,,,
Quarterly Results,Net Profit,4.56,3.87,3.68,1.59,1.80,2.83,2.57,1.74,2.21,3.74,1.72,,,,,,,
Quarterly Results,EPS in Rs,0.09,0.08,0.08,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,164,,,,176,,,,186,,,,,,,
Profit & Loss,Expenses,,,149,,,,165,,,,176,,,,,,,
Profit & Loss,Operating Profit,,,15,,,,12,,,,10,,,,,,,
Profit & Loss,OPM %,,,9%,,,,7%,,,,5%,,,,,,,
Profit & Loss,Other Income,,,4,,,,3,,,,6,,,,,,,
Profit & Loss,Interest,,,1,,,,2,,,,2,,,,,,,
Profit & Loss,Depreciation,,,0,,,,1,,,,1,,,,,,,
Profit & Loss,Profit before tax,,,17,,,,12,,,,13,,,,,,,
Profit & Loss,Tax %,,,29%,,,,26%,,,,26%,,,,,,,
Profit & Loss,Net Profit,,,12,,,,9,,,,9,,,,,,,
Profit & Loss,EPS in Rs,,,0.25,,,,0.01,,,,0.01,,,,,,,
Profit & Loss,Dividend Payout %,,,0%,,,,0%,,,,0%,,,,,,,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,48,,,,833,,,,833,,,,,,,
Balance Sheet,Reserves,,,35,,,,1469,,,,1478,,,,,,,
Balance Sheet,Borrowings,,,67,,,,55,,,,50,,,,,,,
Balance Sheet,Other Liabilities,,,84,,,,84,,,,92,,,,,,,
Balance Sheet,Total Liabilities,,,234,,,,2441,,,,2453,,,,,,,
Balance Sheet,Fixed Assets,,,3,,,,5,,,,2200,,,,,,,
Balance Sheet,CWIP,,,1,,,,1,,,,1,,,,,,,
Balance Sheet,Investments,,,0,,,,2196,,,,1,,,,,,,
Balance Sheet,Other Assets,,,230,,,,238,,,,251,,,,,,,
Balance Sheet,Total Assets,,,234,,,,2441,,,,2453,,,,,,,
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,-11,,,,10,,,,2,,,,,,,
Cash Flows,Cash from Investing Activity,,,1,,,,-2195,,,,2,,,,,,,
Cash Flows,Cash from Financing Activity,,,5,,,,2184,,,,-4,,,,,,,
Cash Flows,Net Cash Flow,,,-5,,,,-2,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,312,,,,316,,,,308,,,,,,,
Ratios,Inventory Days,,,18,,,,35,,,,58,,,,,,,
Ratios,Days Payable,,,200,,,,171,,,,154,,,,,,,
Ratios,Cash Conversion Cycle,,,130,,,,180,,,,211,,,,,,,
Ratios,Working Capital Days,,,214,,,,237,,,,246,,,,,,,
Ratios,ROCE %,,,,,,,1%,,,,1%,,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,1.57%,1.57%,1.57%,1.57%,24.81%,24.81%,24.82%,24.82%,24.82%,24.82%,24.82%,1.54%,,,,,,
Shareholding Pattern (Quarterly),FIIs,0.72%,0.72%,0.71%,0.71%,0.00%,0.00%,0.00%,0.02%,0.02%,0.02%,0.02%,0.00%,,,,,,
Shareholding Pattern (Quarterly),DIIs,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.02%,0.00%,0.00%,,,,,,
Shareholding Pattern (Quarterly),Public,97.72%,97.70%,97.72%,97.71%,75.18%,75.19%,75.18%,75.16%,75.14%,75.13%,75.16%,98.46%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,15238,18644,19776,19177,19517,21260,27682,81594,241465,314553,350237,15180,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,1.57%,,,,24.82%,,,,24.82%,,5.11%,5.12%,5.23%,1.54%,1.54%,1.54%
Shareholding Pattern (Yearly),FIIs,,,0.71%,,,,0.00%,,,,0.02%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,,,97.72%,,,,75.18%,,,,75.16%,,94.89%,94.88%,94.77%,98.45%,98.45%,98.46%
Shareholding Pattern (Yearly),No. of Shareholders,,,19776,,,,27682,,,,350237,,4599,4183,4037,3925,3929,16756
,,,,,,,,,,,,,,,,,,,
