Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Jun 2025
Quarterly Results,Sales,1030,1020,1151,1146,1196,986,1189,1156,1176,1180,967,1138,1197,,,,,,,,,
Quarterly Results,Expenses,837,808,908,915,967,849,977,905,920,921,763,907,945,,,,,,,,,
Quarterly Results,Operating Profit,193,212,243,231,228,137,213,250,256,259,203,230,252,,,,,,,,,
Quarterly Results,OPM %,19%,21%,21%,20%,19%,14%,18%,22%,22%,22%,21%,20%,21%,,,,,,,,,
Quarterly Results,Other Income,4,5,5,1,3,0,2,1,2,2,3,6,33,,,,,,,,,
Quarterly Results,Interest,6,7,13,17,19,22,26,29,29,27,26,27,24,,,,,,,,,
Quarterly Results,Depreciation,40,43,44,48,49,49,53,52,53,53,53,57,64,,,,,,,,,
Quarterly Results,Profit before tax,150,166,190,167,164,65,136,170,176,181,128,153,198,,,,,,,,,
Quarterly Results,Tax %,26%,23%,24%,26%,27%,27%,25%,26%,26%,26%,24%,23%,23%,,,,,,,,,
Quarterly Results,Net Profit,111,128,145,124,120,48,102,126,130,135,97,118,152,,,,,,,,,
Quarterly Results,EPS in Rs,4.48,5.14,5.84,5.14,4.94,1.98,4.21,5.18,5.35,5.56,4.01,4.85,6.27,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,3765,,,,4512,,,,4506,,,,4482,1084,1292,1357,1411,1685,2279,2599,3238,
Profit & Loss,Expenses,3038,,,,3597,,,,3648,,,,3536,925,1082,1081,1112,1406,1895,2073,2382,
Profit & Loss,Operating Profit,727,,,,915,,,,858,,,,945,159,210,276,299,278,384,526,856,
Profit & Loss,OPM %,19%,,,,20%,,,,19%,,,,21%,15%,16%,20%,21%,17%,17%,20%,26%,
Profit & Loss,Other Income,13,,,,12,,,,2,,,,44,4,3,5,35,27,75,90,26,
Profit & Loss,Interest,23,,,,56,,,,106,,,,103,20,32,37,32,33,28,27,26,
Profit & Loss,Depreciation,159,,,,184,,,,207,,,,226,30,53,58,72,76,105,137,151,
Profit & Loss,Profit before tax,558,,,,687,,,,547,,,,660,112,128,186,230,196,326,451,704,
Profit & Loss,Tax %,26%,,,,25%,,,,26%,,,,24%,33%,29%,33%,28%,32%,27%,26%,22%,
Profit & Loss,Net Profit,413,,,,517,,,,405,,,,502,75,91,123,165,133,236,335,549,
Profit & Loss,EPS in Rs,16.64,,,,21.34,,,,16.72,,,,20.68,3.71,4.45,5.68,7.19,5.22,9.30,13.19,22.18,
Profit & Loss,Dividend Payout %,9%,,,,7%,,,,9%,,,,7%,9%,11%,11%,13%,19%,11%,8%,7%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,25,,,,24,,,,24,,,,24,20,20,22,23,25,25,25,25,
Balance Sheet,Reserves,2562,,,,2811,,,,3201,,,,3691,336,411,640,881,1279,1504,1818,2149,
Balance Sheet,Borrowings,1106,,,,1136,,,,1315,,,,1455,442,482,641,656,978,991,892,849,
Balance Sheet,Other Liabilities,819,,,,932,,,,957,,,,1082,194,289,260,319,388,458,487,690,
Balance Sheet,Total Liabilities,4512,,,,4903,,,,5498,,,,6253,992,1203,1563,1879,2670,2979,3223,3713,
Balance Sheet,Fixed Assets,1541,,,,1911,,,,2096,,,,2430,482,617,560,644,777,944,1204,1332,
Balance Sheet,CWIP,356,,,,239,,,,272,,,,437,125,62,77,267,515,496,294,239,
Balance Sheet,Investments,20,,,,21,,,,22,,,,22,0,0,70,108,157,210,19,19,
Balance Sheet,Other Assets,2594,,,,2732,,,,3109,,,,3364,385,524,856,859,1222,1328,1706,2123,
Balance Sheet,Total Assets,4512,,,,4903,,,,5498,,,,6253,992,1203,1563,1879,2670,2979,3223,3713,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,332,,,,739,,,,439,,,,867,108,150,151,188,-1,262,476,432,
Cash Flows,Cash from Investing Activity,-379,,,,-192,,,,-358,,,,-691,-255,-146,-162,-326,-462,-270,-160,-277,
Cash Flows,Cash from Financing Activity,190,,,,-440,,,,8,,,,-93,147,19,86,56,529,-17,-213,-299,
Cash Flows,Net Cash Flow,143,,,,107,,,,90,,,,83,0,24,75,-82,66,-25,103,-144,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,90,,,,77,,,,80,,,,77,37,39,101,108,136,108,93,86,
Ratios,Inventory Days,190,,,,182,,,,235,,,,284,99,110,128,145,114,112,125,205,
Ratios,Days Payable,124,,,,124,,,,135,,,,154,77,92,91,116,112,94,102,142,
Ratios,Cash Conversion Cycle,156,,,,135,,,,179,,,,207,59,57,138,137,138,126,116,150,
Ratios,Working Capital Days,119,,,,102,,,,121,,,,122,48,41,115,120,156,120,116,109,
Ratios,ROCE %,17%,,,,19%,,,,15%,,,,15%,20%,19%,20%,18%,12%,15%,17%,25%,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,41.93%,42.02%,42.02%,42.02%,41.97%,41.97%,41.96%,38.87%,38.87%,38.85%,38.83%,,,,,,,,,38.82%
Shareholding Pattern (Quarterly),FIIs,,,22.35%,23.66%,23.90%,21.35%,21.48%,18.78%,19.57%,20.39%,19.49%,15.87%,15.14%,,,,,,,,,13.24%
Shareholding Pattern (Quarterly),DIIs,,,4.32%,4.75%,5.03%,6.68%,7.06%,10.16%,10.70%,14.11%,14.85%,19.57%,22.45%,,,,,,,,,23.53%
Shareholding Pattern (Quarterly),Public,,,31.40%,29.56%,29.05%,29.95%,29.51%,29.10%,27.77%,26.61%,26.80%,25.71%,23.56%,,,,,,,,,24.41%
Shareholding Pattern (Quarterly),No. of Shareholders,,,216055,190894,187777,201054,207055,190691,182142,179870,202198,177554,169802,,,,,,,,,169700
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,41.98%,,,,42.02%,,,,41.96%,,,,38.83%,,,,53.45%,44.94%,42.90%,42.86%,42.04%,38.82%
Shareholding Pattern (Yearly),FIIs,23.19%,,,,23.90%,,,,19.57%,,,,15.14%,,,,10.04%,10.60%,12.77%,21.70%,23.11%,13.24%
Shareholding Pattern (Yearly),DIIs,3.98%,,,,5.03%,,,,10.70%,,,,22.45%,,,,1.50%,6.95%,3.01%,3.01%,1.50%,23.53%
Shareholding Pattern (Yearly),Public,30.85%,,,,29.05%,,,,27.77%,,,,23.56%,,,,35.01%,37.51%,41.32%,32.43%,33.36%,24.41%
Shareholding Pattern (Yearly),No. of Shareholders,210785,,,,187777,,,,182142,,,,169802,,,,72665,108800,103867,89519,193871,169700
,,,,,,,,,,,,,,,,,,,,,,,
